N	3gram	Medvedev_V	slovoVRo
1	и т п	9	72
2	не может быть	8	19
3	в то же	5	18
4	то же время	5	18
5	с одной стороны	2	11
6	во всех его	2	10
7	и т д	16	10
8	более или менее	6	9
9	во всяком случае	2	8
10	в зависимости от	5	8
11	большей или меньшей	3	6
12	не может не	2	6
13	с другой стороны	8	6
14	и в то	3	6
15	в том что	5	5
16	в этом отношении	14	5
17	не только в	2	5
18	хотя бы и	5	5
19	по отношению к	7	5
20	в большей или	2	4
21	одной стороны и	2	4
22	для того чтобы	3	4
23	или меньшей степени	2	4
24	в точном смысле	2	4
25	таким образом в	2	4
26	и не может	2	4
27	до сих пор	2	4
28	можно сказать что	4	4
29	не могут быть	4	4
30	к тому что	4	3
31	в связи с	4	3
32	не только не	2	2
33	во всех этих	2	2
34	точном смысле слова	2	2
35	о том что	3	2
36	иметь в виду	2	2
37	можно было бы	2	2
38	этой точки зрения	2	2
39	так и от	2	2
40	и в другом	2	2
41	можно утверждать что	4	2
42	о том же	3	2
