N	2gram	Savitsky_E	Myslijsy
1	потому что	3	182
2	то есть	6	142
3	и в	37	121
4	может быть	6	107
5	в том	11	103
6	то что	6	83
7	для нас	4	75
8	что в	21	73
9	и не	14	73
10	только в	9	72
11	не только	18	67
12	а не	2	67
13	таким образом	2	64
14	том что	6	59
15	так как	7	59
16	в этом	12	59
17	но и	14	59
18	то же	15	56
19	не в	5	54
20	если бы	2	53
21	в себе	9	53
22	не может	9	52
23	по себе	4	52
24	того что	7	47
25	было бы	8	45
26	не есть	2	42
27	как и	7	42
28	вместе с	2	39
29	мы не	4	38
30	что и	3	38
31	так и	10	37
32	как в	3	37
33	тогда когда	2	36
34	тем что	3	33
35	и что	2	32
36	а в	2	30
37	но не	5	29
38	между тем	8	29
39	вовсе не	6	28
40	мы можем	3	28
41	могут быть	2	27
42	с этим	2	27
43	независимо от	4	26
44	в то	16	24
45	с тем	3	23
46	как бы	6	23
47	но в	14	22
48	не имеет	4	22
49	с другой	7	22
50	и потому	5	21
51	в ней	4	20
52	в одном	2	20
53	тем самым	5	19
54	заключает в	3	19
55	и как	2	19
56	есть не	2	19
57	и то	2	19
58	сказать что	4	19
59	что это	2	19
60	о том	3	19
61	того же	3	19
62	в каком	4	18
63	очевидно что	3	18
64	для того	6	18
65	не могут	2	18
66	в самом	4	18
67	в таком	3	18
68	заметить что	2	17
69	в его	2	17
70	со стороны	5	17
71	точки зрения	23	17
72	во всяком	3	17
73	не можем	2	17
74	в своем	14	16
75	к тому	8	16
76	так же	9	16
77	в них	3	16
78	что если	2	16
79	на то	6	16
80	и на	6	16
81	и по	5	15
82	в этих	2	15
83	с одной	8	15
84	думать что	8	15
85	и тем	3	15
86	прежде всего	9	15
87	с другими	2	15
88	в свою	3	15
89	мы должны	2	14
90	свою очередь	2	14
91	в истории	2	14
92	там где	3	14
93	само по	4	14
94	то в	4	14
95	столь же	5	14
96	в котором	2	14
97	во всех	6	14
98	бы ни	3	14
99	же время	14	14
100	что все	2	13
101	и все	2	13
102	в смысле	9	13
103	из них	3	13
104	как на	3	13
105	никогда не	3	12
106	что же	2	12
107	что на	2	12
108	как мы	5	12
109	есть в	2	12
110	тем более	4	12
111	хотя и	2	12
112	другой стороны	2	12
113	всяком случае	3	12
114	и притом	4	11
115	в силу	2	11
116	того чтобы	6	11
117	и если	2	11
118	мы видели	3	11
119	к нему	2	11
120	же в	2	11
121	к ней	4	11
122	и только	3	11
123	одной стороны	8	10
124	между прочим	7	10
125	и для	3	10
126	хотя бы	15	10
127	в других	2	10
128	можно думать	3	10
129	мы видим	2	10
130	и от	3	10
131	и мы	3	10
132	бы в	2	10
133	он не	2	10
134	и с	2	10
135	вопрос о	4	9
136	и других	2	9
137	нам кажется	7	9
138	не будет	3	9
139	то не	2	9
140	во многих	4	9
141	и даже	6	9
142	себе не	3	9
143	далеко не	2	9
144	с точки	17	9
145	и того	2	9
146	можно сказать	4	9
147	на язык	2	9
148	с в	2	9
149	при помощи	2	8
150	отношений между	2	8
151	с и	10	8
152	и более	2	8
153	именно в	4	8
154	в которых	3	8
155	помнить что	2	8
156	вслед за	6	8
157	влияние на	2	8
158	от них	3	8
159	между ними	2	8
160	не из	3	8
161	или в	2	8
162	одном из	2	7
163	на основании	2	7
164	в эту	2	7
165	она не	2	7
166	во втором	2	7
167	и та	2	7
168	и во	2	7
169	место в	3	7
170	с этой	6	7
171	в своих	2	7
172	в другой	2	7
173	и теперь	2	7
174	не более	3	7
175	но как	2	7
