N	3gram	Vygotskiy_	Dialekti
1	и т д	10	75
2	с точки зрения	12	46
3	сама по себе	2	26
4	в том что	21	25
5	не может быть	14	18
6	не что иное	2	18
7	что иное как	2	18
8	само по себе	8	16
9	тем не менее	6	16
10	сам по себе	4	16
11	то же время	2	15
12	в то же	2	14
13	в таком случае	3	14
14	только тогда когда	4	13
15	о том что	9	12
16	с другой стороны	7	12
17	на то что	12	11
18	в самом деле	13	10
19	по себе не	3	9
20	подобно тому как	7	9
21	то или иное	2	9
22	не только не	4	8
23	только то что	2	8
24	в то время	6	8
25	в этом смысле	3	8
26	то время как	6	8
27	можно сказать что	2	7
28	сами по себе	4	7
29	не потому что	2	7
30	и в частности	2	7
31	не в том	7	7
32	точно так же	6	7
33	в связи с	2	7
34	более или менее	3	6
35	для того чтобы	11	6
36	во всяком случае	7	6
37	в зависимости от	6	6
38	с одной стороны	6	6
39	только потому что	2	6
40	на самом деле	6	5
41	в конце концов	6	5
42	от того что	2	5
43	до сих пор	8	5
44	одной и той	5	5
45	и той же	5	5
46	к тому что	2	5
47	потому что она	2	5
48	и тем не	2	5
49	потому что он	2	5
50	по сравнению с	3	5
51	то же самое	8	4
52	как только мы	2	4
53	так же как	8	4
54	так как она	2	4
55	и т п	23	4
56	есть в сущности	2	4
57	этой точки зрения	7	4
58	с этой точки	5	4
59	того и другого	3	4
60	по себе а	3	4
61	в этом отношении	7	4
62	можно было бы	2	4
63	не могут быть	2	4
64	в одинаковой мере	2	4
65	бы то ни	2	3
66	он не может	3	3
67	же как и	2	3
68	в чем же	2	3
69	лежит в основе	2	3
70	то что я	2	3
71	несмотря на то	2	3
72	как и в	5	3
73	было бы и	2	3
74	хотя и не	2	3
75	не было бы	3	3
76	ни в какой	3	3
77	то же что	2	3
78	и не может	2	3
79	как будто бы	2	3
80	принять во внимание	2	3
81	тех или иных	2	3
82	но так как	2	2
83	мы не можем	2	2
84	заключается только в	2	2
85	мы никогда не	5	2
86	никогда не может	3	2
87	та же самая	2	2
88	том что у	2	2
89	заключается не в	2	2
90	что в основе	4	2
91	в отношении к	3	2
92	к выводу что	2	2
93	во внимание что	2	2
94	и так как	4	2
95	в последнее время	2	2
96	мы видим что	4	2
97	в собственном смысле	3	2
98	не в состоянии	4	2
99	что и в	5	2
100	и в том	2	2
101	сказать что в	3	2
102	новой точки зрения	2	2
103	в свою очередь	3	2
104	легко заметить что	2	2
105	и то что	3	2
