N	4gram	Vygotskiy_	Myshleni
1	заключается в том что	6	43
2	в то время как	4	20
3	одного и того же	2	17
4	состоит в том что	2	17
5	с этой точки зрения	3	16
6	одной и той же	4	15
7	мы могли бы сказать	2	14
8	могли бы сказать что	2	13
9	одно и то же	3	12
10	мы видим таким образом	2	11
11	видим таким образом что	2	10
12	в собственном смысле слова	2	9
13	в том что в	2	8
14	в том что он	2	8
15	заключается в том чтобы	2	7
16	одним и тем же	3	6
17	не что иное как	2	6
18	а с другой стороны	3	5
19	ответ на этот вопрос	2	5
20	указывает на то что	3	4
21	для того чтобы сделать	2	4
22	в самом деле если	2	4
23	одна и та же	2	3
24	с психологической точки зрения	2	3
25	дело в том что	2	3
26	что с самого начала	2	2
27	так же точно как	2	2
28	о котором мы говорили	2	2
29	что в этом случае	2	2
30	находится в зависимости от	2	2
31	в том и заключается	3	2
32	на то что в	2	2
33	с другой стороны мы	2	2
34	в зависимости от того	3	2
35	к тому что он	2	2
