N	3gram	Bakhtin_KF	FransuaR
1	в то же	2	55
2	то же время	2	55
3	в том что	2	27
4	с точки зрения	10	20
5	на самом деле	3	13
6	не может быть	11	13
7	той или иной	2	10
8	по отношению к	22	9
9	в его целом	10	8
10	во всех этих	2	7
11	включает в себя	2	7
12	имеем в виду	2	6
13	на первом плане	2	5
14	и тот же	3	5
15	один и тот	3	4
16	в нем и	3	4
17	бы то ни	2	3
18	в этом смысле	3	3
19	дело здесь не	2	3
20	между тем как	3	3
21	и в этом	3	3
22	в ее целом	3	3
23	то ни было	2	2
24	может быть в	3	2
25	и та же	2	2
26	одна и та	2	2
27	может быть только	7	2
28	и может быть	2	2
29	и только в	3	2
30	и в нем	2	2
