N	2gram	Medvedev_F	Poddanst
1	не только	14	17
2	и в	54	14
3	и не	34	12
4	в области	6	11
5	в этом	39	10
6	в отношении	3	10
7	но в	9	9
8	то же	16	9
9	в том	17	9
10	в качестве	2	9
11	хотя бы	10	8
12	в пределах	13	8
13	в то	14	7
14	только в	6	7
15	же время	13	7
16	но и	18	6
17	было бы	10	6
18	в смысле	2	6
19	в ней	15	6
20	а н	3	5
21	с другой	8	5
22	не в	16	5
23	и о	3	5
24	отношении к	2	5
25	и пр	30	5
26	может быть	30	5
27	по себе	10	4
28	что в	10	4
29	если бы	8	4
30	и потому	9	4
31	в своем	12	4
32	том что	3	4
33	в котором	2	4
34	и к	7	4
35	как бы	10	4
36	и если	2	4
37	то что	14	4
38	не может	26	4
39	а в	11	4
40	же в	4	4
41	и как	6	3
42	с тем	11	3
43	но не	5	3
44	тем самым	5	3
45	это не	4	3
46	т е	50	3
47	с точки	17	3
48	сводится к	6	3
49	сами по	4	3
50	в россии	4	3
51	столь же	2	3
52	мы не	6	3
53	для того	3	3
54	в себе	4	3
55	точки зрения	21	3
56	потому что	2	3
57	одной стороны	5	3
58	в нем	25	3
59	между тем	4	3
60	она есть	2	3
61	могут быть	7	3
62	прежде всего	34	3
63	и т	22	3
64	хотя и	3	3
65	с одной	5	3
66	должно быть	13	2
67	не о	7	2
68	в них	4	2
69	является в	2	2
70	в жизни	3	2
71	в мире	4	2
72	было в	3	2
73	если в	3	2
74	одна из	2	2
75	отношения к	6	2
76	для них	4	2
77	не к	2	2
78	в эту	3	2
79	в русском	2	2
80	стороны и	4	2
81	и это	4	2
82	творчества и	2	2
83	в статье	5	2
84	и тем	3	2
85	и других	4	2
86	в его	30	2
87	с этим	6	2
88	в ряду	2	2
89	и вот	2	2
90	в общем	8	2
91	не менее	12	2
92	говорить о	4	2
93	бы ни	5	2
94	время в	4	2
95	со стороны	7	2
96	именно в	12	2
97	именно как	14	2
98	в виде	2	2
99	еще более	6	2
100	все это	11	2
101	в частности	4	2
102	как на	5	2
103	друг другу	2	2
104	начала и	2	2
105	а не	11	2
106	во всей	4	2
107	не было	7	2
108	из важнейших	2	2
109	и с	17	2
110	может и	2	2
111	во всех	9	2
112	она ни	3	2
113	в ее	10	2
114	как раз	8	2
115	нужно было	2	2
116	в значительной	3	2
117	того что	7	2
118	думать что	4	2
119	главным образом	5	2
120	из них	5	2
121	образом на	2	2
122	не столько	5	2
123	отнюдь не	13	2
