N	3gram	Losev_Prob	slovoVRo
1	не может быть	5	19
2	в то же	10	18
3	той или иной	16	15
4	с точки зрения	9	15
5	в отличие от	2	14
6	в той или	7	13
7	с одной стороны	2	11
8	и т д	20	10
9	более или менее	2	9
10	в этом случае	8	9
11	во всяком случае	8	8
12	в зависимости от	3	8
13	так и в	2	6
14	как мы сказали	2	6
15	с другой стороны	11	6
16	и в то	2	6
17	а вовсе не	3	5
18	в том что	17	5
19	не только в	2	5
20	может быть и	3	5
21	хотя бы и	2	5
22	на первый план	3	4
23	для того чтобы	4	4
24	те или иные	6	4
25	до сих пор	4	4
26	можно сказать что	2	4
27	одно и то	4	3
28	в другом случае	2	3
29	как мы видели	2	3
30	и то же	5	3
31	не выходит за	2	3
32	как и в	2	3
33	в данном случае	12	3
34	в связи с	9	3
35	и не в	2	3
36	того или иного	5	3
37	тех или иных	7	3
38	сама по себе	11	3
39	может быть очень	5	3
40	и в частности	4	2
41	мы не знаем	2	2
42	не только не	5	2
43	мы не можем	2	2
44	же как и	4	2
45	тот или иной	4	2
46	ни в чем	2	2
47	вовсе не в	2	2
48	о том что	8	2
49	иметь в виду	2	2
50	что он есть	2	2
51	здесь не только	2	2
52	хотя и не	2	2
53	можно было бы	6	2
54	и не было	2	2
55	в то время	6	2
56	то есть от	2	2
57	но и в	2	2
58	этой точки зрения	2	2
59	в чем не	2	2
60	то время как	6	2
61	и в этом	6	2
62	то есть не	5	2
63	то или иное	3	2
64	тем не менее	23	2
