N	2gram	Tiupa_Teor	Istorich
1	и в	24	181
2	может быть	22	115
3	не только	24	114
4	что он	4	111
5	мы имеем	7	102
6	что в	10	90
7	но и	14	85
8	в этом	12	81
9	то что	6	73
10	таким образом	3	72
11	вместе с	2	71
12	и не	17	67
13	в этих	4	64
14	еще не	6	63
15	не может	8	61
16	так же	2	57
17	то же	12	56
18	никогда не	4	56
19	в том	20	53
20	том что	11	53
21	с другой	9	52
22	а в	15	52
23	потому что	3	52
24	что и	2	51
25	и что	4	51
26	и здесь	2	51
27	о том	2	48
28	а не	14	48
29	его в	4	47
30	не в	9	47
31	другой стороны	6	46
32	превращается в	2	45
33	но в	12	44
34	это не	4	43
35	и его	11	43
36	в нем	7	42
37	только в	9	42
38	как в	5	42
39	или в	3	39
40	в его	12	38
41	и на	2	38
42	так и	14	37
43	он не	5	37
44	уже не	6	37
45	как и	6	37
46	здесь мы	2	35
47	что они	2	35
48	все эти	3	35
49	не всегда	2	34
50	но не	13	34
51	а именно	3	34
52	связи с	3	34
53	у него	2	34
54	об этом	2	33
55	в качестве	33	32
56	так в	4	31
57	представляет собой	13	31
58	прежде всего	3	31
59	один из	2	31
60	в русской	6	30
61	с одной	3	30
62	к нему	2	30
63	одной стороны	3	29
64	например в	3	28
65	что она	2	28
66	и другие	2	28
67	в иной	3	28
68	того что	5	27
69	могут быть	5	27
70	как это	10	26
71	и др	3	26
72	если бы	3	24
73	не менее	6	24
74	все это	2	23
75	тем не	3	23
76	в частности	23	23
77	в этой	3	23
78	их в	3	23
79	имеем в	3	23
80	и это	2	23
81	как бы	8	23
82	при этом	20	22
83	и по	3	22
84	в одном	3	21
85	сказать что	4	21
86	ее в	2	21
87	в другом	4	21
88	к тому	4	21
89	здесь не	2	21
90	в связи	3	21
91	в силу	4	20
92	из этих	3	20
93	а затем	2	19
94	и как	3	19
95	но он	4	19
96	не все	3	18
97	в данном	9	18
98	вовсе не	3	18
99	в то	9	18
100	в них	2	17
101	дело не	2	17
102	не вполне	2	16
103	со стороны	6	16
104	перед нами	3	16
105	между двумя	3	16
106	во всех	3	16
107	данном случае	5	15
108	в целом	4	15
109	в своей	8	15
110	даже в	3	15
111	и то	3	15
112	в пределах	5	15
113	тот кто	2	15
114	и даже	2	15
115	как будто	2	15
116	и тем	5	15
117	отношение к	7	14
118	у нас	2	14
119	а также	7	14
120	с этой	3	14
121	на смену	7	14
122	на вопрос	2	14
123	право на	2	14
124	отношению к	10	14
125	из которых	2	14
126	и ее	4	14
127	одной из	2	14
128	по отношению	10	14
129	на себя	2	14
130	к своему	2	13
131	своего рода	11	13
132	и для	3	13
133	на котором	2	13
134	тогда как	18	13
135	на этом	2	13
