N	2gram	Losev_Vesc	OGranits
1	и в	44	13
2	и его	4	12
3	прежде всего	17	9
4	и не	57	8
5	не может	44	8
6	может быть	37	8
7	в его	5	7
8	и пр	10	7
9	и их	11	7
10	точки зрения	10	7
11	не только	48	6
12	мы должны	5	6
13	как бы	19	6
14	таким образом	16	6
15	только в	23	6
16	то что	47	6
17	все же	18	5
18	с точки	6	5
19	и эта	4	5
20	но ведь	2	5
21	хотя бы	9	5
22	мы можем	4	4
23	еще и	11	4
24	но в	8	4
25	только и	8	4
26	то же	12	4
27	не является	3	4
28	в своей	6	4
29	все это	7	4
30	было бы	24	4
31	вопроса о	3	4
32	мы не	8	4
33	никогда не	5	3
34	да и	5	3
35	одно и	6	3
36	языка как	2	3
37	я хочу	5	3
38	и для	13	3
39	слово в	2	3
40	и то	14	3
41	со всей	2	3
42	и все	6	3
43	в ее	8	3
44	превращается в	3	3
45	с этим	4	3
46	и уже	2	3
47	как и	15	3
48	не в	14	3
49	в их	4	3
50	говорить о	9	3
51	так как	17	3
52	в себе	23	3
53	что в	11	3
54	но для	2	3
55	самом деле	7	3
56	есть прежде	4	3
57	так и	4	3
58	что же	17	3
59	в которой	5	3
60	не как	2	3
61	к одному	3	3
62	в одном	6	3
63	но и	19	3
64	не столько	2	3
65	в самом	13	2
66	мы видим	5	2
67	собственно говоря	5	2
68	она является	4	2
69	в этом	17	2
70	для себя	6	2
71	данном случае	2	2
72	уже в	2	2
73	в том	15	2
74	тем что	7	2
75	может в	2	2
76	в отношении	7	2
77	есть не	17	2
78	несмотря на	6	2
79	в целом	3	2
80	если бы	8	2
81	от этого	3	2
82	с одной	3	2
83	не имеет	2	2
84	явлений и	3	2
85	говорить об	2	2
86	в действительности	7	2
87	с другой	8	2
88	слова и	7	2
89	от всех	5	2
90	а в	6	2
91	и тем	7	2
92	том что	13	2
93	в данном	6	2
94	не менее	11	2
95	и следовательно	20	2
96	с ними	4	2
97	все эти	5	2
98	что эта	2	2
99	так же	4	2
100	что они	12	2
101	мы уже	3	2
102	нуждается в	2	2
103	с этой	6	2
104	и может	3	2
105	в своих	3	2
106	его на	4	2
107	в нем	6	2
108	не на	2	2
109	сознания и	2	2
110	и ее	19	2
111	нет ничего	2	2
112	что иное	12	2
113	а не	34	2
114	между собою	12	2
115	в ней	14	2
116	общения и	2	2
117	себе что	3	2
118	на две	2	2
119	как в	3	2
120	другой стороны	3	2
121	во всем	2	2
122	который мы	4	2
123	мог бы	7	2
124	чем же	5	2
125	одной стороны	3	2
126	бы в	9	2
127	мы получим	3	2
128	и этот	2	2
129	в чем	10	2
130	на язык	3	2
131	тот же	4	2
132	иное как	12	2
133	не что	12	2
134	в другом	3	2
135	вовсе не	11	2
136	учение о	2	2
137	к тому	3	2
138	не мог	3	2
139	для него	8	2
