N	2gram	Trubetskoy	Analitik
1	не только	10	71
2	тогда как	6	67
3	и в	24	66
4	но и	11	57
5	в том	31	52
6	может быть	17	52
7	в частности	2	51
8	в этом	13	51
9	как и	10	50
10	и не	9	48
11	том что	20	40
12	при этом	9	40
13	так и	10	35
14	то есть	2	35
15	в мире	6	31
16	не может	18	29
17	как бы	10	29
18	отнюдь не	2	29
19	а в	3	28
20	в его	5	27
21	и его	2	27
22	не в	9	26
23	но не	3	26
24	в себе	5	24
25	иначе говоря	4	23
26	к тому	8	22
27	в этой	7	22
28	что в	9	22
29	лишь в	5	21
30	о том	7	20
31	я в	2	20
32	по отношению	11	19
33	но в	5	19
34	то же	4	19
35	в самом	8	19
36	в то	6	18
37	в данном	3	18
38	отношению к	11	18
39	тем самым	3	17
40	с другой	6	17
41	в целом	5	17
42	только в	6	17
43	то что	18	16
44	что и	7	16
45	не есть	4	15
46	в их	4	15
47	прежде всего	3	15
48	в сущности	2	15
49	и на	6	15
50	между тем	12	15
51	данном случае	3	14
52	отличие от	3	14
53	не менее	7	14
54	того же	9	14
55	далеко не	5	14
56	столь же	5	14
57	же время	2	14
58	в себя	2	14
59	точки зрения	14	13
60	в начале	3	13
61	этого слова	2	13
62	для него	2	13
63	он не	4	13
64	тому же	6	13
65	никогда не	4	12
66	и к	5	12
67	еще не	6	12
68	сводится к	2	12
69	и сам	2	12
70	даже в	3	11
71	в свою	2	11
72	это не	3	11
73	по своей	7	11
74	той же	2	11
75	не следует	2	11
76	в конце	4	10
77	все же	15	10
78	было бы	3	10
79	с одной	3	10
80	именно в	5	10
81	со своей	2	10
82	в своем	12	9
83	того что	7	9
84	одной стороны	2	9
85	свою очередь	2	9
86	имеет место	2	9
87	другой стороны	5	9
88	во всех	10	9
89	в результате	9	9
90	только не	2	9
91	что касается	6	9
92	том чтобы	2	9
93	и того	3	9
94	говорить о	2	9
95	таким образом	34	9
96	вместе с	7	9
97	что он	7	8
98	и все	9	8
99	хотя и	4	8
100	в основе	2	8
101	между двумя	5	8
102	если бы	8	8
103	как известно	3	8
104	в сторону	3	8
105	с точки	8	8
106	с ним	6	8
107	в другом	2	7
108	от себя	2	7
109	все это	13	7
110	во всяком	2	7
