N	2gram	Losev_Vlad	Mirosoze
1	и в	56	97
2	у достоевского	2	94
3	может быть	12	64
4	не только	35	63
5	в этом	30	55
6	но и	26	54
7	он не	13	53
8	а не	5	53
9	в нем	7	49
10	не может	12	49
11	у него	28	47
12	и не	33	39
13	никогда не	15	38
14	потому что	16	37
15	в ней	5	37
16	не было	12	36
17	не в	12	34
18	и есть	2	33
19	для него	16	31
20	не есть	4	30
21	но он	7	30
22	прежде всего	5	29
23	как и	7	29
24	но в	19	27
25	и он	7	27
26	и это	4	25
27	в своей	7	25
28	он был	20	25
29	и все	8	24
30	у нас	11	24
31	в своем	10	23
32	что в	24	23
33	что он	22	22
34	в самом	3	21
35	в себе	5	20
36	бога и	3	20
37	отношение к	7	20
38	до конца	8	19
39	в россии	7	19
40	как бы	5	19
41	в его	18	18
42	и потому	8	17
43	того что	6	17
44	любви к	2	17
45	в том	26	16
46	том что	22	16
47	то что	30	16
48	было бы	7	16
49	на земле	2	16
50	и его	12	16
51	не был	6	15
52	в этой	4	15
53	в котором	10	15
54	в конце	22	14
55	она не	3	14
56	так как	11	14
57	в русском	2	13
58	и вот	5	13
59	друг друга	3	13
60	и на	7	13
61	это не	3	12
62	и у	4	12
63	к нему	6	12
64	в них	5	12
65	все это	7	12
66	но не	5	12
67	он сам	3	12
68	с тем	4	11
69	но это	6	11
70	менее всего	2	11
71	хотя бы	5	11
72	в которой	8	11
73	только в	11	11
74	достоевского но	2	11
75	как в	6	11
76	и для	4	11
77	уже не	6	11
78	и к	10	11
79	жизни и	8	11
80	не могут	2	10
81	так же	4	10
82	это и	2	10
83	один из	4	10
84	чем у	2	10
85	то же	10	10
86	всю жизнь	4	10
87	не имеет	2	10
88	а в	20	9
89	к тому	5	9
90	что и	6	9
91	и во	3	9
92	я не	8	9
93	то есть	5	9
94	он уже	7	9
95	все что	2	9
96	в свою	3	9
97	с ним	10	9
98	лишь в	3	9
99	не мог	10	9
100	вместе с	9	9
101	ничего не	4	8
102	от него	3	8
103	в этих	5	8
104	бог и	2	8
105	жизнь в	2	8
106	что не	3	8
107	того чтобы	4	8
108	в отношении	5	8
109	с его	15	8
110	себя в	6	8
111	за пределы	3	8
112	тем что	2	8
113	для того	4	8
114	отношении к	2	8
115	нет и	2	8
116	о том	13	8
117	русской истории	2	8
118	и с	27	8
119	еще в	5	8
120	уже в	9	8
121	те же	2	7
122	как он	4	7
123	что все	2	7
124	он в	4	7
125	точки зрения	4	7
126	что она	2	7
127	на этом	3	7
128	в высшей	2	7
129	жизни в	3	7
130	в жизни	4	7
131	также и	13	7
132	в нашем	5	7
133	не могу	2	7
134	от нее	3	7
135	отношения к	4	7
136	во всем	4	7
137	чем в	2	7
138	к богу	2	6
139	его в	3	6
140	личности и	2	6
141	вера в	4	6
142	на все	3	6
143	у них	2	6
144	его на	4	6
145	его не	2	6
146	совсем не	7	6
147	должен был	3	6
148	того как	2	6
149	и от	6	6
150	что это	2	6
151	к ней	7	6
152	к концу	7	6
153	если бы	2	6
154	с этой	4	6
155	по своей	4	6
156	жизнь и	3	6
157	что у	4	6
158	на то	7	6
159	и здесь	3	6
160	россии и	4	6
161	не к	2	6
162	и если	8	5
163	который был	4	5
164	в то	15	5
165	бог есть	2	5
166	в их	2	5
167	так и	11	5
168	в более	3	5
169	как у	3	5
170	и я	7	5
171	сказать что	14	5
172	тот же	7	5
173	во всяком	8	5
174	да и	6	5
175	и мы	6	5
176	с этим	3	5
177	него и	2	5
178	говорит что	4	5
179	с самим	2	5
180	мысли и	5	5
181	и как	7	5
182	мы увидим	4	5
183	еще не	2	5
184	его и	2	5
185	как будто	2	5
186	после того	2	5
187	хотел бы	2	5
188	то он	7	5
189	он же	2	5
190	когда он	6	5
191	был в	5	5
192	которых он	2	5
193	вл соловьева	278	5
194	той же	6	5
195	любовь и	2	5
196	и тут	2	5
197	и через	3	4
198	иное как	2	4
199	не что	2	4
200	к себе	2	4
201	от того	2	4
202	как к	4	4
203	конце концов	6	4
204	и никогда	2	4
205	так что	13	4
206	в момент	2	4
207	что иное	2	4
208	а с	5	4
209	отношением к	2	4
210	по своему	5	4
211	в чем	4	4
212	к этой	4	4
213	место в	2	4
214	и тот	2	4
215	себе и	2	4
216	для них	2	4
217	в начале	7	4
218	и до	4	4
