N	2gram	Bakhtin_fo	Narrotol
1	не только	16	62
2	и не	19	50
3	при этом	8	47
4	но и	14	45
5	а не	7	38
6	в качестве	6	35
7	в частности	11	31
8	может быть	18	30
9	и в	84	30
10	в том	16	29
11	том что	7	28
12	в этом	41	28
13	а в	6	27
14	только в	12	25
15	в данном	4	24
16	как и	15	24
17	не в	10	23
18	то что	13	23
19	то есть	42	22
20	не может	8	20
21	данном случае	2	17
22	в себе	7	17
23	так и	17	17
24	а также	5	17
25	в его	19	16
26	но в	16	15
27	можно сказать	2	15
28	к тому	6	15
29	и т.п	6	15
30	картина мира	2	14
31	в жизни	6	14
32	и его	26	14
33	в своем	8	13
34	в своей	2	13
35	то же	18	13
36	времени и	10	13
37	у него	8	13
38	о том	4	13
39	уже не	5	13
40	картины мира	2	12
41	все же	12	12
42	прежде всего	28	12
43	как в	10	12
44	на протяжении	3	12
45	как бы	11	12
46	по отношению	3	11
47	к себе	8	11
48	отличие от	3	11
49	об этом	3	11
50	в нем	28	11
51	в этой	3	11
52	если бы	6	11
53	жизни в	11	11
54	отношению к	5	11
55	в отличие	3	11
56	в мире	4	11
57	хотя и	5	11
58	никогда не	8	10
59	в то	13	10
60	и т.д	2	10
61	ничего не	9	10
62	как это	2	10
63	один из	5	10
64	точки зрения	14	10
65	того что	5	10
66	не является	4	10
67	и все	10	10
68	но не	9	10
69	жизни и	12	10
70	тому же	2	10
71	с его	10	10
72	во времени	6	9
73	в соответствии	2	9
74	еще не	8	9
75	что он	2	9
76	что в	9	9
77	отнюдь не	7	9
78	той или	3	9
79	для него	5	9
80	далеко не	3	9
81	потому что	11	9
82	с ним	5	9
83	как раз	13	9
84	или иной	4	8
85	о чем	4	8
86	самом деле	2	8
87	того чтобы	11	8
88	одна из	3	8
89	мы имеем	2	8
90	и он	3	8
91	мира в	6	8
92	этом отношении	5	8
93	у нас	2	8
94	в литературе	17	8
95	и для	12	8
96	в самом	9	8
97	и к	4	8
