N	2gram	Ircho_Kome	TeoriaLi
1	в качестве	8	33
2	в мире	3	26
3	не только	12	24
4	и в	40	24
5	в частности	7	23
6	может быть	16	22
7	в том	19	20
8	при этом	5	20
9	и не	19	17
10	а в	9	15
11	но и	14	14
12	так и	17	14
13	в себе	3	14
14	в рамках	3	13
15	такого рода	6	13
16	но не	3	13
17	в этом	9	12
18	то же	7	12
19	но в	6	12
20	в его	8	12
21	том что	19	11
22	точки зрения	7	11
23	и его	17	11
24	по отношению	5	10
25	отношению к	5	10
26	как это	7	10
27	что в	12	10
28	не в	8	9
29	с другой	7	9
30	в то	14	9
31	только в	6	9
32	не может	3	8
33	по своей	2	8
34	как бы	3	8
35	в своей	3	8
36	же время	5	8
37	в своем	6	7
38	а также	5	7
39	себя в	2	7
40	отношение к	3	7
41	в принципе	3	7
42	во второй	4	7
43	в области	3	7
44	отличие от	4	7
45	в самом	5	7
46	в отличие	3	7
47	однако в	4	7
48	место в	7	7
49	в нем	8	7
50	другой стороны	6	6
51	в первой	2	6
52	со стороны	3	6
53	не менее	6	6
54	еще не	7	6
55	то что	8	6
56	или менее	2	6
57	как и	12	6
58	или иначе	4	6
59	в состав	2	6
60	в ее	2	6
61	с его	4	6
62	как в	8	5
63	как правило	5	5
64	и одновременно	3	5
65	ни в	9	5
66	в виду	2	5
67	и тем	2	5
68	не является	2	5
69	для того	3	5
70	и о	3	5
71	так или	4	5
72	между тем	9	5
73	могут быть	3	5
74	того чтобы	4	5
75	он не	5	5
76	в себя	3	5
77	в отношении	6	4
78	его в	6	4
79	это не	2	4
80	так в	6	4
81	и ее	5	4
82	в форме	2	4
83	в другом	5	4
84	в силу	4	4
85	в их	6	4
86	в этих	5	4
87	что он	11	4
88	по своему	5	4
89	в литературе	2	4
90	к тому	15	4
91	того же	4	4
92	в свою	2	4
93	в целом	6	4
94	со своей	3	4
95	и что	2	4
96	говорить о	3	4
97	с ее	2	4
98	и сам	5	4
99	не следует	2	4
100	в нашем	2	4
101	хотя и	6	4
102	но он	2	4
103	даже в	3	3
104	и притом	2	3
105	в соответствии	2	3
106	во всех	4	3
107	из этих	5	3
108	одной стороны	5	3
109	о чем	2	3
110	в которой	9	3
111	не все	2	3
112	в противоположность	2	3
113	и для	4	3
114	тем не	3	3
115	и как	3	3
116	в порядке	2	3
117	если бы	4	3
118	к которому	4	3
119	роль в	2	3
120	или в	5	3
121	мира в	5	3
122	художественного мышления	4	3
123	одним из	3	3
124	с этой	3	3
125	на две	3	3
126	и вот	4	3
127	никто не	3	3
128	с одной	5	3
129	для себя	2	3
130	столь же	9	3
131	именно в	5	3
132	потому что	8	3
133	том числе	4	3
134	прежде всего	8	3
135	к его	3	3
136	и к	2	3
137	этом смысле	2	3
138	отнюдь не	2	3
139	мог бы	3	3
140	а на	2	3
141	и по	6	3
142	связи с	3	3
143	в связи	3	3
144	таким образом	13	3
145	нового времени	7	3
146	в финале	2	3
147	принадлежит к	2	3
148	в этой	9	3
149	в одном	10	3
150	как раз	4	3
151	вовсе не	3	3
152	вслед за	4	3
153	может служить	2	2
154	еще и	2	2
155	не могли	2	2
156	имеет в	2	2
157	могла бы	2	2
158	право на	2	2
159	идет о	5	2
160	для всех	5	2
161	восходит к	4	2
162	так же	4	2
163	если в	3	2
164	одну из	2	2
165	не всегда	2	2
166	что она	3	2
167	с их	4	2
168	за пределы	2	2
169	это было	5	2
170	об этом	2	2
171	и даже	5	2
172	в конце	7	2
173	и здесь	6	2
174	времени и	2	2
175	казалось бы	3	2
176	ни было	4	2
177	у нас	3	2
178	только на	2	2
179	и другие	3	2
180	самом начале	3	2
181	у него	6	2
182	в чем	3	2
183	вместе с	8	2
184	в какой	2	2
185	перед лицом	5	2
186	при всем	3	2
187	здесь мы	3	2
188	одной из	6	2
189	к нему	5	2
190	этом что	2	2
191	и это	3	2
192	ее в	2	2
193	тому что	4	2
194	о том	12	2
195	в самой	2	2
196	со временем	2	2
197	не вполне	2	2
198	следует признать	2	2
199	и на	9	2
200	на себя	5	2
201	соответствии с	2	2
202	на этом	3	2
203	в году	3	2
204	из которых	5	2
205	в известном	2	2
206	один из	9	2
207	в них	7	2
208	по себе	2	2
209	речь идет	6	2
210	несмотря на	5	2
211	в той	2	2
212	что и	10	2
213	к числу	2	2
214	а затем	4	2
215	с ними	2	2
216	о его	5	2
217	в стихе	2	2
218	то ни	4	2
219	и особенно	7	2
220	все это	7	2
221	что они	4	2
222	времени в	2	2
223	как будто	3	2
224	в первом	2	2
225	в большинстве	2	2
226	бы то	4	2
227	который в	2	2
228	тем же	2	2
229	чем это	2	2
