N	3gram	Vinokur_Vv	Formalny
1	с точки зрения	4	40
2	не может быть	10	29
3	то же время	6	20
4	в то же	6	20
5	и т д	39	19
6	и т п	5	18
7	во всяком случае	5	16
8	в связи с	2	16
9	по отношению к	4	12
10	в самом деле	6	11
11	в этом отношении	4	11
12	в зависимости от	3	10
13	с другой стороны	5	9
14	как мы видели	3	8
15	для того чтобы	22	8
16	до сих пор	7	8
17	вместе с тем	3	8
18	с одной стороны	4	8
19	в применении к	6	7
20	в свою очередь	2	7
21	и в этом	4	7
22	сам по себе	2	6
23	может быть и	2	6
24	языка и его	2	6
25	в данном случае	4	6
26	смысле этого слова	2	6
27	с тем что	3	6
28	в том что	15	6
29	в этом смысле	10	5
30	одной стороны и	3	5
31	в отличие от	4	5
32	в конце концов	2	4
33	тем не менее	9	4
34	не могут быть	2	4
35	и не могут	2	4
36	подобно тому как	2	4
37	не в том	2	4
38	сама по себе	3	4
39	но все же	4	4
40	можно говорить о	3	3
41	то же самое	3	3
42	что же касается	2	3
43	т е в	4	3
44	но в то	3	3
45	потому что он	2	3
46	мы уже знаем	2	3
47	так или иначе	4	3
48	в том чтобы	5	3
49	в строгом смысле	3	2
50	в той мере	6	2
51	вовсе не в	2	2
52	в широком смысле	7	2
53	в том или	2	2
54	этой точки зрения	2	2
55	именно в этом	3	2
56	той мере в	6	2
57	с этой точки	2	2
58	не говоря уже	2	2
59	на этот вопрос	5	2
60	не только в	4	2
61	хотя бы и	2	2
62	в собственном смысле	3	2
63	мере в какой	6	2
64	в этом случае	6	2
65	между ними и	2	2
66	том или ином	2	2
67	и в том	4	2
68	и со стороны	2	2
69	что в нем	2	2
70	дело в том	3	2
71	тех или иных	3	2
72	в целом ряде	2	2
