N	3gram	Tiupa_Narr	RusskieA
1	в том что	11	49
2	состоит в том	5	29
3	тем не менее	6	14
4	о том что	3	10
5	в данном случае	12	8
6	для того чтобы	4	8
7	подобно тому как	4	8
8	не может быть	6	6
9	в связи с	3	5
10	к тому что	4	5
11	во всяком случае	2	4
12	на себя внимание	3	4
13	не только на	2	4
14	в отличие от	6	4
15	на другой день	4	3
16	более или менее	2	3
17	по отношению к	5	3
18	с точки зрения	2	3
19	до сих пор	3	3
20	у нас нет	2	3
21	обращает на себя	3	3
22	на то что	2	3
23	в свою очередь	2	3
24	в равной степени	3	2
25	в этом и	3	2
26	можно сказать что	5	2
27	в этом отношении	5	2
28	не только в	12	2
29	с одной стороны	5	2
30	но и на	2	2
31	и т п	2	2
32	в е годы	2	2
