N	2gram	Potebnia_M	slovoVRo
1	и в	48	92
2	и т	12	82
3	т п	7	72
4	то есть	53	64
5	в нем	16	59
6	может быть	46	59
7	и его	4	59
8	и не	28	51
9	не только	32	44
10	не может	18	41
11	но и	30	39
12	в этом	19	36
13	а не	22	34
14	так и	17	30
15	точки зрения	4	30
16	могут быть	6	29
17	языка и	5	29
18	в его	6	27
19	слова в	7	26
20	все это	4	25
21	языка в	6	25
22	слово в	6	24
23	слова и	8	24
24	как бы	10	24
25	то же	35	23
26	языков и	2	22
27	и на	5	22
28	не в	24	21
29	в сущности	3	21
30	как в	17	21
31	вовсе не	13	21
32	в то	16	20
33	в процессе	2	20
34	прежде всего	6	19
35	как мы	8	19
36	как и	22	18
37	же время	8	18
38	с ним	10	18
39	все же	3	17
40	оно не	7	17
41	в истории	2	17
42	и даже	3	17
43	в большинстве	2	17
44	таким образом	24	17
45	к своему	3	16
46	отличие от	2	16
47	при этом	6	16
48	в них	9	16
49	но в	8	16
50	там где	6	15
51	и с	4	15
52	со своим	2	15
53	в той	2	15
54	с точки	3	15
55	человек и	2	15
56	так сказать	6	14
57	только в	29	14
58	это не	2	13
59	и следовательно	3	13
60	рядом с	2	13
61	отношении к	3	13
62	с другой	8	13
63	в слове	41	13
64	никогда не	2	12
65	и потому	9	12
66	отношение к	2	12
67	а в	14	12
68	или в	4	12
69	во всяком	4	12
70	словом и	6	12
71	и наконец	3	12
72	еще не	9	12
73	слово как	5	12
74	и к	5	12
75	один из	7	11
76	большинстве случаев	2	11
77	на его	4	11
78	с ними	6	11
79	одной стороны	4	11
80	в этих	2	11
81	с одной	8	11
82	для него	14	11
83	в своем	6	10
84	и их	4	10
85	в том	47	10
86	и все	5	10
87	она не	4	10
88	в себе	26	10
89	с другими	9	10
90	языку и	2	10
91	т д	5	10
92	лишь в	2	10
93	в языке	19	10
94	далеко не	5	10
95	уже не	11	10
96	его в	6	9
97	и от	5	9
98	одним из	3	9
99	и других	3	9
100	или менее	6	9
101	к нему	7	9
102	более или	6	9
103	в их	2	9
104	в своей	2	9
105	этом случае	2	9
106	сказать что	8	9
107	так как	20	9
108	языком и	3	9
109	но не	8	9
110	в смысле	4	9
111	конечно не	2	9
112	он не	4	9
113	язык не	6	8
114	не могут	7	8
115	человека и	8	8
116	может стать	3	8
117	в поэтическом	2	8
118	для понимания	5	8
119	в ней	11	8
120	с этим	12	8
121	они могут	2	8
122	человека в	2	8
123	в самом	11	8
124	входит в	3	8
125	для нас	40	8
