N	2gram	Nazirov_Tr	PoTuStor
1	может быть	7	17
2	и в	18	16
3	в этом	9	9
4	прежде всего	4	9
5	и с	7	8
6	не может	5	8
7	и его	6	8
8	не только	8	7
9	с его	2	7
10	и это	2	6
11	для него	3	6
12	при этом	3	6
13	ни в	2	5
14	все эти	3	5
15	как бы	7	5
16	еще не	4	5
17	отношение к	2	5
18	и на	7	4
19	все это	4	4
20	его в	2	4
21	в его	3	4
22	и ее	2	4
23	но и	4	4
24	и не	7	4
25	и все	4	4
26	но в	6	4
27	в этой	4	4
28	с ее	3	4
29	в нем	4	4
30	так и	5	4
31	отнюдь не	3	4
32	и даже	4	4
33	ребенка и	2	3
34	что в	4	3
35	и как	3	3
36	в том	2	3
37	в основном	3	3
38	как это	3	3
39	то что	4	3
40	если б	2	3
41	в одном	2	3
42	том что	4	3
43	один из	3	2
44	никогда не	2	2
45	что это	5	2
46	что и	2	2
47	во сне	2	2
48	не могут	2	2
49	о том	2	2
50	то же	5	2
51	как и	5	2
52	что он	6	2
53	так же	4	2
54	в самом	2	2
55	в частности	2	2
56	он не	2	2
57	у него	6	2
58	ненависть к	2	2
59	в душе	2	2
60	с ним	3	2
61	но это	4	2
