N	3gram	Losev_Vesc	Stilisti
1	в то же	5	9
2	то же время	4	7
3	для того чтобы	2	7
4	и то же	5	5
5	с точки зрения	6	5
6	одно и то	5	5
7	ту или иную	3	4
8	то что мы	3	4
9	в свою очередь	5	4
10	в конце концов	2	3
11	не только в	5	3
12	но все же	2	3
13	тех или иных	2	3
14	и не только	6	2
15	вместе с тем	3	2
16	все то что	2	2
17	что иное как	12	2
18	и кроме того	2	2
19	в самом деле	7	2
20	в этом отношении	2	2
21	к тому что	2	2
22	можно сказать что	3	2
23	и в то	3	2
24	есть не что	8	2
25	мы видели что	3	2
26	что же такое	4	2
27	о том что	4	2
28	мы видим что	2	2
29	не что иное	12	2
30	не может быть	22	2
31	равно как и	4	2
