N	3gram	Bakhtin_Fr	Stilisti
1	в то же	14	9
2	то же время	14	7
3	для того чтобы	8	7
4	с точки зрения	5	5
5	с самого начала	3	4
6	то же самое	3	4
7	как мы уже	6	3
8	на самом деле	4	3
9	как бы в	2	3
10	но и в	3	3
11	как мы видели	4	3
12	вместе с тем	2	2
13	все то что	5	2
14	в связи с	5	2
15	и как бы	2	2
16	происходит как бы	2	2
17	в самом деле	2	2
18	в этом отношении	7	2
19	можно сказать что	4	2
20	и в то	3	2
21	мы видели что	2	2
22	но в то	6	2
23	о том что	5	2
24	в разных местах	2	2
25	мы видим что	2	2
26	связи с этим	3	2
27	не может быть	4	2
