N	3gram	Tiupa_Hudo	EvropaiC
1	в том что	15	16
2	до сих пор	3	15
3	по отношению к	15	11
4	а между тем	3	8
5	с точки зрения	5	8
6	для того чтобы	2	7
7	на то что	2	7
8	друг от друга	2	6
9	так или иначе	3	5
10	в самом деле	5	5
11	том случае если	2	4
12	в том случае	2	4
13	тем не менее	6	4
14	о том что	14	4
15	не может быть	5	4
16	так же как	2	3
17	в данном случае	3	3
18	все же не	2	3
19	в связи с	3	3
20	с одной стороны	4	2
21	но все же	2	2
22	что же касается	2	2
23	то же время	11	2
24	как и в	5	2
25	в то же	11	2
