N	2gram	Medvedev_S	Stilisti
1	и в	3	42
2	как бы	2	30
3	не только	3	28
4	то же	2	16
5	но и	2	16
6	может быть	2	13
7	в этом	5	10
8	то что	2	9
9	таким образом	2	8
10	только в	2	7
11	было бы	2	7
12	не в	3	6
13	но ведь	3	6
14	в конце	2	6
15	в его	3	6
16	все это	7	4
17	как только	2	4
18	том что	2	3
19	конце концов	2	3
20	в том	5	3
21	в частности	2	3
22	еще не	2	3
23	главным образом	2	3
24	для нас	3	3
25	очевидно что	2	2
26	по отношению	2	2
27	к которому	2	2
28	отношению к	2	2
29	нужно было	2	2
30	или даже	2	2
