N	2gram	Propp_Morf	Problemy
1	и в	17	106
2	и не	16	90
3	как бы	6	70
4	может быть	61	66
5	т е	25	59
6	в этом	18	52
7	не может	19	49
8	что он	5	44
9	как и	4	44
10	но и	9	40
11	точки зрения	7	40
12	для него	2	39
13	и его	3	39
14	а не	11	38
15	не только	8	36
16	то же	10	36
17	в пределах	3	35
18	то что	10	33
19	но в	4	33
20	прежде всего	14	32
21	в то	4	29
22	все это	2	29
23	он не	5	29
24	не в	3	27
25	в одном	2	27
26	к другому	2	27
27	к себе	2	26
28	к нему	3	25
29	в сущности	3	25
30	с точки	6	25
31	и т	62	25
32	самом деле	4	24
33	героя и	3	24
34	вовсе не	6	24
35	таким образом	26	22
36	как мы	8	21
37	там где	5	21
38	все же	9	20
39	потому что	7	20
40	только в	3	20
41	что в	10	19
42	с его	3	19
43	отношению к	7	19
44	что же	2	19
45	на самом	4	18
46	по отношению	7	18
47	все эти	5	18
48	уже не	4	18
49	еще не	4	18
50	но не	8	18
51	это не	6	17
52	в том	10	17
53	так и	10	17
54	а в	8	17
55	и к	4	17
56	так же	4	16
57	в другом	2	16
58	если бы	3	16
59	и для	4	15
60	у него	2	15
61	так как	20	14
62	его в	4	13
63	перед нами	14	13
64	героя в	5	13
65	большинстве случаев	3	13
66	в целом	5	13
67	себя и	2	13
68	с другими	2	13
69	на него	4	13
70	но все	4	13
71	в большинстве	3	13
72	том что	7	12
73	в одной	2	12
74	ничего не	5	12
75	к тому	5	12
76	между тем	5	12
77	не знает	2	12
78	что и	10	12
79	было бы	5	12
80	во всяком	2	12
81	но это	6	12
82	и даже	2	12
83	и как	6	12
84	как в	5	12
85	и что	3	12
86	не могут	7	11
87	в форме	6	11
88	она не	2	11
89	бы в	2	11
90	тем что	4	11
91	с другой	9	11
92	их в	2	11
93	входит в	4	11
94	мы уже	4	11
95	как будто	2	11
96	далеко не	5	10
97	приводит к	3	10
98	или в	6	9
99	могут быть	21	9
100	хотя и	5	9
101	другой стороны	5	9
102	хотя бы	5	9
103	ни в	3	9
104	всяком случае	2	9
105	мы должны	3	8
106	но как	3	8
107	одним из	2	8
108	это и	3	8
109	вот как	2	8
110	того что	3	8
111	здесь не	3	8
112	несмотря на	4	8
113	к герою	3	8
114	не на	2	8
115	должна быть	2	8
116	из его	2	8
117	что это	3	8
118	то перед	5	8
119	мы увидим	10	8
120	ни было	2	8
121	в результате	8	8
122	о том	6	8
123	и у	3	8
124	из них	4	8
125	вопрос о	10	7
126	от него	2	7
127	в этих	17	7
128	в виде	3	7
129	и др	12	7
130	его и	2	7
131	не входит	2	7
132	то ни	3	7
133	что они	5	7
134	и ее	5	7
135	например в	2	7
136	бы то	3	7
137	сказать что	4	7
138	что она	2	7
139	т д	60	7
140	лишь на	2	7
141	и их	3	7
142	во всех	6	7
143	на этот	2	7
144	если же	5	7
145	на вопрос	2	6
146	а с	2	6
147	по существу	13	6
148	не менее	7	6
149	но эти	3	6
150	и этим	7	6
151	на его	5	6
152	себя в	2	6
153	героя а	4	6
154	во время	6	6
155	о герое	3	6
156	и здесь	7	6
157	одна из	5	6
158	как же	3	6
159	с этим	14	6
160	в начале	3	6
161	можно было	4	6
162	кроме того	3	6
163	превращается в	2	6
164	но для	3	6
165	друг друга	3	6
166	в плоскости	3	6
167	и пр	45	6
168	и только	3	6
169	в этой	3	6
170	на то	3	6
171	он может	2	6
172	в своих	2	6
173	этот вопрос	4	6
174	в которых	2	6
175	на этом	4	6
176	в основе	2	6
177	но с	2	6
178	есть и	4	5
179	он старается	2	5
180	здесь мы	3	5
181	по своему	2	5
182	с тем	2	5
183	но так	2	5
184	тому что	5	5
185	они не	3	5
186	благодаря этому	3	5
187	в чем	2	5
188	однако в	2	5
189	но здесь	2	5
190	один из	7	5
191	мы не	8	5
192	в последнем	3	5
193	другого и	2	5
194	в глаза	2	5
195	та же	3	5
196	между собою	2	5
197	подобно тому	6	5
198	тому как	5	5
199	с собой	3	5
200	быть и	2	5
201	тем не	7	4
202	как их	2	4
203	от того	4	4
204	является в	2	4
205	он должен	3	4
206	а вовсе	2	4
207	из которых	5	4
208	или менее	2	4
209	заставляет его	2	4
210	а то	3	4
211	более или	2	4
212	не значит	3	4
213	то это	5	4
214	на котором	4	4
215	связи с	12	4
216	в первом	5	4
217	герой не	2	4
218	время как	3	4
219	то в	3	4
220	появляется в	2	4
221	в которой	3	4
222	это было	3	4
223	героя из	2	4
224	от другого	3	4
225	только что	3	4
226	к другу	2	4
227	об этом	5	4
228	ивана в	3	4
229	этом отношении	2	4
230	с этой	3	4
231	нами в	4	4
232	друг на	2	4
233	вообще не	2	4
234	также и	6	4
235	что такое	3	4
236	оно не	2	4
237	героя к	2	4
238	на друга	2	4
239	друг к	2	4
240	данном случае	2	3
241	в настоящее	3	3
242	ни одной	2	3
243	герой и	4	3
244	есть нечто	3	3
245	к чему	3	3
246	этого не	2	3
247	увидим что	2	3
248	могли бы	2	3
249	что этот	2	3
250	настоящее время	3	3
251	здесь же	3	3
252	с героем	2	3
253	между собой	5	3
254	совсем не	3	3
255	того чтобы	4	3
256	а затем	10	3
