N	2gram	Losev_Vlad	UchenyiS
1	и в	56	14
2	не только	35	10
3	а не	5	10
4	и не	33	8
5	прежде всего	5	8
6	то что	30	7
7	не может	12	7
8	в этом	30	7
9	может быть	12	6
10	то же	10	5
11	хотя бы	5	5
12	все это	7	5
13	но и	26	4
14	в этой	4	4
15	что такое	3	4
16	с другой	3	4
17	в россии	7	4
18	в их	2	4
19	конечно не	5	4
20	у нас	11	3
21	в частности	4	3
22	это не	3	3
23	только к	3	3
24	и то	13	3
25	в своей	7	3
26	все же	11	3
27	как и	7	3
28	в то	15	3
29	но в	19	3
30	этой области	2	3
31	же время	7	3
32	было бы	7	3
33	в области	3	3
34	бы то	2	3
35	то ни	2	3
36	другой стороны	3	3
37	для него	16	3
38	в самом	3	2
39	в себе	5	2
40	что мы	2	2
41	и у	4	2
42	мы и	4	2
43	о чем	6	2
44	нас в	2	2
45	на эту	3	2
46	что он	22	2
47	литературы и	2	2
48	таким образом	6	2
49	но не	5	2
50	и для	4	2
51	если бы	2	2
52	только в	11	2
53	одним из	3	2
54	этом смысле	4	2
55	не есть	4	2
56	что она	2	2
57	ничего не	4	2
58	всех этих	3	2
59	даже и	12	2
60	и с	27	2
61	что и	6	2
62	на первый	4	2
63	но даже	3	2
64	и через	3	2
65	не могут	2	2
66	это было	9	2
67	по себе	3	2
68	тем что	2	2
69	том что	22	2
70	в его	18	2
71	в том	26	2
72	что все	2	2
73	этом отношении	2	2
74	если не	4	2
75	с его	15	2
76	как раз	7	2
77	конце концов	6	2
78	его и	2	2
79	но это	6	2
80	для всех	2	2
81	по существу	4	2
82	не в	12	2
83	интереса к	3	2
84	нам представляется	3	2
85	в конце	22	2
86	мы не	2	2
87	не столько	4	2
