N	2gram	Vygotskiy_	Vladivir
1	и в	37	116
2	то что	32	71
3	и не	15	67
4	не только	29	65
5	у него	2	65
6	в этом	32	53
7	в том	47	52
8	том что	42	51
9	что в	25	48
10	но и	23	47
11	в конце	2	41
12	в его	16	40
13	и с	10	39
14	сказать что	16	36
15	и даже	5	36
16	также и	2	36
17	так что	2	35
18	учение о	4	35
19	потому что	11	33
20	что он	16	32
21	не может	16	31
22	о том	14	30
23	только в	8	30
24	никогда не	8	29
25	как мы	11	29
26	для него	5	29
27	вовсе не	5	27
28	а в	4	27
29	в то	7	25
30	но в	9	25
31	в себе	8	25
32	и то	3	25
33	а к	2	25
34	и его	10	25
35	философии и	3	23
36	точки зрения	49	23
37	может быть	19	23
38	он не	11	23
39	что же	3	23
40	в виде	3	22
41	так как	11	22
42	об этом	6	22
43	ни в	6	22
44	в своей	7	21
45	вместе с	14	21
46	а именно	2	20
47	в своем	10	20
48	прежде всего	12	20
49	для нас	4	20
50	и что	11	20
51	и потому	3	19
52	и вообще	2	19
53	так и	12	19
54	как раз	8	19
55	по поводу	5	19
56	таким образом	39	19
57	в течение	4	19
58	не в	9	18
59	как это	6	18
60	как и	20	18
61	хотя и	2	18
62	с его	7	18
63	едва ли	5	17
64	что и	3	17
65	в этой	13	17
66	то это	2	17
67	а не	5	17
68	и если	4	17
69	уже не	2	16
70	все же	6	16
71	того что	28	16
72	было бы	12	16
73	к тому	10	16
74	и все	7	16
75	для себя	7	16
76	в котором	6	16
77	в связи	3	15
78	к этому	7	15
79	несмотря на	6	15
80	то же	12	15
81	в своих	6	15
82	и к	9	15
83	уже в	8	14
84	все эти	6	14
85	и как	7	14
86	и на	8	14
87	мы уже	7	14
88	так же	18	13
89	с тем	8	13
90	можно сказать	6	13
91	и от	4	13
92	что это	8	13
93	в результате	7	13
94	дело в	3	13
95	жизни и	2	13
96	на этот	7	13
97	то время	5	13
98	во всем	4	13
99	ничего не	6	12
100	в нем	2	12
101	и по	3	12
102	связи с	7	12
103	во всяком	6	12
104	и это	3	12
105	учения о	8	12
106	если не	3	12
107	по себе	9	12
108	всяком случае	5	12
109	в отношении	14	11
110	мы должны	11	11
111	я не	4	11
112	при этом	6	11
113	все это	9	11
114	это есть	2	11
115	в данном	5	11
116	хотя бы	7	11
117	в которой	6	11
118	то он	3	11
119	на то	11	11
120	но что	3	11
121	вот что	2	10
122	даже в	4	10
123	в ней	2	10
124	что его	6	10
125	что все	8	10
126	в качестве	12	10
127	в истории	7	10
128	можно было	6	10
129	но не	6	10
130	что для	8	10
131	в самом	16	10
132	отнюдь не	2	10
133	с точки	34	10
134	с ним	3	10
135	это не	5	9
136	о чем	2	9
137	оно есть	2	9
138	мы знаем	3	9
139	а с	8	9
140	смысле слова	6	9
141	в целом	29	9
142	в начале	2	9
143	по существу	8	9
144	что если	3	9
145	с этим	8	9
146	и сам	2	9
147	с другой	16	9
148	именно в	8	9
149	этом смысле	3	9
150	что мы	9	9
151	из этого	6	9
152	же время	2	9
153	отношения к	3	9
154	мы будем	2	9
155	не столько	4	8
156	в чем	5	8
157	как бы	16	8
158	тот же	7	8
159	из этих	6	8
160	должно быть	4	8
161	тем что	7	8
162	и я	2	8
163	с этой	7	8
164	в этих	3	8
165	как в	7	8
166	и для	3	8
167	можно считать	2	8
168	когда он	5	8
169	со стороны	4	8
170	которой он	2	8
171	в смысле	2	8
172	в каком	3	7
173	к его	3	7
174	но даже	2	7
175	как он	7	7
176	при помощи	2	7
177	не имеет	5	7
178	к этой	4	7
179	себе и	3	7
180	на первом	2	7
181	по этому	4	7
182	нисколько не	2	7
183	точно так	2	7
184	того чтобы	23	7
185	бы и	4	7
186	мы видели	8	7
187	и мы	3	7
188	то и	4	7
189	за пределы	4	7
190	если бы	10	7
191	и вот	3	7
192	но если	3	7
193	но все	3	7
194	в одном	5	7
195	с в	4	7
196	что этот	2	7
197	на первый	3	7
198	и есть	2	7
199	первый план	3	7
200	в нашем	3	7
201	в них	5	7
202	мы и	3	7
203	данном случае	5	6
204	те же	2	6
205	в отличие	3	6
206	учении о	6	6
207	что здесь	2	6
208	от того	7	6
209	есть не	3	6
210	том же	4	6
211	здесь у	2	6
212	к своему	2	6
213	на основании	6	6
214	в виду	5	6
215	само по	3	6
216	отличие от	3	6
217	что на	2	6
218	тому что	6	6
219	в общем	5	6
220	его на	3	6
221	под влиянием	3	6
222	время как	4	6
223	другой стороны	10	6
224	тем более	7	6
225	что она	6	6
226	по мнению	2	6
227	на него	3	6
228	мысли и	7	6
229	и наконец	3	6
230	для того	19	6
231	такой же	3	6
232	мы не	13	6
233	и из	2	6
234	не с	2	6
235	в жизни	2	6
236	если мы	8	6
237	которых он	3	6
238	но на	4	6
239	той же	4	6
240	главным образом	2	6
241	по своей	9	6
242	и теперь	2	6
243	он сам	3	6
244	по его	2	6
245	и речи	45	6
246	начиная с	2	5
247	но мы	4	5
248	понятие о	2	5
249	на эту	2	5
250	вопрос о	11	5
251	еще на	4	5
