N	2gram	Savitsky_E	Freidism
1	и не	14	34
2	таким образом	2	34
3	точки зрения	23	31
4	не может	9	30
5	может быть	6	28
6	и в	37	28
7	в этом	12	28
8	прежде всего	9	26
9	в его	2	25
10	мы можем	3	20
11	как бы	6	19
12	как мы	5	18
13	то что	6	17
14	вовсе не	6	16
15	так как	7	15
16	точка зрения	2	15
17	с точки	17	15
18	так и	10	14
19	в своей	8	14
20	во всех	6	13
21	и все	2	13
22	но в	14	13
23	как и	7	13
24	и потому	5	12
25	том что	6	12
26	то же	15	12
27	мы видели	3	12
28	в самом	4	12
29	и наконец	2	12
30	сказать что	4	11
31	только в	9	11
32	никогда не	3	10
33	и с	2	10
34	не только	18	10
35	но и	14	10
36	не в	5	10
37	он не	2	10
38	в том	11	10
39	что же	2	10
40	мы должны	2	9
41	могут быть	2	9
42	культурного творчества	2	9
43	к нему	2	9
44	и на	6	9
45	мы не	4	9
46	а не	2	9
47	во всяком	3	9
48	с этим	2	8
49	было бы	8	8
50	с другими	2	8
51	а в	2	8
52	в ней	4	8
53	всяком случае	3	8
54	в каком	4	7
55	не могут	2	7
56	в то	16	7
57	в себе	9	7
58	что в	21	7
59	хотя бы	15	7
60	и для	3	7
61	не является	3	7
62	того что	7	7
63	но не	5	7
64	что все	2	7
65	и к	3	7
66	из них	3	7
67	и прежде	3	7
68	жизни и	2	7
69	в этой	2	7
70	для того	6	6
71	в таком	3	6
72	и только	3	6
73	в пределах	25	6
74	она не	2	6
75	к тому	8	6
76	не можем	2	6
77	можно сказать	4	6
78	в свою	3	6
79	большинстве случаев	3	6
80	и что	2	6
81	же время	14	6
82	что это	2	5
83	со стороны	5	5
84	можем сказать	2	5
85	и по	5	5
86	во второй	3	5
87	между ними	2	5
88	в этих	2	5
89	на основании	2	5
90	как это	4	5
91	что и	3	5
92	ее в	3	5
93	в общем	3	5
94	далеко не	2	5
95	в своих	2	5
96	в большинстве	2	5
97	в процессе	4	5
98	отнюдь не	9	5
99	того чтобы	6	5
100	в ее	8	5
101	он сам	2	5
102	заключается в	2	5
103	вместе с	2	5
104	данном случае	2	4
105	так же	9	4
106	в развитии	2	4
107	в области	11	4
108	этот процесс	2	4
109	этом отношении	3	4
110	если бы	2	4
111	в психологии	3	4
112	свою очередь	2	4
113	как в	3	4
114	к ней	4	4
115	между собой	2	4
116	в своем	14	4
117	влияние на	2	4
118	по своему	7	4
119	в котором	2	4
120	потому что	3	4
121	именно в	4	4
122	этот вопрос	2	4
123	главным образом	2	4
124	по себе	4	4
125	отметить что	3	4
126	то ни	4	4
127	в истории	2	4
128	в данном	3	4
129	на язык	2	4
130	не дает	3	4
131	и то	2	3
132	и от	3	3
133	и притом	4	3
134	тому чтобы	2	3
135	независимо от	4	3
136	жизни в	3	3
137	в результате	3	3
138	на всем	4	3
139	и даже	6	3
140	и как	2	3
141	и таким	2	3
142	как не	2	3
143	и со	3	3
144	такой же	2	3
145	связано с	3	3
146	как на	3	3
147	в какой	2	3
148	ведь и	2	3
149	на этот	2	3
150	ни на	3	3
151	о том	3	3
152	того же	3	3
153	притом в	2	3
154	на себя	3	3
155	в одном	2	3
156	в них	3	3
157	можно ли	3	3
158	для них	2	3
159	говорит о	3	3
160	мы видим	2	3
161	когда он	3	3
162	во всей	2	3
163	во втором	2	3
164	между тем	8	3
165	на основе	2	3
166	всего к	2	3
167	бы то	4	3
168	лежат в	4	2
169	в отношении	32	2
170	вопрос о	4	2
171	в культурном	3	2
172	или иной	4	2
173	нас к	2	2
174	а также	7	2
175	то в	4	2
176	из того	2	2
177	ли это	3	2
178	время в	3	2
179	по преимуществу	2	2
180	бы и	3	2
181	дело в	3	2
182	и поэтому	2	2
183	бы в	2	2
184	все другие	2	2
185	также в	2	2
186	применении к	3	2
187	ее от	2	2
188	при помощи	2	2
189	и тем	3	2
190	в некоторых	2	2
191	в их	11	2
192	ни было	4	2
193	но именно	2	2
194	а именно	2	2
195	и та	2	2
196	для нас	4	2
197	в экономическом	6	2
198	в течение	5	2
199	с одной	8	2
200	должна быть	2	2
201	для понимания	2	2
202	в мире	2	2
203	и этот	2	2
204	в прошлом	3	2
205	от этого	5	2
206	думать что	8	2
207	в эту	2	2
208	не имеет	4	2
209	вообще не	3	2
210	также и	7	2
211	не есть	2	2
212	как совокупность	4	2
213	с другой	7	2
214	и творчества	2	2
215	заметить что	2	2
216	исключительно в	2	2
217	еще более	2	2
218	во многом	2	2
219	одной стороны	8	2
220	в применении	3	2
221	этом смысле	3	2
222	тогда когда	2	2
223	представляет собой	3	2
224	но как	2	2
225	на них	2	2
226	мог бы	2	2
227	ко всему	2	2
228	но если	5	2
229	и теперь	2	2
230	там где	3	2
231	же как	5	2
232	и во	2	2
233	обстоит дело	3	2
234	в качестве	14	2
235	не к	2	2
236	мира в	4	2
