N	2gram	Nazirov_Tr	Formalny
1	и в	18	95
2	и не	7	78
3	может быть	7	66
4	в этом	9	61
5	не может	5	57
6	и его	6	51
7	так и	5	50
8	в нем	4	42
9	в его	3	42
10	прежде всего	4	41
11	как и	5	39
12	не в	2	35
13	в самом	2	35
14	но и	4	33
15	то же	5	32
16	не только	8	30
17	в том	2	26
18	отнюдь не	3	26
19	то что	4	25
20	при этом	3	24
21	в то	5	22
22	и ее	2	22
23	как бы	7	21
24	что в	4	21
25	и с	7	21
26	с тем	2	20
27	же время	6	20
28	не могут	2	19
29	все это	4	19
30	все же	5	18
31	и все	4	18
32	все эти	3	18
33	с его	2	18
34	как в	3	17
35	так же	4	16
36	потому что	2	16
37	его в	2	15
38	но в	6	15
39	должно быть	3	15
40	и на	7	15
41	что он	6	14
42	в целом	4	14
43	в ее	2	14
44	в своем	3	14
45	еще не	4	14
46	в этой	4	14
47	до конца	2	13
48	что и	2	13
49	тем что	2	13
50	ни в	2	13
51	как это	3	12
52	и здесь	2	12
53	к тому	2	12
54	уже не	2	12
55	никогда не	2	11
56	для него	3	11
57	друг друга	2	10
58	в дальнейшем	5	10
59	с ее	3	10
60	в первом	2	10
61	и как	3	10
62	раз и	2	10
63	он не	2	10
64	ничего не	2	9
65	но это	4	9
66	и до	2	9
67	и даже	4	9
68	это не	5	8
69	что это	5	8
70	в данном	2	8
71	том что	4	7
72	в себе	4	7
73	но все	2	7
74	столь же	2	7
75	ничем не	2	7
76	он и	2	7
77	данном случае	2	6
78	тем самым	3	6
79	в конце	3	6
80	отношение к	2	6
81	в частности	2	6
82	и это	2	6
83	один из	3	6
84	он был	2	6
85	жизнь и	3	6
86	о том	2	6
87	уже в	3	6
88	с ним	3	6
89	она должна	2	5
90	а как	2	5
91	в основном	3	5
92	отличие от	2	5
93	не так	2	5
94	в отличие	2	5
95	бы и	2	5
96	и то	2	5
97	то и	2	5
98	в мире	3	5
99	к нему	3	5
100	не имеет	2	5
101	еще в	2	5
102	и что	4	5
103	вопрос о	2	5
104	в романе	10	4
105	одна из	2	4
106	нет в	2	4
107	но при	2	4
108	впечатление что	2	4
109	в таком	2	4
110	под влиянием	2	4
111	между этими	2	4
112	но эта	2	4
113	чем он	2	4
114	перед нами	2	3
115	а что	2	3
116	в году	9	3
117	так что	2	3
118	было в	2	3
119	вряд ли	2	3
120	этими двумя	2	3
121	в это	2	3
122	из своих	2	3
123	этот образ	4	3
124	в известной	2	3
125	в самую	2	3
126	романа и	3	3
127	в одном	2	3
128	не просто	2	3
129	но они	2	3
130	от всего	2	2
131	о чем	3	2
132	этого романа	2	2
133	не был	2	2
134	что говорит	2	2
135	в виде	2	2
136	это уже	2	2
137	только к	2	2
138	что этот	2	2
139	в русском	2	2
140	никто не	3	2
141	который в	2	2
142	собой но	2	2
143	ее к	2	2
144	что она	2	2
145	в душе	2	2
146	как у	2	2
147	русской литературы	2	2
148	жизнью и	2	2
149	несмотря на	5	2
150	для искусства	2	2
151	говорит о	2	2
