N	2gram	Losev_Dial	Hudozhes
1	в качестве	2	31
2	в мире	3	24
3	и в	35	23
4	не только	26	20
5	в том	20	20
6	может быть	30	19
7	при этом	2	19
8	в частности	4	18
9	и не	51	16
10	но и	17	14
11	а в	8	13
12	в себе	23	13
13	я в	3	13
14	но не	9	13
15	а не	24	13
16	то же	21	12
17	в этом	18	12
18	и его	6	12
19	так и	18	12
20	как бы	19	11
21	точки зрения	25	11
22	в его	4	11
23	но в	8	10
24	не в	12	9
25	в душе	8	9
26	или иной	4	9
27	том что	18	9
28	не может	16	9
29	с другой	10	9
30	в искусстве	2	9
31	в то	10	8
32	себя в	2	8
33	в области	2	8
34	в самом	6	7
35	по своей	5	7
36	отношение к	5	7
37	я и	3	7
38	в своей	9	7
39	только в	7	7
40	же время	9	7
41	как это	8	7
42	что в	19	7
43	в основе	4	7
44	более или	5	6
45	мы имеем	4	6
46	уже не	3	6
47	другой стороны	7	6
48	в нем	25	6
49	можно сказать	10	6
50	в ее	3	6
51	или менее	5	6
52	ни в	20	5
53	с другими	2	5
54	той или	11	5
55	или иначе	3	5
56	могут быть	6	5
57	для того	2	5
58	в виду	9	5
59	со стороны	2	5
60	в их	5	5
61	не является	3	5
62	что он	16	5
63	то что	25	5
64	не менее	5	5
65	прежде всего	14	5
66	того что	6	5
67	для него	2	5
68	личности в	2	4
69	и то	15	4
70	сказать что	19	4
71	в отношении	5	4
72	его в	3	4
73	далеко не	2	4
74	это не	18	4
75	а только	5	4
76	к тому	6	4
77	на почве	2	4
78	между тем	3	4
79	во времени	4	4
80	в данном	5	4
81	в другом	6	4
82	не знает	2	4
83	в силу	6	4
84	и как	14	4
85	еще не	4	4
86	и тем	2	4
87	и что	17	4
88	говорить о	9	4
89	силу своей	2	4
90	в этих	6	4
91	он не	5	4
92	и о	4	4
93	отношения к	3	4
94	например в	2	4
95	в своем	7	4
96	хотя и	4	4
97	так или	3	4
98	даже в	6	3
99	объекта и	2	3
100	в жизни	3	3
101	к нему	12	3
102	и для	2	3
103	по своему	4	3
104	одно и	8	3
105	и притом	7	3
106	как и	10	3
107	в акте	2	3
108	их в	2	3
109	говоря о	2	3
110	потому что	23	3
111	о чем	4	3
112	одной стороны	3	3
113	в противоположность	6	3
114	к его	2	3
115	человеческой жизни	2	3
116	и к	8	3
117	во всех	3	3
118	личности и	2	3
119	тем не	3	3
120	а именно	3	3
121	субъекта и	4	3
122	из этих	2	3
123	связи с	3	3
124	мог бы	3	3
125	на деле	2	3
126	если бы	12	3
127	в той	4	3
128	не будет	2	3
129	как раз	7	3
130	с точки	18	3
131	не обязательно	5	3
132	с этой	3	3
133	в связи	3	3
134	таким образом	5	3
135	в таком	4	3
136	есть в	2	3
137	в которой	3	3
138	никто не	2	3
139	была бы	4	3
140	в узком	2	3
141	этом смысле	4	3
142	отношении к	3	3
143	в одном	4	3
144	с одной	4	3
145	перед лицом	2	3
146	но он	3	3
147	и состоит	2	3
148	в системе	2	3
149	никогда не	18	2
150	о том	8	2
151	в каком	10	2
152	как в	3	2
153	чтобы не	6	2
154	и др	2	2
155	тот кто	2	2
156	одно из	2	2
157	и это	6	2
158	ее в	2	2
159	могла бы	2	2
160	тому что	4	2
161	и потому	6	2
162	то в	8	2
163	еще и	4	2
164	в чем	9	2
165	что такое	13	2
166	или в	2	2
167	для меня	5	2
168	именно в	4	2
169	но как	7	2
170	все эти	4	2
171	тем более	2	2
172	времени в	2	2
173	не всегда	2	2
174	человека и	2	2
175	мира и	2	2
176	вслед за	2	2
177	времени и	10	2
178	образом и	3	2
179	оно не	2	2
180	что она	18	2
181	с их	2	2
182	должен быть	2	2
183	за пределы	4	2
184	быть и	7	2
185	говорит что	3	2
186	дело не	3	2
187	этой точки	2	2
188	только и	5	2
189	не как	4	2
190	но она	4	2
191	так же	6	2
192	во мне	5	2
193	отличается от	3	2
194	об этом	7	2
195	и по	5	2
196	это может	4	2
197	он и	2	2
198	я не	9	2
199	тех или	5	2
200	отнюдь не	13	2
201	один из	3	2
202	собственно говоря	5	2
203	в них	4	2
204	по себе	39	2
205	которая не	2	2
206	сама по	12	2
207	речь идет	2	2
208	несмотря на	12	2
209	с чем	2	2
210	таком случае	2	2
211	на мир	2	2
212	на этом	4	2
213	тем или	2	2
214	это и	6	2
215	и больше	2	2
216	все это	14	2
217	с ними	4	2
218	из этого	2	2
219	что и	7	2
220	ни было	2	2
221	в одно	5	2
222	не просто	19	2
223	и может	7	2
224	только о	3	2
225	может оказаться	2	2
226	мире и	3	2
227	самом деле	6	2
228	случае не	4	2
229	и более	7	2
230	в этой	3	2
231	но только	6	2
232	ни к	2	2
233	а с	2	2
234	с ним	9	2
235	превращается в	2	2
236	в какой	3	2
237	вовсе не	19	2
238	заключается в	4	2
239	если мы	3	2
240	не сама	3	2
241	у него	2	2
242	при условии	3	2
243	не с	5	2
