N	2gram	Losev_Prob	OGranits
1	и в	62	13
2	и его	12	12
3	прежде всего	13	9
4	и не	56	8
5	не может	14	8
6	может быть	39	8
7	в его	10	7
8	точки зрения	14	7
9	не только	33	6
10	мы должны	13	6
11	как бы	11	6
12	таким образом	13	6
13	только в	33	6
14	то что	42	6
15	языка и	4	5
16	все же	10	5
17	с точки	9	5
18	но ведь	2	5
19	и наконец	2	5
20	хотя бы	6	5
21	художественного произведения	14	5
22	в процессе	2	5
23	мы можем	11	4
24	еще и	10	4
25	но в	17	4
26	только и	9	4
27	то же	23	4
28	не является	19	4
29	в своей	8	4
30	все это	9	4
31	было бы	14	4
32	мы не	15	4
33	никогда не	7	3
34	да и	9	3
35	одно и	4	3
36	и для	5	3
37	общего с	3	3
38	и то	17	3
39	и все	13	3
40	в ее	6	3
41	с этим	5	3
42	как и	15	3
43	в пределах	3	3
44	не в	21	3
45	в их	2	3
46	говорить о	7	3
47	только путем	4	3
48	ничего общего	7	3
49	так как	14	3
50	в себе	23	3
51	что в	11	3
52	но для	3	3
53	самом деле	6	3
54	есть прежде	3	3
55	за пределы	6	3
56	так и	16	3
57	что же	9	3
58	в которой	3	3
59	в одном	4	3
60	в искусстве	4	3
61	здесь мы	5	3
62	но и	20	3
63	не столько	2	3
64	в самом	4	2
65	могут быть	2	2
66	может иметь	4	2
67	собственно говоря	5	2
68	она является	3	2
69	в этом	25	2
70	смысле слова	19	2
71	в них	6	2
72	для себя	6	2
73	данном случае	12	2
74	кажется что	2	2
75	уже в	5	2
76	в том	35	2
77	тем что	8	2
78	в отношении	4	2
79	есть не	13	2
80	несмотря на	4	2
81	в целом	9	2
82	если бы	9	2
83	с одной	3	2
84	не имеет	12	2
85	или иного	5	2
86	зависимости от	3	2
87	явлений и	3	2
88	говорить об	2	2
89	ее в	2	2
90	с другой	14	2
91	слова и	3	2
92	а в	9	2
93	и тем	16	2
94	том что	25	2
95	того или	8	2
96	а как	2	2
97	а также	6	2
98	и к	9	2
99	в языке	4	2
100	в связи	9	2
101	в зависимости	3	2
102	в данном	14	2
103	не менее	24	2
104	и следовательно	3	2
105	с ними	2	2
106	все эти	14	2
107	художественное произведение	9	2
108	в области	2	2
109	связанные с	2	2
110	так же	11	2
111	иным как	2	2
112	что они	8	2
113	мы уже	4	2
114	и при	2	2
115	с этой	3	2
116	и может	4	2
117	в своих	2	2
118	в нем	13	2
119	он только	2	2
120	не на	2	2
121	в тех	3	2
122	при этом	9	2
123	сознания и	2	2
124	и ее	7	2
125	каждый элемент	2	2
126	нет ничего	6	2
127	символики и	2	2
128	что иное	6	2
129	а не	28	2
130	между собою	5	2
131	чем иным	2	2
132	во всей	3	2
133	в ней	12	2
134	входит в	3	2
135	как в	10	2
136	другой стороны	11	2
137	во всем	2	2
138	который мы	2	2
139	и является	6	2
140	чем же	7	2
141	не чем	2	2
142	одной стороны	2	2
143	бы в	3	2
144	в целях	6	2
145	и этот	3	2
146	в чем	5	2
147	которое мы	5	2
148	иное как	6	2
149	не что	6	2
150	в другом	4	2
151	вовсе не	62	2
152	учение о	3	2
153	к тому	4	2
154	для него	4	2
