N	3gram	Bakhtin_Pr	StatiiOP
1	в том что	6	47
2	о том что	3	29
3	до сих пор	8	19
4	с точки зрения	13	14
5	с другой стороны	3	13
6	не может быть	8	11
7	в то же	8	9
8	то же время	8	9
9	на то что	2	9
10	можно было бы	2	9
11	дело в том	3	9
12	тем не менее	2	8
13	по крайней мере	2	6
14	по отношению к	5	6
15	так и в	2	6
16	в этом смысле	5	6
17	нужно сказать что	2	5
18	с самого начала	4	5
19	в свое время	4	5
20	но и в	2	5
21	можно сказать что	6	3
22	на себя внимание	2	3
23	в том числе	15	3
24	более или менее	3	3
25	мы имеем в	3	2
26	и в конце	2	2
27	потому что это	2	2
28	но в то	3	2
29	может быть и	2	2
30	и др в	3	2
31	на этой почве	2	2
32	в котором он	2	2
33	а также и	3	2
34	как своего рода	2	2
35	как и в	4	2
36	той или иной	2	2
37	а между тем	2	2
38	и в то	3	2
39	несколько слов о	3	2
40	в зависимости от	3	2
41	хотя бы и	2	2
42	том числе и	13	2
