N	3gram	Medvedev_V	Komedia
1	в том что	5	29
2	до сих пор	2	16
3	то же время	5	16
4	в то же	5	16
5	о том что	3	13
6	для того чтобы	3	11
7	и т п	9	11
8	по отношению к	7	9
9	с одной стороны	2	9
10	вместе с тем	4	9
11	с другой стороны	8	8
12	в конце концов	2	7
13	во всяком случае	2	7
14	после того как	2	6
15	в связи с	4	6
16	в том числе	2	6
17	и т д	16	5
18	в этом отношении	14	5
19	о том как	3	5
20	в силу этого	4	4
21	чуть ли не	2	4
22	т е в	2	4
23	к тому что	4	4
24	в этой области	3	4
25	можно было бы	2	4
26	в одном из	4	4
27	более или менее	6	3
28	в чем же	2	3
29	таким образом в	2	3
30	том числе и	2	3
31	равно как и	4	3
32	только в том	2	2
33	из них не	2	2
34	подобно тому как	3	2
35	в зависимости от	5	2
36	не только в	2	2
37	в частности в	2	2
38	в конечном счете	5	2
39	этой точки зрения	2	2
40	одной стороны и	2	2
41	и в то	3	2
