N	2gram	Tiupa_Hudo	slovoVRo
1	и в	23	92
2	в романе	3	89
3	то есть	26	64
4	в нем	6	59
5	может быть	19	59
6	и его	12	59
7	и не	16	51
8	не только	20	44
9	не может	9	41
10	но и	14	39
11	в этом	12	36
12	а не	13	34
13	во всех	3	32
14	так и	12	30
15	точки зрения	11	30
16	могут быть	5	29
17	и др	2	29
18	в пределах	3	29
19	в его	11	27
20	слова в	3	26
21	все это	2	25
22	языка в	4	25
23	слова и	2	24
24	как бы	11	24
25	то же	12	23
26	и на	3	22
27	не в	9	21
28	как в	2	21
29	вовсе не	2	21
30	в то	8	20
31	прежде всего	5	19
32	или иной	9	18
33	как и	3	18
34	себя в	8	18
35	же время	7	18
36	с ним	2	18
37	оно не	2	17
38	все эти	2	17
39	в основе	7	17
40	таким образом	3	17
41	к своему	2	16
42	отличие от	7	16
43	при этом	19	16
44	в них	2	16
45	но в	10	16
46	той или	5	15
47	в той	3	15
48	с точки	3	15
49	в отличие	7	14
50	в узком	3	14
51	только в	7	14
52	это не	4	13
53	с его	6	13
54	отношении к	3	13
55	и для	3	13
56	с другой	9	13
57	в слове	4	13
58	никогда не	2	12
59	в отношении	4	12
60	и потому	2	12
61	отношение к	7	12
62	а в	13	12
63	или в	2	12
64	еще не	4	12
65	и к	3	12
66	один из	2	11
67	с ними	2	11
68	одной стороны	3	11
69	слова как	5	11
70	в этих	4	11
71	с одной	3	11
72	для него	5	11
73	роман и	2	11
74	в своем	4	10
75	в том	20	10
76	в себе	13	10
77	с другими	5	10
78	лишь в	7	10
79	далеко не	4	10
80	уже не	6	10
81	его в	4	9
82	одним из	2	9
83	или менее	6	9
84	к нему	3	9
85	более или	6	9
86	в их	5	9
87	в своей	7	9
88	сказать что	4	9
89	одна из	2	9
90	с ее	6	9
91	героя и	5	9
92	но не	13	9
93	к чужому	2	9
94	на почве	4	9
95	он не	4	9
96	быть и	2	9
97	человека и	2	8
98	для понимания	2	8
99	не на	5	8
100	в значительной	2	8
101	в самом	7	8
102	входит в	4	8
103	на мир	2	8
104	том что	9	7
105	по преимуществу	3	7
106	того же	3	7
107	в целом	3	7
108	связи с	3	7
109	известной степени	3	7
110	например в	4	7
111	у него	2	7
112	мышления и	2	7
113	значительной степени	2	7
114	здесь не	2	7
115	за пределы	2	7
116	автора и	3	7
117	в таком	3	7
118	даже в	3	6
119	как к	5	6
120	роль в	2	6
121	на этом	2	6
122	а также	6	6
123	xix века	2	6
124	что в	7	6
125	ни в	5	6
126	в контексте	3	6
127	в качестве	31	6
128	можно сказать	6	6
129	другой стороны	6	6
130	говорить о	4	6
131	именно в	2	6
132	в свою	3	6
133	себя и	3	6
134	по себе	2	6
135	в одном	3	6
136	мира и	2	6
137	между тем	4	6
138	слова не	2	5
139	не как	2	5
140	не знает	4	5
141	не менее	5	5
142	отношению к	10	5
143	а затем	2	5
144	и по	2	5
145	должен быть	2	5
146	хотя и	4	5
147	или напротив	2	5
148	в данном	4	5
149	по отношению	10	5
150	с их	2	5
151	и может	2	5
152	не является	5	5
153	для того	5	5
154	и более	2	5
155	не с	2	5
156	о том	2	5
157	к его	3	5
158	имеет дело	2	5
159	или даже	3	5
160	данный момент	2	5
161	и сам	3	5
162	но он	3	5
163	так же	2	4
164	но как	2	4
165	и ее	3	4
166	а на	5	4
167	в другом	4	4
168	что и	2	4
169	в виду	5	4
170	что он	5	4
171	он должен	3	4
172	не всегда	2	4
173	однако в	4	4
174	свою очередь	2	4
175	в частности	18	4
176	истории литературы	2	4
177	того что	5	4
178	речи и	4	4
179	так в	4	4
180	в чем	2	4
181	не столько	7	4
182	с языком	3	4
183	того чтобы	5	4
184	одно и	3	4
185	только и	2	4
186	одной из	2	4
187	дело не	2	4
188	в которой	3	4
189	и как	4	4
190	если бы	3	4
191	с этой	3	4
192	и о	4	4
193	к тому	4	4
194	в литературе	2	4
195	которая не	2	4
196	при всем	2	4
197	есть как	2	4
198	о себе	2	4
199	из этого	2	4
200	отношения к	4	4
201	в себя	4	4
202	как раз	3	4
203	в системе	3	4
204	до известной	2	3
205	включает в	2	3
206	но она	2	3
207	которого он	2	3
208	такого рода	12	3
209	в одно	2	3
210	как это	7	3
211	на котором	2	3
212	тому что	2	3
213	говорит и	3	3
214	между собой	2	3
215	в состав	6	3
216	не предполагает	5	3
217	этого слова	2	3
218	и то	4	3
219	или иного	4	3
220	произведения как	3	3
221	того или	4	3
222	из этих	3	3
223	высказывания и	2	3
224	не все	2	3
225	отличается от	2	3
226	сама по	2	3
227	или иных	2	3
228	в связи	3	3
229	сознания в	4	3
230	жизни в	2	3
231	и другие	2	3
232	не могло	2	3
233	внутренней речи	14	3
234	за пределами	3	3
235	тех или	2	3
236	в этой	2	3
237	потому что	3	3
238	если мы	2	3
239	и это	2	3
240	личности и	3	3
241	на всех	2	3
242	в форме	4	3
243	языка на	2	3
244	и тем	4	3
245	в художественной	3	2
246	могло быть	2	2
247	и существенно	2	2
248	по своей	7	2
249	это и	2	2
250	автора с	2	2
251	как уже	3	2
252	есть в	3	2
253	а с	2	2
254	то что	5	2
255	по своему	3	2
256	это может	2	2
257	высказывания в	5	2
258	в сторону	2	2
259	к действительности	3	2
260	этой точки	2	2
261	и т.п	7	2
262	между ними	5	2
263	в известном	2	2
264	из которого	4	2
265	место в	5	2
266	в ее	6	2
267	во всей	3	2
268	случае не	2	2
269	без исключения	4	2
270	для автора	3	2
271	на языке	3	2
272	могут служить	2	2
273	чем это	2	2
274	но во	2	2
275	между автором	2	2
276	особого рода	8	2
277	известном смысле	2	2
278	то в	2	2
279	и что	4	2
280	в равной	2	2
281	что она	2	2
282	в области	8	2
283	мира в	2	2
284	об этом	2	2
285	тот или	3	2
286	ни было	2	2
287	в жизни	3	2
288	тем не	3	2
289	а именно	3	2
290	ни к	2	2
291	в какой	2	2
292	заключается в	2	2
293	том и	2	2
294	с человеком	2	2
295	от всех	2	2
296	это отношение	3	2
297	столь же	2	2
298	высказывания не	2	2
299	или иначе	5	2
300	в единое	3	2
301	вступает в	2	2
302	приводит к	6	2
303	и одновременно	5	2
304	материала в	2	2
305	несмотря на	2	2
306	не обязательно	3	2
307	и особенно	2	2
308	но их	3	2
309	не просто	2	2
310	только о	2	2
311	нового времени	2	2
312	жизни но	2	2
313	в нашем	2	2
