N	2gram	Losev_Dial	Vvedenie
1	и т	41	45
2	т е	72	40
3	т д	38	39
4	в том	17	38
5	в этом	14	35
6	и в	34	35
7	том что	18	30
8	может быть	30	30
9	не только	35	26
10	для того	4	23
11	таким образом	14	21
12	также и	6	20
13	не может	29	19
14	то что	25	19
15	потому что	21	18
16	со стороны	5	16
17	о том	11	16
18	только в	10	16
19	так как	12	15
20	и не	50	13
21	что в	12	13
22	в самом	9	13
23	в нем	7	13
24	в их	2	12
25	того что	22	12
26	что такое	25	12
27	точки зрения	43	12
28	в его	6	12
29	как на	6	12
30	в данном	6	11
31	то же	9	11
32	по себе	31	11
33	в ее	5	11
34	как мы	4	11
35	ясно что	16	11
36	вопрос о	9	10
37	не в	11	10
38	прежде всего	20	10
39	но в	3	10
40	уже и	3	10
41	из этих	5	9
42	тем не	10	9
43	и как	13	9
44	все же	4	9
45	но не	3	9
46	не менее	11	9
47	в истории	7	9
48	это не	13	8
49	о котором	4	8
50	с другой	5	8
51	а только	2	8
52	именно в	5	8
53	как нечто	2	8
54	и то	7	7
55	самом деле	7	7
56	как и	14	7
57	как бы	19	7
58	но и	14	7
59	в разных	2	7
60	только как	7	7
61	было бы	13	7
62	сказать что	7	6
63	его в	2	6
64	не могут	6	6
65	как например	2	6
66	хотя бы	9	6
67	иное как	6	6
68	об этом	8	6
69	и даже	21	6
70	но если	11	6
71	к истории	2	6
72	тем что	5	6
73	как он	4	6
74	а именно	7	6
75	мере в	3	6
76	с тем	4	6
77	и это	12	6
78	а в	3	6
79	уже не	9	6
80	могут быть	5	6
81	в то	9	6
82	что история	2	6
83	и что	21	6
84	и его	8	6
85	все это	13	6
86	же время	5	6
87	вовсе не	18	6
88	вместе с	3	6
89	данном случае	3	5
90	независимо от	3	5
91	с их	4	5
92	дело не	2	5
93	науки и	2	5
94	не что	6	5
95	есть и	14	5
96	в виду	12	5
97	и тем	3	5
98	а как	2	5
99	с этой	7	5
100	что он	18	5
101	так что	11	5
102	что иное	6	5
103	на основании	3	5
104	в течение	4	5
105	быть в	4	5
106	что не	8	5
107	по своему	2	5
108	одно из	8	5
109	от этого	5	5
110	как это	8	5
111	или вообще	3	5
112	есть не	11	5
113	не есть	95	5
114	она есть	17	5
115	другой стороны	4	5
116	в них	6	5
117	всяком случае	3	5
118	что и	8	5
119	говорить о	13	5
120	не просто	20	5
121	а не	39	5
122	в первом	2	5
123	хотя и	9	5
124	во всяком	5	5
125	да и	4	4
126	еще и	2	4
127	особого рода	3	4
128	само по	8	4
129	истории и	6	4
130	в чисто	2	4
131	в результате	7	4
132	мы имеем	3	4
133	о чем	2	4
134	одной стороны	3	4
135	и ее	8	4
136	только что	7	4
137	в особенности	9	4
138	этом отношении	2	4
139	из двух	4	4
140	но ведь	2	4
141	как о	6	4
142	еще не	7	4
143	е в	4	4
144	по крайней	10	4
145	в чем	11	4
146	отличие от	2	4
147	с одной	4	4
148	заключается в	3	4
149	к тому	4	4
150	одной из	3	4
151	и для	5	4
152	не имеет	18	4
153	так или	2	4
154	в котором	2	4
155	в виде	11	4
156	не вполне	2	4
157	даже и	9	4
158	тогда когда	9	4
159	в одном	3	4
160	из них	4	4
161	или иначе	2	4
162	в себе	8	4
163	с точки	25	4
164	крайней мере	10	4
165	в своей	4	4
166	как раз	11	4
167	можно сказать	5	4
168	той же	6	4
169	однако не	2	4
170	никогда не	9	3
171	в каком	9	3
172	одна из	4	3
173	и вообще	7	3
174	что это	20	3
175	или иной	4	3
176	в своем	7	3
177	и той	4	3
178	с этим	4	3
179	и этого	2	3
180	так же	7	3
181	нисколько не	4	3
182	в собственном	3	3
183	что уже	3	3
184	бы и	2	3
185	для этого	3	3
186	что она	13	3
187	к этому	3	3
188	как целое	3	3
189	в конце	2	3
190	от того	9	3
191	и здесь	3	3
192	или же	3	3
193	сама по	11	3
194	если бы	10	3
195	зависимости от	4	3
196	при помощи	6	3
197	в сущности	10	3
198	и вот	13	3
199	в этих	3	3
200	в силу	5	3
201	только на	8	3
202	в частности	3	3
203	себе что	2	3
204	как в	2	3
205	или как	3	3
206	что даже	2	3
207	идет речь	4	3
208	история и	6	3
209	вообще не	3	3
210	можно говорить	2	3
211	к нему	4	3
212	и на	6	3
213	или иных	2	3
214	зависит от	4	3
215	именно как	3	3
216	в ней	4	3
217	знания и	2	3
218	и к	5	3
219	мы говорим	4	3
220	на этом	3	3
221	из которых	4	3
222	то это	9	3
223	но что	11	3
224	что же	12	3
225	есть еще	4	3
226	от себя	5	3
227	здесь не	2	3
228	так чтобы	4	3
229	тех или	6	3
230	же как	4	3
231	вот почему	3	3
232	говорит о	5	3
233	при этом	7	3
234	в зависимости	3	3
235	и уже	5	3
236	что с	2	3
237	во внимание	5	3
238	все эти	4	3
239	той или	3	3
240	связи с	3	3
241	и тогда	6	3
242	и есть	24	3
243	как будто	3	3
244	в этой	3	3
245	чем же	3	3
246	в слове	3	3
247	того как	2	3
248	чем в	2	3
249	в который	3	2
250	одно и	6	2
251	е не	4	2
252	ничего не	29	2
253	следовательно и	2	2
254	у нас	7	2
255	и потому	6	2
256	это понятие	3	2
257	из того	2	2
258	во всех	2	2
259	все время	4	2
260	но как	3	2
261	и сама	6	2
262	же это	4	2
263	тем более	5	2
264	могут не	2	2
265	есть только	13	2
266	или нет	8	2
267	должно быть	7	2
268	этой точки	4	2
269	бы в	5	2
270	не существует	10	2
271	не нужно	2	2
272	что здесь	3	2
273	на свои	3	2
274	в этот	3	2
275	что оно	9	2
276	что нет	5	2
277	ее от	2	2
278	есть действительно	2	2
279	что именно	10	2
280	говоря уже	6	2
281	истории не	2	2
282	в связи	3	2
283	с полной	3	2
284	подобно тому	5	2
285	что если	5	2
286	и при	4	2
287	этого не	2	2
288	после этого	2	2
289	когда мы	3	2
290	что время	2	2
291	так и	11	2
292	может ли	4	2
293	ни к	3	2
294	чаще всего	3	2
295	одной и	4	2
296	лишь как	4	2
297	в нечто	3	2
298	на котором	2	2
299	только так	2	2
300	что остается	2	2
301	она была	3	2
302	надо было	4	2
303	ни с	4	2
304	и так	2	2
305	тому что	5	2
306	д в	2	2
307	это уже	2	2
308	на то	5	2
309	если это	2	2
310	и истории	4	2
311	мог бы	2	2
312	можно только	5	2
313	а если	5	2
314	в своих	3	2
315	именно оно	2	2
316	что можно	2	2
317	и без	4	2
318	и с	10	2
319	не говоря	6	2
320	но это	10	2
321	целое и	2	2
322	и из	2	2
323	он и	3	2
324	то о	2	2
325	что мы	10	2
326	и совершенно	2	2
327	мы можем	3	2
328	тому как	5	2
329	точно так	3	2
330	себя в	3	2
331	несмотря на	2	2
332	жизни и	8	2
333	тем или	3	2
334	не было	6	2
335	иной раз	3	2
336	сам по	6	2
337	познания и	2	2
338	мы не	11	2
339	природы и	4	2
340	по его	2	2
341	только о	4	2
342	что они	2	2
343	это есть	19	2
344	как только	5	2
345	все равно	5	2
346	должна быть	11	2
347	не мог	3	2
348	случае не	4	2
349	например в	3	2
350	во всем	5	2
351	если же	8	2
352	с научной	2	2
353	по существу	2	2
354	оказалось что	2	2
355	учение о	11	2
356	мы уже	6	2
357	быть и	7	2
358	но зато	2	2
