N	2gram	Tiupa_Narr	StatiiOP
1	и в	19	103
2	в том	18	89
3	том что	14	77
4	в этом	17	76
5	что в	3	74
6	не только	32	60
7	о том	6	47
8	но и	23	46
9	то что	11	44
10	что он	6	42
11	в его	9	42
12	и не	20	41
13	может быть	25	38
14	было бы	4	32
15	в этой	5	31
16	тем что	3	29
17	а в	11	27
18	а не	12	27
19	но в	6	26
20	что это	3	25
21	так и	9	25
22	этом отношении	3	24
23	и его	5	24
24	все же	7	23
25	не в	14	23
26	точки зрения	10	23
27	того что	2	22
28	в области	2	22
29	прежде всего	4	22
30	как в	7	22
31	это не	2	20
32	в то	3	19
33	только в	4	19
34	не может	10	18
35	с другой	8	18
36	он не	3	18
37	самом деле	2	17
38	в данном	5	17
39	как бы	4	17
40	сказать что	4	16
41	в ней	3	16
42	можно было	2	16
43	как и	7	15
44	для него	2	15
45	например в	2	15
46	другой стороны	4	15
47	из этих	3	15
48	и на	3	15
49	у него	4	15
50	как раз	2	15
51	к тому	7	14
52	между тем	3	14
53	то же	4	14
54	но все	4	14
55	с точки	2	14
56	в своем	2	13
57	со стороны	9	13
58	а с	3	13
59	что касается	2	13
60	в качестве	21	13
61	в нем	4	13
62	именно в	6	13
63	из них	3	13
64	в той	6	13
65	жизни и	3	13
66	не менее	3	12
67	что они	3	12
68	в тексте	16	12
69	хотя бы	4	12
70	что у	2	12
71	ни в	3	12
72	никогда не	3	11
73	и с	4	11
74	своего рода	12	11
75	все эти	2	11
76	не было	2	11
77	так же	2	10
78	в частности	14	10
79	ничего не	2	10
80	не столько	4	10
81	речь идет	4	10
82	во второй	2	10
83	но не	6	10
84	же время	4	10
85	такого рода	7	9
86	несмотря на	2	9
87	можно сказать	5	9
88	не является	8	9
89	времени и	7	9
90	его жизни	2	9
91	и для	2	9
92	что мы	2	9
93	говорит о	2	9
94	и тем	4	9
95	могут быть	3	8
96	отношение к	2	8
97	к которому	2	8
98	и др	2	8
99	в какой	2	8
100	связи с	4	8
101	а также	7	8
102	мы имеем	2	8
103	в результате	2	8
104	тем не	3	8
105	и даже	3	8
106	одним из	2	8
107	совершенно не	2	8
108	не имеет	2	8
109	данном случае	4	7
110	о чем	2	7
111	вплоть до	2	7
112	уже в	3	7
113	одной из	4	7
114	и сейчас	2	7
115	точка зрения	6	7
116	во втором	4	7
117	как это	6	7
118	тем более	2	7
119	в ее	3	7
120	не все	5	7
121	то в	6	7
122	отличается от	4	7
123	еще не	7	7
124	отношению к	6	7
125	по себе	5	7
126	не мог	4	7
127	даже в	2	6
128	идет о	2	6
129	в себе	8	6
130	по отношению	7	6
131	из которых	4	6
132	по существу	2	6
133	к нему	5	6
134	и все	2	6
135	что на	2	6
136	в известном	2	6
137	языка и	2	6
138	же как	3	6
139	с его	6	6
140	одно из	2	6
141	независимо от	2	6
142	его как	2	6
143	в особенности	4	6
144	говорить о	2	6
145	не о	3	5
146	его в	2	5
147	на себя	3	5
148	даже не	3	5
149	это и	3	5
150	что именно	2	5
151	точку зрения	4	5
152	и потому	2	5
153	одного из	4	5
154	одной стороны	7	5
155	что не	4	5
156	один из	3	5
157	при этом	9	5
158	в сущности	3	5
159	не на	2	5
160	должна быть	2	5
161	в двух	2	5
162	хотя и	3	5
163	или иного	2	5
164	того или	2	5
165	утверждать что	2	5
166	не как	2	5
167	текста в	2	5
168	как говорит	3	5
169	как будто	3	5
170	не могло	2	5
171	с одной	7	5
172	на протяжении	6	5
173	нет и	2	5
174	столь же	3	5
175	уже не	5	5
176	оно не	2	5
177	если не	4	5
178	и только	2	5
179	одна из	3	4
