N	2gram	Bakhtin_Pr	VerxiiNi
1	и в	38	26
2	таким образом	10	22
3	в этом	15	15
4	точки зрения	8	13
5	как бы	22	12
6	в том	8	11
7	не только	9	10
8	и с	17	10
9	может быть	26	10
10	что в	7	9
11	в области	11	9
12	связи с	2	9
13	но и	9	9
14	но не	12	8
15	с другой	7	8
16	и у	2	8
17	и не	42	8
18	к нему	10	7
19	одной стороны	3	7
20	то что	8	7
21	с одной	3	7
22	но в	4	7
23	том что	3	7
24	все же	6	6
25	о том	4	6
26	мы должны	2	6
27	в себе	4	6
28	несмотря на	3	6
29	что и	2	6
30	с точки	6	6
31	все эти	5	6
32	все это	3	6
33	и потому	4	6
34	так и	5	6
35	никогда не	5	5
36	в мире	3	5
37	одной из	3	5
38	и для	11	5
39	не имеет	9	5
40	и к	3	5
41	отношение к	10	5
42	того чтобы	2	5
43	лишь в	2	5
44	в его	43	5
45	для того	2	5
46	а не	5	5
47	и от	3	4
48	что все	2	4
49	далеко не	5	4
50	а в	6	4
51	с другими	3	4
52	в котором	2	4
53	в самом	7	4
54	в нем	15	4
55	не может	27	4
56	что оно	2	4
57	то есть	46	4
58	из которых	2	4
59	в виде	2	4
60	то же	5	4
61	и что	2	4
62	в этих	2	4
63	только в	13	4
64	что он	2	4
65	и только	4	4
66	он не	3	4
67	в то	4	4
68	что это	2	3
69	в своем	5	3
70	но с	3	3
71	не вполне	2	3
72	хотя бы	4	3
73	к этому	2	3
74	в значительной	2	3
75	тем не	3	3
76	и даже	3	3
77	и как	8	3
78	если бы	3	3
79	и те	2	3
80	в других	4	3
81	при этом	5	3
82	не менее	4	3
83	и при	2	3
84	в связи	2	3
85	и другие	2	3
86	в таком	3	3
87	случае не	2	3
88	ясно что	3	3
89	и о	5	3
90	можно сказать	2	3
91	отношению к	19	3
92	того что	2	3
93	культуры и	3	3
94	сказать что	4	2
95	от них	2	2
96	о котором	2	2
97	и это	3	2
98	творца и	3	2
99	или иной	2	2
100	не могут	2	2
101	в россии	2	2
102	и проч	28	2
103	на то	2	2
104	в самой	2	2
105	относится к	4	2
106	можно только	6	2
107	мы имеем	2	2
108	мы можем	6	2
109	в начале	2	2
110	связь с	3	2
111	между тем	7	2
112	особенно в	2	2
113	к его	2	2
114	в свою	2	2
115	конечно не	5	2
116	отличается от	2	2
117	приводит к	3	2
118	в них	5	2
119	и на	3	2
120	и здесь	2	2
121	еще не	7	2
122	к которому	4	2
123	все что	3	2
124	то или	2	2
125	не было	2	2
126	этом отношении	2	2
127	и мир	2	2
128	не в	7	2
129	не всегда	6	2
130	и наконец	6	2
131	то ни	3	2
132	ни было	3	2
133	той или	2	2
134	перестает быть	4	2
135	и все	3	2
136	же время	3	2
137	в виду	4	2
138	со всеми	3	2
139	и иной	3	2
140	не к	6	2
141	прежде всего	13	2
142	его не	2	2
143	бы то	3	2
144	или иное	2	2
145	с его	2	2
146	во всех	11	2
147	же самое	2	2
148	не с	4	2
149	по существу	2	2
