N	2gram	Voloshinov	SlovoVZh
1	не может	8	16
2	точки зрения	7	14
3	может быть	8	14
4	и его	12	13
5	как бы	6	13
6	и в	13	12
7	таким образом	6	12
8	отношению к	3	11
9	по отношению	3	11
10	и не	8	10
11	так как	3	9
12	если бы	2	9
13	прежде всего	9	8
14	художественного произведения	5	7
15	слова и	2	6
16	при этом	2	6
17	в том	2	6
18	в нем	2	6
19	только в	6	6
20	в интонации	2	6
21	в процессе	5	6
22	с помощью	2	6
23	в ней	2	6
24	никогда не	3	5
25	как в	2	5
26	к предмету	2	5
27	но в	4	5
28	том что	2	5
29	то же	4	5
30	как и	3	5
31	и следовательно	2	5
32	героя и	2	5
33	хотя бы	5	5
34	а не	2	5
35	то что	6	5
36	и др	2	5
37	в самом	2	4
38	в этом	2	4
39	не только	6	4
40	и является	2	4
41	зависимости от	2	4
42	материала и	3	4
43	социального общения	6	4
44	не в	3	4
45	с другой	2	4
46	все же	5	4
47	за пределы	3	4
48	и к	2	4
49	так и	3	4
50	в них	2	3
51	в поэзии	5	3
52	и для	3	3
53	слово в	3	3
54	да и	3	3
55	жизненного высказывания	2	3
56	и уже	3	3
57	все эти	2	3
58	и наконец	5	3
59	так же	2	3
60	в своей	4	3
61	мы не	4	3
62	в себе	3	3
63	художественное произведение	2	3
64	нуждается в	2	3
65	и слушателя	2	3
66	все это	4	3
67	жизненной речи	2	3
68	и ее	2	3
69	между тем	2	3
70	но для	3	3
71	социальной группы	4	3
72	не менее	2	3
73	в пределах	3	3
74	поэтического произведения	3	3
75	самом деле	3	3
76	и пр	7	3
77	но и	3	3
78	для него	2	3
79	одно и	3	2
80	конечно в	2	2
81	и то	3	2
82	в его	7	2
83	данном случае	2	2
84	имеет место	2	2
85	что в	3	2
86	в отношении	2	2
87	общего с	3	2
88	в словесном	2	2
89	разрыв между	2	2
90	более того	2	2
91	и все	3	2
92	там где	2	2
93	истории литературы	2	2
94	с точки	5	2
95	от всех	2	2
96	в зависимости	2	2
97	в данном	2	2
98	но мы	4	2
99	социальная оценка	5	2
100	те же	2	2
101	уже в	2	2
102	с этой	2	2
103	одной стороны	2	2
104	точку зрения	3	2
105	общения и	2	2
106	может стать	2	2
107	мы можем	4	2
108	могут быть	2	2
109	в материале	5	2
110	в чем	2	2
111	социологический метод	2	2
112	нет ничего	2	2
113	с одной	2	2
114	другой стороны	2	2
