N	3gram	Vinokur_Ku	Marksizm
1	с точки зрения	16	46
2	не может быть	5	25
3	в самом деле	14	19
4	в то же	4	15
5	по отношению к	8	15
6	то же время	4	15
7	в связи с	4	14
8	в том что	23	14
9	в русском языке	13	14
10	для того чтобы	21	11
11	до сих пор	5	11
12	в отличие от	3	10
13	одного и того	2	9
14	в большинстве случаев	2	9
15	и того же	2	9
16	в настоящее время	2	8
17	смысле этого слова	2	7
18	с другой стороны	12	7
19	в свою очередь	4	7
20	во всяком случае	8	6
21	на самом деле	3	6
22	на то что	3	6
23	с одной стороны	2	6
24	и пр и	2	6
25	отсюда следует что	2	5
26	на этой почве	2	5
27	в этом отношении	8	5
28	к тому что	2	5
29	пр и пр	2	5
30	в этом случае	4	5
31	том что он	4	4
32	можно сказать что	2	4
33	о том что	6	4
34	в узком смысле	2	4
35	в зависимости от	7	4
36	но все же	3	4
37	в данном отношении	4	3
38	тем не менее	9	3
39	и не в	2	3
40	более или менее	3	3
41	социального общения и	2	3
42	и пр но	2	3
43	в конце концов	3	3
44	можно было бы	11	3
45	на этот вопрос	3	3
46	не только в	4	3
47	сводится к тому	2	3
48	свое выражение в	2	3
49	хотя бы и	4	3
50	в данный момент	2	3
51	именно в том	2	3
52	по крайней мере	11	2
53	само по себе	6	2
54	в широком смысле	2	2
55	таким образом в	2	2
56	так и в	2	2
57	в противном случае	2	2
58	так же как	3	2
59	ничего общего с	2	2
60	рано или поздно	2	2
61	сами по себе	2	2
62	и в самом	4	2
63	хотя бы в	4	2
64	чуть ли не	3	2
65	а следовательно и	2	2
66	и тогда когда	3	2
67	и в том	2	2
68	так или иначе	3	2
69	в этом смысле	8	2
70	того или иного	5	2
