N	2gram	Propp_Isto	VrazhdaK
1	не только	28	9
2	и что	6	8
3	в этом	25	8
4	и в	43	8
5	что в	29	7
6	но и	24	7
7	и все	4	7
8	то что	20	7
9	но в	15	6
10	как и	9	6
11	в котором	5	6
12	в начале	2	6
13	в нем	11	6
14	и с	10	6
15	о нем	2	6
16	все же	13	6
17	и даже	4	6
18	и не	16	5
19	не было	2	5
20	об этом	8	5
21	то же	11	5
22	в то	2	5
23	у него	4	5
24	между тем	2	5
25	для нас	6	4
26	целый ряд	3	4
27	это не	10	4
28	в виду	2	4
29	все это	4	4
30	при этом	4	4
31	о том	4	4
32	в ней	3	4
33	как бы	5	4
34	так же	16	4
35	что он	17	4
36	может быть	22	4
37	человека в	2	3
38	т е	36	3
39	и у	6	3
40	в том	13	3
41	в чем	4	3
42	одним из	4	3
43	его в	7	3
44	который был	2	3
45	далеко не	3	3
46	что у	4	3
47	и уже	2	3
48	в своем	2	3
49	том что	12	3
50	в его	7	3
51	матери и	3	3
52	в связи	5	3
53	и о	2	3
54	и его	10	3
55	и как	6	3
56	в этот	6	3
57	в русской	5	3
58	он не	11	3
59	о себе	3	3
60	связи с	9	3
61	к этому	10	3
62	но он	8	3
63	чтобы он	3	3
64	на то	4	3
65	я не	3	3
66	наряду с	4	3
67	тем что	8	3
68	никогда не	9	2
69	в одну	3	2
70	же не	2	2
71	и то	4	2
72	в них	6	2
73	уже не	11	2
74	одна из	2	2
75	в него	3	2
76	при помощи	11	2
77	и это	5	2
78	мы знаем	11	2
79	а в	13	2
80	человека с	2	2
81	а также	5	2
82	он сам	2	2
83	в этой	7	2
84	тогда как	6	2
85	его с	2	2
86	в своей	4	2
87	же в	6	2
88	но как	2	2
89	и он	2	2
90	в себе	2	2
91	еще не	15	2
92	пришел к	2	2
93	точки зрения	3	2
94	же как	8	2
95	это в	2	2
96	после этого	2	2
97	таким образом	15	2
98	в русских	5	2
99	и ее	3	2
100	во время	8	2
101	что я	2	2
102	его и	6	2
103	в свою	5	2
104	на это	4	2
105	так в	8	2
106	после смерти	2	2
107	их в	6	2
108	не может	8	2
109	из них	7	2
110	не менее	6	2
111	его на	6	2
112	там же	2	2
113	но это	5	2
114	ряд деталей	2	2
115	об этой	2	2
116	ко мне	2	2
117	к себе	3	2
118	в меня	2	2
119	не мог	2	2
120	вместе с	12	2
121	отношение к	4	2
