N	2gram	Ircho_Kome	Problema
1	и в	37	182
2	и не	28	152
3	вовсе не	6	145
4	то что	5	144
5	не только	13	104
6	потому что	19	89
7	в этом	18	88
8	может быть	14	82
9	том что	22	81
10	в том	24	81
11	только в	3	73
12	сказать что	4	72
13	но и	18	70
14	и даже	6	66
15	не менее	9	58
16	о том	21	57
17	так и	4	56
18	тем не	3	56
19	а не	5	56
20	но в	7	55
21	так что	7	52
22	ни в	14	51
23	для нас	7	50
24	отнюдь не	5	48
25	в себе	4	48
26	было бы	7	46
27	в своей	6	45
28	прежде всего	7	45
29	что в	11	44
30	в его	12	44
31	не в	7	43
32	таким образом	16	42
33	как раз	9	42
34	то же	14	42
35	если мы	2	42
36	так как	16	40
37	что мы	4	40
38	что он	15	40
39	и что	8	40
40	не может	9	39
41	в этой	7	39
42	такого рода	2	39
43	и тем	4	39
44	во всяком	3	39
45	как бы	7	39
46	никак не	2	37
47	хотя бы	5	37
48	в нем	8	37
49	еще не	10	36
50	точки зрения	8	36
51	и все	6	36
52	и т	5	35
53	в виду	3	34
54	и с	5	34
55	как и	10	34
56	не является	5	33
57	в таком	2	33
58	же самое	3	33
59	в то	14	32
60	здесь не	2	32
61	едва ли	16	32
62	но не	9	32
63	в своем	9	31
64	в конце	14	31
65	связи с	5	31
66	все это	7	31
67	так же	8	31
68	ясно что	12	30
69	с другой	5	30
70	и для	7	30
71	как мы	6	29
72	все же	9	29
73	об этом	12	29
74	в связи	4	29
75	и о	3	28
76	что же	2	28
77	мы не	6	28
78	а в	12	28
79	и как	3	27
80	ничего не	6	27
81	и это	4	27
82	хотя и	6	27
83	в результате	2	26
84	как будто	3	26
85	вместе с	16	26
86	это не	3	26
87	да и	3	26
88	другой стороны	2	26
89	и его	10	26
90	с точки	6	25
91	и на	6	25
92	мы можем	7	25
93	всяком случае	3	25
94	тем более	9	24
95	не имеет	6	24
96	с тем	6	24
97	тут же	8	23
98	на то	3	23
99	при этом	11	23
100	конце концов	3	23
101	в качестве	4	23
102	по своему	3	23
103	никогда не	5	22
104	и если	3	22
105	его в	9	22
106	и есть	3	22
107	нет ничего	4	22
108	что и	12	22
109	и от	3	22
110	и к	4	22
111	и ее	3	21
112	и без	2	21
113	а также	3	21
114	в самом	17	21
115	говорить о	6	21
116	и потому	2	20
117	как о	3	20
118	для того	9	20
119	о чем	11	20
120	можно было	3	20
121	несмотря на	7	20
122	тем что	12	20
123	в отношении	4	19
124	но если	3	19
125	если бы	18	19
126	то это	5	19
127	если не	7	19
128	он не	11	19
129	с ним	10	19
130	уже в	3	19
131	самом деле	13	19
132	в них	6	19
133	как в	4	19
134	того же	9	18
135	не будет	2	18
136	того чтобы	9	18
137	в ее	3	18
138	в этих	2	18
139	не было	6	18
140	н э	2	18
141	в ней	7	18
142	что здесь	2	17
143	и здесь	11	17
144	без всякого	2	17
145	что они	3	17
146	совершенно не	2	17
147	во всех	4	17
148	к тому	11	16
149	но все	5	16
150	же в	3	16
151	далеко не	3	16
152	для этого	3	16
153	как это	5	16
154	что она	10	16
155	он и	5	16
156	в чем	7	15
157	общего с	2	15
158	здесь в	2	15
159	всякого рода	3	15
160	в частности	4	15
161	у него	10	15
162	что не	5	15
163	с этим	5	15
164	в той	2	15
165	и сам	11	15
166	не так	4	14
167	говорит о	2	14
168	за пределы	3	14
169	в дальнейшем	5	14
170	людей и	2	14
171	все равно	3	14
172	сих пор	12	14
173	этом случае	2	14
174	в котором	6	14
175	с другими	2	14
176	то ни	4	14
177	до сих	12	14
178	который в	3	13
179	в других	4	13
180	из этого	2	13
181	в их	5	13
182	тому что	5	13
183	мы имеем	4	13
184	в области	3	13
185	мы в	3	13
186	же и	2	13
187	из них	11	13
188	нисколько не	3	12
189	так или	3	12
190	не говоря	2	12
191	в которой	6	12
192	в другом	2	12
193	с одной	5	12
194	в целом	4	12
195	в начале	5	12
196	на земле	2	12
197	время как	3	12
198	в смысле	2	12
199	или иначе	3	12
200	то время	3	12
201	не о	3	11
202	и во	3	11
203	в истории	2	11
204	тот же	11	11
205	не могут	2	11
206	одной стороны	4	11
207	и у	4	11
208	по этому	3	11
209	бы то	3	11
210	к нему	8	11
211	что его	10	11
212	все еще	2	10
213	один из	6	10
214	однако в	5	10
215	все время	3	10
216	что у	2	10
217	что для	7	10
218	в одном	3	10
219	и всякий	2	10
220	или менее	2	10
221	он в	2	10
222	представление о	2	10
223	бы не	3	10
224	со всеми	2	10
225	более или	2	10
226	даже если	2	10
227	из которых	7	10
228	но он	3	10
229	вопрос о	2	9
230	как же	2	9
231	само собой	5	9
232	а его	2	9
233	она не	3	9
234	представить себе	2	9
235	в тех	4	9
236	был бы	4	9
237	и до	2	9
238	идет речь	2	9
239	только для	2	9
240	чем же	2	9
241	в своих	4	9
242	с собой	4	9
243	их в	3	9
244	на себе	2	9
245	не был	2	9
246	нет и	4	9
247	в которых	7	9
248	говоря уже	2	9
249	того как	5	9
250	бы в	5	9
251	не мешает	3	9
252	как он	5	8
253	между собой	5	8
254	в г	3	8
255	на его	5	8
256	и по	3	8
257	никто не	2	8
258	если в	4	8
259	только что	11	8
260	с этой	5	8
261	в силу	2	8
262	и особенно	2	8
263	если же	2	8
264	тем же	3	8
265	к его	4	8
266	том как	5	8
267	вплоть до	2	8
268	здесь нет	4	8
269	к сожалению	2	8
270	из этих	2	8
271	он был	6	8
272	с самого	5	8
273	и он	5	8
274	ни было	3	8
275	во всем	2	8
276	конечно не	4	8
277	как только	2	8
278	и поэтому	5	7
279	друг друга	7	7
280	времени и	2	7
281	самого начала	5	7
282	а с	2	7
283	одной из	4	7
284	в основе	3	7
285	в эпоху	2	7
286	до нас	7	7
287	же не	3	7
288	чем не	2	7
289	еще более	4	7
290	в какой	4	7
291	в случае	2	7
292	даже в	3	7
293	что их	4	7
294	не на	3	7
295	из себя	3	7
296	в это	2	7
297	даже не	5	7
298	была бы	2	7
299	его от	5	7
300	себе в	6	7
301	с полным	4	7
302	уже о	2	7
303	к другому	2	7
304	же автора	2	7
305	что касается	5	7
306	это в	2	7
307	на этот	6	7
308	меньше всего	5	7
309	тому же	11	7
310	не как	2	6
311	то мы	2	6
312	ли в	3	6
313	на него	6	6
314	по своей	2	6
315	когда он	5	6
316	г в	2	6
317	имеем в	2	6
318	этот вопрос	2	6
319	если он	3	6
320	скажет что	2	6
321	не знает	7	6
322	в античной	3	6
323	до конца	4	6
324	чтобы не	3	6
325	не всегда	2	6
326	после этого	2	6
327	видно что	2	6
328	только как	2	6
329	по существу	4	6
330	стороны и	4	6
331	с которой	2	6
332	могут быть	3	6
333	и может	2	6
334	во время	8	6
335	под названием	3	6
336	с его	6	6
337	независимо от	4	6
338	дело не	2	6
339	на свете	2	6
340	к ней	9	6
341	прежде чем	4	6
342	этом отношении	2	6
343	нового времени	5	6
344	к своему	4	6
345	и после	2	6
346	не мог	2	6
347	отношения к	2	6
348	и речи	4	6
349	в первую	2	5
350	его на	5	5
351	менее в	2	5
352	человека и	2	5
353	отношение к	7	5
354	знает что	2	5
355	что ни	7	5
356	из всех	3	5
357	с большим	4	5
358	у того	6	5
359	в поисках	3	5
360	до того	4	5
361	только один	2	5
362	отдельно от	2	5
363	и тот	6	5
364	сам же	2	5
365	нет ни	2	5
366	себе не	2	5
367	в известной	3	5
368	из самых	2	5
369	том чтобы	4	5
370	для обозначения	2	5
371	все что	6	5
372	образом и	2	5
373	какой мере	2	5
374	я не	4	5
375	что эта	2	5
376	но еще	2	5
377	и хотя	3	5
378	за то	2	5
379	между тем	6	5
380	от того	2	5
381	ничем не	4	5
382	его не	3	5
383	он говорит	3	5
384	тех пор	5	5
385	том числе	2	5
386	на себя	10	5
387	iii в	7	5
388	и когда	2	5
389	о его	4	5
390	что с	4	5
391	этот раз	2	5
392	первую очередь	2	5
393	здесь и	3	5
394	лет назад	2	5
395	к этому	11	5
396	хотя в	3	5
397	и еще	4	5
398	больше чем	4	5
399	по мнению	2	5
400	себя в	3	5
401	обстоятельство что	3	5
402	человека в	4	5
403	да еще	3	5
404	одним из	2	5
405	в пределах	3	5
406	они не	2	5
407	раз в	3	5
408	по его	2	5
409	в каждом	3	5
410	как его	4	5
411	по содержанию	3	5
412	или к	2	5
413	от него	2	4
414	трагедии и	2	4
415	собой разумеется	3	4
416	должны были	2	4
417	наряду с	4	4
418	должен быть	2	4
419	не хочет	6	4
420	а как	2	4
421	отличие от	5	4
422	одно из	3	4
423	это обстоятельство	3	4
424	к одной	2	4
425	в ту	2	4
426	или его	2	4
427	во втором	2	4
428	она и	2	4
429	числе и	2	4
430	себя и	2	4
431	под влиянием	2	4
432	требует от	4	4
433	бы он	3	4
434	человека а	2	4
435	за ним	3	4
436	что к	4	4
437	меня в	2	4
438	именно потому	2	4
439	то обстоятельство	3	4
440	он с	2	4
441	всю свою	2	4
442	от нее	5	4
443	только после	3	4
444	себе отчет	2	4
445	той же	2	4
446	в глаза	3	4
447	iv в	9	4
448	сразу же	5	4
449	что из	2	4
450	и был	2	4
451	что вы	2	4
452	тем как	2	4
453	бы на	2	4
454	дело с	4	4
455	к этой	2	4
456	одного из	4	4
