N	3gram	Propp_Russ	Komedia
1	в том что	27	29
2	о том что	6	13
3	для того чтобы	6	11
4	в то время	3	11
5	в свою очередь	2	10
6	вместе с тем	10	9
7	на себя внимание	2	7
8	после того как	3	6
9	в связи с	4	6
10	с точки зрения	3	6
11	в отличие от	4	6
12	и т д	12	5
13	к этому времени	2	5
14	тем не менее	3	5
15	в это время	3	4
16	т е в	6	4
17	к тому что	4	4
18	можно было бы	2	4
19	но все же	2	4
20	на то что	2	3
21	ни одно из	2	3
22	состоит в том	16	3
23	по своему происхождению	2	3
24	в тех случаях	2	2
25	в большинстве случаев	2	2
26	подобно тому как	3	2
27	для этой цели	2	2
28	тех случаях когда	2	2
29	до того как	2	2
30	том что в	7	2
31	и в том	2	2
32	в этом случае	9	2
33	так же как	5	2
34	к этому же	3	2
