N	2gram	Voloshinov	VeschiIm
1	не есть	2	79
2	и не	4	57
3	не только	7	48
4	то что	3	48
5	не может	8	46
6	и в	16	45
7	и есть	3	40
8	может быть	17	39
9	было бы	2	24
10	только в	4	23
11	сказать что	7	22
12	что такое	5	20
13	как бы	5	20
14	и ее	4	19
15	с нею	2	19
16	что это	2	19
17	но и	4	19
18	в этом	9	18
19	и это	6	17
20	прежде всего	9	17
21	так как	4	17
22	что мы	2	17
23	таким образом	9	16
24	в том	3	15
25	как и	2	15
26	но это	2	14
27	том что	3	13
28	есть и	2	13
29	не будет	2	13
30	и для	2	13
31	в самом	2	13
32	совершенно не	8	12
33	что в	3	12
34	точки зрения	8	12
35	что и	2	12
36	и как	3	12
37	то же	2	12
38	ни было	2	12
39	еще не	5	12
40	между собою	2	12
41	и даже	4	12
42	о том	2	12
43	если мы	2	12
44	и с	8	12
45	не менее	2	11
46	что не	2	11
47	и их	4	11
48	и пр	12	11
49	ни в	5	11
50	и только	9	11
51	крайней мере	3	10
52	в чем	5	10
53	что оно	2	10
54	с ее	4	10
55	по крайней	3	10
56	другими словами	2	9
57	хотя бы	4	9
58	я и	6	9
59	говорить о	2	9
60	и его	8	9
61	с ним	2	9
62	его в	4	8
63	и потому	3	8
64	даже не	3	8
65	что он	2	8
66	но в	4	8
67	мы не	2	8
68	себя и	2	8
69	все это	4	8
70	можно сказать	4	8
71	только и	2	8
72	по сравнению	3	8
73	с другими	3	8
74	для него	6	8
75	как с	2	8
76	отнюдь не	4	8
77	самом деле	6	7
78	а в	3	7
79	все эти	5	7
80	вообще не	2	7
81	с этой	2	7
82	оно не	2	7
83	сравнению с	3	7
84	никогда не	2	6
85	в каком	2	6
86	и все	4	6
87	в нем	4	6
88	между ними	3	6
89	в своей	2	6
90	как мы	4	6
91	и вообще	2	6
92	их в	3	6
93	жизни и	3	6
94	с точки	6	6
95	момент в	2	6
96	в одном	3	6
97	и мы	2	5
98	вместе с	3	5
99	как это	3	5
100	того же	2	5
101	один из	2	5
102	мы видим	2	5
103	в его	4	5
104	для этого	2	5
105	во всех	3	5
106	мысли и	4	5
107	в жизни	2	5
108	нет и	2	5
109	все что	4	5
110	оно и	2	4
111	так же	2	4
112	и притом	3	4
113	к себе	3	4
114	отношение к	5	4
115	так и	4	4
116	и оно	3	4
117	в этой	4	4
118	во всяком	3	4
119	с ними	4	4
120	в основе	3	4
121	с этим	2	4
122	есть в	2	4
123	только то	2	4
124	мы можем	9	4
125	и вот	3	4
126	и о	2	4
127	метода и	2	4
128	на этом	3	4
129	не существует	2	4
130	находится в	2	4
131	сводится к	2	4
132	реальности и	3	4
133	он не	2	4
134	для меня	2	3
135	но как	2	3
136	только на	3	3
137	в частности	2	3
138	но оно	3	3
139	быть может	2	3
140	же как	2	3
141	и может	4	3
142	в науке	2	3
143	у него	2	3
144	и она	3	3
145	не можем	2	3
146	на язык	3	3
147	отношения к	3	3
148	мы уже	2	3
149	едва ли	3	2
150	и таким	2	2
151	в одно	2	2
152	сделать это	2	2
153	в свое	2	2
154	на две	3	2
155	совсем не	2	2
156	на этой	3	2
157	ту же	2	2
158	а потому	4	2
159	что на	2	2
160	всяком случае	3	2
161	между собой	2	2
162	нуждается в	5	2
163	и этот	2	2
164	не на	2	2
165	но зато	2	2
166	все то	2	2
167	существует только	2	2
168	в начале	2	2
169	сознания и	2	2
170	к этому	2	2
171	нем нет	2	2
172	поэтому и	2	2
173	как не	2	2
174	но ведь	2	2
175	чем не	3	2
176	и так	2	2
177	и к	6	2
178	для нас	2	2
179	и на	4	2
180	только как	3	2
181	конечно не	6	2
182	этом смысле	3	2
183	учение о	3	2
184	с его	7	2
185	на основе	2	2
