N	2gram	Propp_Isto	StatiiOP
1	и в	43	103
2	в том	13	89
3	том что	12	77
4	в этом	25	76
5	что в	29	74
6	не только	28	60
7	и т	33	51
8	о том	4	47
9	но и	24	46
10	то что	20	44
11	что он	17	42
12	в его	7	42
13	и не	16	41
14	может быть	22	38
15	т е	36	33
16	было бы	5	32
17	т д	30	32
18	в этой	7	31
19	вовсе не	3	31
20	все это	4	29
21	тем что	8	29
22	таким образом	15	28
23	а в	13	27
24	а не	13	27
25	но в	15	26
26	что это	4	25
27	так и	6	25
28	и его	10	24
29	все же	13	23
30	не в	9	23
31	так что	8	23
32	точки зрения	3	23
33	потому что	8	23
34	того что	8	22
35	прежде всего	3	22
36	у нас	7	22
37	как в	6	22
38	и пр	19	21
39	это не	10	20
40	до сих	7	20
41	в то	2	19
42	сих пор	7	19
43	в своей	4	19
44	только в	8	19
45	об этом	8	18
46	не может	8	18
47	с другой	10	18
48	в котором	5	18
49	он не	11	18
50	между прочим	4	17
51	в данном	7	17
52	как бы	5	17
53	в русской	5	17
54	с этим	13	16
55	сказать что	5	16
56	в ней	3	16
57	можно было	3	16
58	если бы	7	16
59	в этих	18	16
60	с тем	3	15
61	как и	9	15
62	например в	3	15
63	другой стороны	10	15
64	из этих	5	15
65	я не	3	15
66	и на	7	15
67	у него	4	15
68	так например	3	14
69	к тому	9	14
70	между тем	2	14
71	то же	11	14
72	в течение	6	14
73	но все	5	14
74	и что	6	14
75	в своем	2	13
76	со стороны	3	13
77	но это	5	13
78	в качестве	4	13
79	в нем	11	13
80	во всяком	2	13
81	из них	7	13
82	всяком случае	2	13
83	жизни и	2	13
84	вместе с	12	13
85	не менее	6	12
86	что они	14	12
87	так как	13	12
88	хотя бы	3	12
89	что у	4	12
90	ни в	2	12
91	никогда не	9	11
92	вопрос о	4	11
93	и с	10	11
94	в другом	11	11
95	в них	6	11
96	все эти	8	11
97	и по	6	11
98	из его	2	11
99	того как	3	11
100	на то	4	11
101	не было	2	11
102	ясно что	2	11
103	на самом	2	10
104	так же	16	10
105	в виду	2	10
106	а как	2	10
107	в частности	6	10
108	ничего не	12	10
109	связь с	12	10
110	в целом	4	10
111	что и	17	10
112	в начале	2	10
113	во второй	2	10
114	но не	10	10
115	но он	8	10
116	в чем	4	9
117	что же	2	9
118	по этому	2	9
119	там где	8	9
120	во время	8	9
121	можно сказать	3	9
122	в одном	9	9
123	интересно что	3	9
124	говорит что	4	9
125	с этой	3	9
126	и для	3	9
127	и к	4	9
128	для нас	6	9
129	что мы	5	9
130	что эта	2	9
131	и тем	2	9
132	и это	5	9
133	при помощи	11	8
134	могут быть	9	8
135	отношение к	4	8
136	к которому	6	8
137	связано с	4	8
138	и др	4	8
139	той же	3	8
140	связи с	9	8
141	к этому	10	8
142	а также	5	8
143	мы имеем	24	8
144	это в	2	8
145	дело не	3	8
146	что она	8	8
147	тем не	6	8
148	и даже	4	8
149	должен был	5	8
150	одним из	4	8
151	совершенно не	2	8
152	такой же	3	8
153	и о	2	8
154	и более	3	8
155	не имеет	3	8
156	еще более	3	8
157	в которых	7	8
158	данном случае	6	7
159	вплоть до	2	7
160	что здесь	8	7
161	раньше чем	6	7
162	в виде	2	7
163	и очень	2	7
164	что этот	4	7
165	как это	5	7
166	не все	7	7
167	и то	4	7
168	еще не	15	7
169	отношению к	2	7
170	связан с	5	7
171	по себе	3	7
172	то время	2	7
173	не просто	4	7
174	представление о	3	7
175	не мог	2	7
176	даже в	4	6
177	случае в	2	6
178	в себе	2	6
179	в одной	4	6
180	по отношению	2	6
181	должно было	2	6
182	одном из	3	6
183	его не	3	6
184	по существу	3	6
185	к нему	12	6
186	и все	4	6
187	что на	6	6
188	на его	5	6
189	же как	8	6
190	одно из	2	6
191	независимо от	3	6
192	мы не	3	6
193	и здесь	8	6
194	действующие лица	2	6
195	в особенности	3	6
196	что я	2	6
197	несколько примеров	3	6
198	время как	2	6
199	в жизни	3	6
200	этот вопрос	3	6
201	этих двух	2	6
202	что за	3	6
203	только не	2	6
204	в некоторых	9	6
205	и за	3	6
206	в очень	2	5
207	его в	7	5
208	возможно что	7	5
209	на себя	5	5
210	даже не	2	5
211	но если	2	5
212	это и	4	5
213	и потому	2	5
214	она была	2	5
215	а то	2	5
216	в сторону	3	5
217	одного из	2	5
218	одной стороны	2	5
219	что не	3	5
220	такое же	4	5
221	один из	7	5
222	можно ли	3	5
223	при этом	4	5
224	в тех	3	5
225	в числе	2	5
226	не на	2	5
227	никто не	2	5
228	должна быть	2	5
229	хотя и	4	5
230	можно найти	8	5
231	во многих	2	5
232	утверждать что	2	5
233	то это	5	5
234	всех этих	3	5
235	на это	4	5
236	к ней	4	5
237	целый ряд	3	5
238	как будто	2	5
239	но они	2	5
240	с одной	2	5
241	после того	5	5
242	на нее	4	5
243	вообще не	2	5
244	ее в	3	5
245	и если	3	5
246	уже не	11	5
247	если не	2	5
248	сомнения что	2	5
249	не совсем	5	5
250	конечно не	3	5
251	и только	6	5
252	никакого сомнения	2	5
253	одна из	2	4
254	на этом	5	4
255	и у	6	4
256	и эти	5	4
257	же можно	2	4
258	казалось бы	2	4
259	не всегда	7	4
260	как у	2	4
261	что ни	3	4
262	не знает	2	4
263	смысле этого	3	4
264	но как	2	4
265	только с	2	4
266	они не	4	4
267	состоит в	4	4
268	что его	2	4
269	в образе	2	4
270	мы видим	15	4
271	в связи	5	4
272	е в	2	4
273	что было	3	4
274	этого слова	3	4
275	как мы	11	4
276	говорят что	2	4
277	да и	2	4
278	очень часто	4	4
279	показывает что	13	4
280	относится к	3	4
281	что по	2	4
282	и он	2	4
283	и тот	3	4
284	на него	4	4
285	в свете	6	4
286	только что	3	4
287	известно что	3	4
288	что как	2	4
289	и их	4	4
290	и другие	6	4
291	в наших	2	4
292	а именно	8	4
293	тому же	4	4
294	и так	3	4
295	могло бы	2	4
296	все что	4	4
297	но для	2	4
298	пребывания в	7	4
299	а на	5	4
300	или в	14	4
301	связана с	4	4
302	на полу	2	3
303	перед нами	4	3
304	из того	2	3
305	от него	3	3
306	в других	6	3
307	попадает в	14	3
308	связанных с	4	3
309	от того	3	3
310	как к	2	3
311	или же	2	3
312	не хочет	3	3
313	вот как	2	3
314	он должен	3	3
315	к своему	3	3
316	нет никаких	2	3
317	видно что	5	3
318	ниже в	3	3
319	его от	3	3
320	на котором	2	3
321	себе в	2	3
322	образом в	2	3
323	от них	5	3
324	могло быть	3	3
325	она не	4	3
326	к этой	2	3
327	это уже	3	3
328	на том	3	3
329	заметить что	2	3
330	и как	6	3
331	так в	8	3
332	не могла	3	3
333	не то	2	3
334	на них	2	3
335	здесь не	6	3
336	он делает	2	3
337	и некоторые	3	3
338	а затем	6	3
339	но эта	2	3
340	то не	2	3
341	представляют собой	5	3
342	и ее	3	3
343	этом случае	8	3
344	совершенно так	4	3
345	и и	6	3
346	это еще	2	3
347	все время	2	3
348	то и	7	3
349	особенно в	2	3
350	царь и	2	3
351	также в	2	3
352	и уже	2	3
353	не раз	2	3
354	если я	3	3
355	бы что	2	3
356	говорит у	2	3
357	здесь дело	2	3
358	является и	3	3
359	является в	2	3
360	если это	4	3
361	их в	6	3
362	когда он	2	3
363	в свою	5	3
364	у меня	5	3
365	представляет собой	6	3
366	он и	4	3
367	в русском	3	3
368	а у	2	3
369	что так	2	3
370	что при	3	3
371	к своей	4	3
372	не дает	3	3
373	за это	2	2
374	прочим и	2	2
375	в таких	3	2
376	это делает	2	2
377	в малой	2	2
378	который был	2	2
379	его к	5	2
380	в нее	2	2
381	не имеют	2	2
382	есть только	4	2
383	еще на	2	2
384	или нет	2	2
385	уже выше	4	2
386	именно так	3	2
387	в связь	2	2
388	доказывать что	2	2
389	долгое время	2	2
390	эти два	3	2
391	но есть	3	2
392	видеть в	3	2
393	здесь есть	2	2
394	ни одной	3	2
395	от своего	3	2
396	и при	2	2
397	историческое явление	2	2
398	не годится	4	2
399	мы знаем	11	2
400	мы видели	18	2
401	за очень	2	2
402	и этот	2	2
403	то она	2	2
404	на этой	2	2
405	и она	5	2
406	вступают в	4	2
407	становится понятным	3	2
408	с того	5	2
409	а если	3	2
410	которая в	2	2
411	ту же	2	2
412	говорит и	2	2
413	между собой	2	2
414	из которого	3	2
415	которой он	3	2
416	точно так	8	2
417	для них	3	2
418	меня не	4	2
419	вот почему	3	2
420	уже давно	2	2
421	тогда как	6	2
422	и всей	2	2
423	хотелось бы	2	2
424	как нечто	3	2
425	на историческую	2	2
426	сам он	2	2
427	и они	4	2
428	тот же	2	2
429	только тогда	2	2
430	в одну	3	2
431	и от	3	2
432	тут же	4	2
433	к которым	3	2
434	можно усмотреть	2	2
435	тех же	2	2
436	его с	2	2
437	еще несколько	2	2
438	всю жизнь	2	2
439	из этой	2	2
440	не знаю	9	2
441	их с	2	2
442	с ней	6	2
443	с ее	2	2
444	дело с	2	2
445	за ним	4	2
446	как правило	3	2
447	и той	2	2
448	превращается в	10	2
449	и вот	3	2
450	он уже	2	2
451	он по	2	2
452	выйти за	2	2
453	по мере	2	2
454	говорят о	2	2
455	где он	2	2
456	в пределах	5	2
457	в ином	6	2
458	на тот	2	2
459	не сразу	2	2
460	он является	3	2
461	не случайно	2	2
462	далеко не	3	2
463	ни один	2	2
464	за него	3	2
465	что там	2	2
466	имеем в	6	2
467	на которой	3	2
468	на нем	4	2
469	указывает что	3	2
470	следить за	2	2
471	их и	4	2
472	те же	2	2
473	как она	2	2
474	роль в	2	2
475	совершенно ясно	2	2
476	с одним	2	2
477	вот тебе	3	2
478	связь между	2	2
479	как не	2	2
480	показывает как	2	2
481	но этот	3	2
482	именно на	2	2
483	другом случае	3	2
484	быть и	3	2
485	связанное с	2	2
486	на все	2	2
