N	2gram	Bakhtin_fo	UchenyiS
1	и в	84	14
2	не только	16	10
3	а не	7	10
4	и не	19	8
5	прежде всего	28	8
6	то что	13	7
7	не может	8	7
8	в этом	41	7
9	может быть	18	6
10	и только	3	5
11	то же	18	5
12	хотя бы	2	5
13	все это	10	5
14	но и	14	4
15	в этой	3	4
16	с другой	4	4
17	в их	9	4
18	конечно не	7	4
19	не о	2	3
20	у нас	2	3
21	в частности	11	3
22	и т.д	2	3
23	это не	8	3
24	только к	3	3
25	и то	5	3
26	в своей	2	3
27	все же	12	3
28	не как	2	3
29	как и	15	3
30	в то	13	3
31	но в	16	3
32	же время	13	3
33	было бы	2	3
34	для него	5	3
35	в самом	9	2
36	в себе	7	2
37	что мы	2	2
38	и у	8	2
39	мы и	4	2
40	в широком	3	2
41	о чем	4	2
42	нас в	3	2
43	же самое	2	2
44	что он	2	2
45	таким образом	14	2
46	в буквальном	2	2
47	формы и	4	2
48	но не	9	2
49	и для	12	2
50	если бы	6	2
51	их и	3	2
52	самом деле	2	2
53	только в	12	2
54	и является	2	2
55	ничего не	9	2
56	всех этих	9	2
57	и с	10	2
58	но конечно	3	2
59	что и	5	2
60	могут быть	7	2
61	на первый	2	2
62	не могут	4	2
63	это было	2	2
64	сих пор	4	2
65	по себе	3	2
66	тем что	4	2
67	том что	7	2
68	а как	3	2
69	в его	19	2
70	все они	4	2
71	в том	16	2
72	что все	4	2
73	этом отношении	5	2
74	если не	3	2
75	с его	10	2
76	как раз	13	2
77	его и	2	2
78	для всех	3	2
79	по существу	17	2
80	не в	10	2
81	сколько угодно	2	2
82	в конце	11	2
83	в некоторых	4	2
84	мы не	4	2
85	до сих	4	2
86	не столько	2	2
87	именно как	4	2
