N	2gram	Propp_Isto	VelikijI
1	и не	12	20
2	и в	41	16
3	так как	21	9
4	то что	12	9
5	еще не	13	8
6	на земле	6	7
7	что они	5	7
8	а не	9	7
9	как бы	8	5
10	на себя	3	5
11	но и	20	5
12	все это	9	5
13	хотя и	3	5
14	того что	7	5
15	и все	6	4
16	как и	8	4
17	в котором	3	4
18	потому что	13	4
19	все что	4	4
20	в нем	12	4
21	в образе	4	4
22	в ней	4	4
23	что не	3	4
24	что мы	3	4
25	в его	4	4
26	в этом	19	4
27	что он	29	4
28	и есть	2	4
29	так и	8	4
30	никогда не	16	3
31	превращается в	10	3
32	в жизни	2	3
33	что в	21	3
34	в том	14	3
35	от этого	2	3
36	не имеет	6	3
37	тому что	2	3
38	но в	7	3
39	к тому	4	3
40	ни в	4	3
41	их в	3	3
42	то это	7	3
43	но это	5	3
44	оно не	2	3
45	этого мира	2	3
46	в своей	4	3
47	во всех	8	3
48	от которого	2	3
49	в конце	4	3
50	за ним	3	3
51	по этому	3	3
52	в них	4	3
53	жизни и	3	3
54	что и	13	3
55	не было	3	3
56	если не	4	3
57	и что	15	3
58	не в	12	3
59	все эти	8	3
60	что во	2	3
61	в этих	16	3
62	что я	2	3
63	должна быть	3	3
64	и они	2	3
65	в чем	5	3
66	тот же	2	3
67	с его	4	3
68	когда в	3	2
69	которой они	2	2
70	под этим	2	2
71	и то	3	2
72	с тем	8	2
73	самого себя	2	2
74	одна из	7	2
75	не так	4	2
76	но не	8	2
77	тот кто	5	2
78	ее и	2	2
79	и это	9	2
80	это не	14	2
81	ее в	3	2
82	не только	30	2
83	не могут	3	2
84	а в	12	2
85	том что	18	2
86	на том	10	2
87	его к	2	2
88	но мы	3	2
89	от него	6	2
90	и новые	2	2
91	во всяком	3	2
92	вслед за	2	2
93	уже не	8	2
94	могут быть	3	2
95	которые не	2	2
96	один из	7	2
97	т д	25	2
98	превращаются в	2	2
99	не будет	6	2
100	не имел	2	2
101	тем что	11	2
102	мы не	10	2
103	конечно не	2	2
104	земли и	3	2
105	можно было	3	2
106	только в	10	2
107	и сам	3	2
108	в форме	4	2
109	для нас	8	2
110	прежде всего	6	2
111	и т	29	2
112	с ним	9	2
113	его не	4	2
114	а с	3	2
115	не с	2	2
