N	3gram	Tiupa_Hudo	Komedia
1	в том что	8	29
2	то же время	7	16
3	в то же	7	16
4	в самом деле	2	13
5	для того чтобы	5	11
6	в свою очередь	2	10
7	по отношению к	10	9
8	с одной стороны	3	9
9	с другой стороны	6	8
10	и в самом	3	8
11	то ни было	2	7
12	бы то ни	2	7
13	так или иначе	4	7
14	в связи с	3	6
15	с точки зрения	3	6
16	в том числе	3	6
17	в отличие от	7	6
18	том что он	2	5
19	тем не менее	3	5
20	к тому что	2	4
21	более или менее	6	3
22	том числе и	2	3
23	состоит в том	5	3
24	мы имеем в	3	2
25	подобно тому как	3	2
26	в основе своей	2	2
27	в отношении к	2	2
28	так и не	4	2
29	в конечном счете	5	2
30	этой точки зрения	2	2
31	в этом смысле	3	2
32	с этой точки	2	2
33	и в то	2	2
34	имеем в виду	3	2
