N	3gram	Trubetskoy	Formalny
1	с точки зрения	9	40
2	не может быть	4	29
3	на самом деле	6	21
4	то же время	10	20
5	в то же	10	20
6	во всяком случае	6	16
7	в настоящее время	2	13
8	бы то ни	4	10
9	в большинстве случаев	2	9
10	и не может	3	9
11	для того чтобы	6	8
12	до сих пор	5	8
13	вместе с тем	3	8
14	более или менее	4	7
15	того или иного	2	7
16	в данном случае	3	6
17	в том что	7	6
18	к тому что	2	5
19	к тому чтобы	4	5
20	в конце концов	3	4
21	в лучшем случае	3	4
22	то ни стало	3	4
23	сама по себе	2	4
24	друг с другом	14	3
25	во что бы	3	3
26	что бы то	3	3
27	и во всяком	2	3
28	в том случае	4	2
29	друг от друга	2	2
30	и тем самым	2	2
31	в этом случае	3	2
32	и в том	2	2
33	она не может	2	2
