N	3gram	Losev_Vesc	Morfolog
1	и т д	36	60
2	мы видим что	2	11
3	не может быть	22	9
4	с точки зрения	6	6
5	тем не менее	11	6
6	подобно тому как	5	5
7	с другой стороны	3	5
8	но все же	2	4
9	в том что	9	4
10	к тому что	2	4
11	не может считаться	2	4
12	о том что	4	3
13	бы то ни	12	3
14	то время как	4	3
15	в то время	4	3
16	для того чтобы	2	3
17	в первом случае	2	3
18	на то что	7	3
19	в собственном смысле	3	3
20	вопрос о том	2	2
21	во всяком случае	2	2
22	то ни было	12	2
23	не что иное	12	2
24	в данном случае	2	2
25	что иное как	12	2
26	более или менее	4	2
27	в этом отношении	2	2
28	но если это	3	2
29	и таким образом	2	2
30	и тем не	5	2
31	о том как	4	2
32	если это так	2	2
33	можно было бы	3	2
34	с одной стороны	3	2
