N	3gram	Tiupa_Lite	StatiiOP
1	в том что	15	47
2	о том что	3	29
3	в этом отношении	5	24
4	и т п	2	19
5	с точки зрения	4	14
6	во всяком случае	2	13
7	с другой стороны	5	13
8	не может быть	5	11
9	в то же	12	9
10	то же время	12	9
11	можно было бы	2	9
12	дело в том	2	9
13	тем не менее	4	8
14	не только в	4	8
15	в данном случае	6	7
16	по крайней мере	2	6
17	по отношению к	4	6
18	речь идет о	3	6
19	за то что	2	5
20	тем что в	2	5
21	в том же	3	5
22	ничего общего с	2	4
23	в связи с	4	4
24	с одной стороны	8	4
25	так или иначе	8	4
26	в русской литературе	5	3
27	прежде всего в	4	3
28	говоря уже о	2	3
29	в том числе	2	3
30	только в том	2	3
31	не говоря уже	3	3
32	может быть это	4	3
33	в этом случае	2	3
34	а с другой	2	3
35	состоит в том	8	3
36	в равной мере	2	2
37	тех пор пока	2	2
38	в целом ряде	2	2
39	в отличие от	6	2
40	чуть ли не	2	2
41	но с другой	3	2
42	до тех пор	2	2
43	а во второй	2	2
44	и то что	2	2
45	в свою очередь	2	2
