N	2gram	Vygotskiy_	Analitik
1	не только	29	71
2	и в	37	66
3	в качестве	12	61
4	но и	23	57
5	в том	47	52
6	может быть	19	52
7	в частности	8	51
8	в этом	32	51
9	как и	20	50
10	и не	15	48
11	а не	5	42
12	том что	42	40
13	при этом	6	40
14	так и	12	35
15	состоит в	4	30
16	представляет собой	13	30
17	не может	16	29
18	как бы	16	29
19	отнюдь не	2	29
20	а в	4	28
21	в его	16	27
22	и его	10	27
23	не в	9	26
24	но не	6	26
25	в себе	8	24
26	иначе говоря	4	23
27	к тому	10	22
28	и даже	5	22
29	в этой	13	22
30	что в	25	22
31	лишь в	9	21
32	и т.п	5	20
33	о том	14	20
34	по отношению	12	19
35	но в	9	19
36	в своей	7	19
37	то же	12	19
38	в самом	16	19
39	с его	7	19
40	в то	7	18
41	в данном	5	18
42	отношению к	11	18
43	тем самым	8	17
44	или иной	3	17
45	с другой	16	17
46	со стороны	4	17
47	в целом	29	17
48	только в	8	17
49	могут быть	5	16
50	то что	32	16
51	что и	3	16
52	в их	5	15
53	прежде всего	12	15
54	в сущности	13	15
55	уже не	2	15
56	и на	8	15
57	между тем	10	15
58	данном случае	5	14
59	отличие от	3	14
60	той или	3	14
61	мы имеем	2	14
62	в отличие	3	14
63	столь же	8	14
64	же время	2	14
65	в себя	2	14
66	по себе	9	13
67	ничего не	6	13
68	точки зрения	49	13
69	в начале	2	13
70	как раз	8	13
71	этого слова	7	13
72	для него	5	13
73	он не	11	13
74	никогда не	8	12
75	и к	9	12
76	есть не	3	12
77	как это	6	12
78	в первой	3	12
79	как в	7	12
80	внутренней речи	14	12
81	в конечном	4	12
82	и сам	2	12
83	даже в	4	11
84	в свою	4	11
85	это не	5	11
86	нуждается в	2	11
87	по своей	9	11
88	конечном счете	4	11
89	и как	7	11
90	не с	2	11
91	можно сказать	6	11
92	той же	4	11
93	в конце	2	10
94	едва ли	5	10
95	все же	6	10
96	один из	3	10
97	было бы	12	10
98	подобно тому	2	10
99	с одной	14	10
100	именно в	8	10
101	отношения к	3	10
102	в своем	10	9
103	того что	28	9
104	не столько	4	9
105	как уже	9	9
106	одной стороны	15	9
107	свою очередь	3	9
108	по поводу	5	9
109	другой стороны	10	9
110	за пределы	4	9
111	во всех	4	9
112	в результате	7	9
113	только не	2	9
114	том чтобы	6	9
115	тому как	3	9
116	говорить о	4	9
117	таким образом	39	9
118	вместе с	14	9
119	перед нами	7	8
120	о чем	2	8
121	в игре	2	8
122	в ходе	9	8
123	что он	16	8
124	одной из	4	8
125	и все	7	8
126	одного из	4	8
127	этом отношении	6	8
128	хотя и	2	8
129	в основе	9	8
130	между двумя	2	8
131	если бы	10	8
132	не является	16	8
133	как известно	8	8
134	с точки	34	8
135	с ним	3	8
136	в другом	7	7
137	как говорит	2	7
138	в новом	3	7
139	и тем	8	7
140	в ее	3	7
141	все это	9	7
142	который в	7	7
143	во всяком	6	7
144	в противоположность	3	7
145	несмотря на	6	7
146	и для	3	7
147	у него	2	7
148	и является	2	7
149	и т.д	15	7
150	приводит к	8	7
151	в одном	5	7
152	всяком случае	5	7
153	как мы	11	7
154	в нашем	3	7
155	из того	7	6
156	для всех	8	6
157	вопроса о	3	6
158	что не	2	6
159	в силу	8	6
160	должен быть	6	6
161	роли в	2	6
162	казалось бы	8	6
163	те же	2	6
164	в нем	2	6
165	что на	2	6
166	ответ на	4	6
167	тем более	7	6
168	или в	2	6
169	и то	3	6
170	хотя бы	7	6
171	могла бы	2	6
172	в сознании	2	6
173	из этих	6	6
174	в равной	2	6
175	превращается в	3	6
176	с самим	2	6
177	во всем	4	6
178	и более	6	6
179	ключ к	2	6
180	на этом	3	6
181	из которых	6	6
182	из них	4	6
183	уже в	8	6
184	по его	2	6
185	вовсе не	5	6
186	и потому	3	5
187	одну из	4	5
188	для себя	7	5
189	так что	2	5
190	самом деле	8	5
191	в один	4	5
192	на вопрос	6	5
193	а с	8	5
194	в эту	4	5
195	в общем	5	5
196	он в	6	5
197	которая в	2	5
198	в них	5	5
199	речь идет	4	5
200	с той	3	5
201	а затем	5	5
202	и по	3	5
203	и до	5	5
204	все эти	6	5
205	в заключительной	3	5
206	мы не	13	5
207	на примере	3	5
208	человека к	4	5
209	в первом	2	5
210	принадлежит к	2	5
211	при рассмотрении	2	5
212	тот же	7	5
213	я не	4	5
214	к его	3	5
215	с их	2	5
216	одно из	3	5
217	внешнего мира	2	5
218	к этому	7	5
219	с другими	5	5
220	по выражению	2	5
221	по пути	2	5
222	с ее	3	5
223	как о	2	5
224	для того	19	5
225	и их	5	5
226	в этих	3	5
227	такой же	3	5
228	тем что	7	5
229	ни в	6	5
230	в котором	6	5
231	в слове	2	5
232	все что	4	5
233	с таким	8	5
234	что мы	9	5
235	таким же	4	5
236	в отношении	14	4
237	его к	3	4
238	в полном	3	4
239	и ее	9	4
240	в области	4	4
241	вслед за	3	4
242	наконец в	2	4
243	оказывается в	2	4
244	были бы	2	4
245	нас к	10	4
246	как он	7	4
247	а именно	2	4
248	известном смысле	3	4
249	на две	3	4
250	более того	2	4
251	указывает на	4	4
252	и что	11	4
253	потому что	11	4
254	все прочие	2	4
255	в борьбе	2	4
256	связь с	2	4
257	в чем	5	4
258	его не	3	4
259	в известном	4	4
260	что же	3	4
261	того чтобы	23	4
262	из виду	2	4
263	бы и	4	4
264	сказать что	16	4
265	и от	4	4
266	значительной степени	2	4
267	обратиться к	4	4
268	с этим	8	4
269	для данного	2	4
270	что она	6	4
271	бы в	5	4
272	в которой	6	4
273	представляют собой	2	4
274	в двух	3	4
275	который не	2	4
276	об этом	6	4
277	на него	3	4
278	сама по	3	4
279	не удивительно	5	4
280	сознания в	3	4
281	в значительной	2	4
282	здесь и	3	4
283	ее в	3	4
284	мы уже	7	4
285	говоря словами	5	4
286	между ними	2	4
287	строго говоря	2	4
288	в своих	6	4
289	и если	4	4
290	на которой	4	4
291	могли бы	10	4
292	этом смысле	3	4
293	или даже	2	4
294	и есть	2	4
295	на основе	7	4
296	в собственном	8	4
297	на самом	4	3
298	вопрос о	11	3
299	очевидно что	4	3
300	которые в	2	3
301	идет о	5	3
302	мы должны	11	3
303	же мере	3	3
304	слова как	3	3
305	один и	2	3
306	человека и	6	3
307	в состоянии	2	3
308	включает в	2	3
309	с двумя	2	3
310	в виду	5	3
311	к ее	2	3
312	к своему	2	3
313	одной и	2	3
314	всего в	3	3
315	в такой	4	3
316	и составляет	3	3
317	с тем	8	3
318	на первом	2	3
319	быть сведено	2	3
320	она не	3	3
321	к этой	4	3
322	речи и	41	3
323	том числе	3	3
324	мира и	2	3
325	в ней	2	3
326	остается в	2	3
327	и те	2	3
328	между собой	5	3
329	языка и	3	3
330	и заключается	2	3
331	что все	8	3
332	в зависимости	8	3
333	в тех	2	3
334	заключается в	12	3
335	связи с	7	3
336	и я	2	3
337	в связи	3	3
338	что они	5	3
339	случае не	2	3
340	с действительностью	6	3
341	вопрос об	8	3
342	если говорить	2	3
343	для этого	7	3
344	тех же	3	3
345	и той	2	3
346	независимо от	10	3
347	так как	11	3
348	в словах	3	3
349	можно было	6	3
350	дело в	3	3
351	должно быть	4	3
352	всех этих	2	3
353	о котором	3	3
354	о своих	2	3
355	речи в	17	3
356	зависимости от	8	3
357	что как	4	3
358	только для	6	3
359	и наконец	3	3
360	в речи	3	3
361	в жизни	2	3
362	с этой	7	3
363	возникает в	2	3
364	может показаться	2	3
365	в какой	5	3
366	на этот	7	3
367	то он	3	3
368	человека с	3	3
369	также и	2	3
370	что у	3	3
371	поэтому в	3	3
372	на то	11	3
373	на каждом	2	3
374	сам автор	2	3
375	когда он	5	3
376	в единое	2	3
377	и с	10	3
378	если не	3	3
379	тогда когда	8	3
380	а для	2	3
381	в категориях	2	3
382	на место	2	3
383	жизни и	2	3
384	он сам	3	3
385	из этого	6	3
386	сам по	3	3
387	научного мышления	2	3
388	по нашему	2	3
389	слова в	2	3
390	как на	5	3
391	же самое	4	3
392	всякий раз	2	3
393	не к	3	3
394	но с	3	3
395	этих двух	4	3
396	мы могли	11	3
397	указание на	4	3
398	все более	4	2
399	начиная с	2	2
400	между которыми	3	2
401	и второй	2	2
402	оно есть	2	2
403	при помощи	2	2
404	о которых	4	2
405	бы с	3	2
406	от всего	2	2
407	сущности говоря	3	2
408	но мы	4	2
409	или к	3	2
410	могло бы	2	2
411	так же	18	2
412	для нас	4	2
413	в процессе	19	2
414	в одной	3	2
415	на эту	2	2
416	для всего	3	2
417	этого рода	2	2
418	бы мы	3	2
419	не способен	2	2
420	к себе	2	2
421	обе эти	4	2
422	и таким	2	2
423	вообще и	2	2
424	к которому	4	2
425	в следующем	4	2
426	он как	4	2
427	ни чисто	2	2
428	при переходе	2	2
429	и эти	2	2
430	что именно	3	2
431	фактов в	2	2
432	том же	4	2
433	не остается	3	2
434	на всем	3	2
435	одном из	3	2
436	и при	2	2
437	это как	2	2
438	когда мы	2	2
439	но сам	2	2
440	должна была	2	2
441	что может	5	2
442	от них	2	2
443	иными словами	2	2
444	со всей	7	2
445	тому что	6	2
446	на этой	2	2
447	только с	2	2
448	в ту	2	2
449	с другом	6	2
450	тех случаях	2	2
451	в изложении	2	2
452	что этот	2	2
453	равной мере	2	2
454	этой точки	2	2
455	в споре	2	2
456	по этому	4	2
457	а скорее	2	2
458	всегда и	3	2
459	смысле этого	6	2
460	на все	5	2
461	всем протяжении	3	2
462	в тени	2	2
463	и др	5	2
464	сведено к	3	2
465	там где	8	2
466	что даже	2	2
467	своей природе	3	2
468	что с	6	2
469	как нечто	2	2
470	же точно	10	2
471	всех своих	2	2
472	в применении	2	2
473	во всей	8	2
474	прибегать к	2	2
475	который по	2	2
476	по существу	8	2
477	чем это	3	2
478	но эта	3	2
479	не возникает	2	2
480	одно и	2	2
481	мы видим	7	2
482	под этим	2	2
483	другого как	2	2
484	лишь после	3	2
485	что это	8	2
486	бы он	3	2
487	то и	4	2
488	подход к	2	2
489	остается ничего	3	2
490	и слово	2	2
491	мы можем	11	2
492	его внутренней	3	2
493	значение в	4	2
494	на первый	3	2
495	как если	3	2
496	и вот	3	2
497	он по	2	2
498	но ведь	2	2
499	имеет свою	2	2
500	со всеми	2	2
501	в течение	4	2
502	от всех	3	2
503	сих пор	4	2
504	в отдельных	3	2
505	но если	3	2
506	моментов в	2	2
507	в ином	2	2
508	друг с	6	2
509	на протяжении	3	2
510	от его	5	2
511	только его	3	2
512	понимание и	2	2
513	всех прочих	2	2
514	она по	2	2
515	не имеет	5	2
516	связаны с	2	2
517	всей своей	2	2
518	в самой	4	2
519	раз в	3	2
520	отношения в	2	2
521	он может	2	2
522	может явиться	3	2
523	стало быть	2	2
524	их в	6	2
525	к ним	2	2
526	зависит от	2	2
527	целым рядом	2	2
528	что при	3	2
529	свою собственную	4	2
530	отношения между	3	2
531	этот вопрос	6	2
532	значения и	2	2
533	что между	4	2
534	такого анализа	3	2
535	ко всем	3	2
536	не можем	3	2
537	не могу	3	2
538	и взаимодействие	2	2
539	и должны	2	2
540	учение о	4	2
541	ближе к	2	2
542	которой он	2	2
543	может не	4	2
544	единое целое	4	2
545	от жизни	2	2
546	о судьбе	2	2
547	мы и	3	2
548	и только	2	2
549	как его	2	2
550	о которой	2	2
551	этому пути	2	2
552	в предыдущих	2	2
553	до сих	4	2
554	связь между	10	2
555	отрыве от	2	2
556	мы будем	2	2
557	и остается	3	2
