N	2gram	Medvedev_F	FransuaR
1	и в	54	367
2	в этом	39	112
3	и не	34	101
4	таким образом	28	100
5	и его	27	99
6	в его	30	98
7	прежде всего	34	92
8	не только	14	87
9	но и	18	84
10	как бы	10	82
11	все эти	12	79
12	вовсе не	18	77
13	как и	18	76
14	в нем	25	75
15	но в	9	75
16	в эпоху	2	75
17	и др	8	72
18	и на	10	72
19	в том	17	71
20	как мы	10	71
21	то же	16	66
22	и все	9	66
23	так и	24	65
24	в этой	10	65
25	в них	4	65
26	в сущности	3	64
27	и с	17	64
28	в то	14	63
29	все это	11	62
30	во всех	9	62
31	же время	13	55
32	что в	10	52
33	в своем	12	51
34	только в	6	48
35	так как	4	46
36	и до	8	46
37	том что	3	45
38	в году	2	44
39	здесь в	2	41
40	то что	14	41
41	жизни и	10	40
42	в самом	17	38
43	точки зрения	21	37
44	в ней	15	37
45	с его	12	36
46	может быть	30	35
47	сказать что	3	34
48	и даже	7	34
49	в себе	4	34
50	в конце	2	32
51	он не	8	32
52	мы видели	5	32
53	для него	9	32
54	в своей	16	31
55	до конца	9	31
56	в литературе	6	31
57	так же	5	30
58	никогда не	6	30
59	и потому	9	30
60	той же	2	30
61	один из	4	30
62	потому что	2	30
63	но он	2	30
64	в этих	3	29
65	не может	26	29
66	еще не	6	29
67	его в	5	29
68	не в	16	29
69	при этом	14	29
70	в одном	2	29
71	в особенности	7	29
72	связи с	12	29
73	что он	8	29
74	из них	5	28
75	в основе	7	28
76	всех этих	6	28
77	в той	3	28
78	и к	7	28
79	роль в	2	27
80	сих пор	7	27
81	и другие	3	27
82	до сих	7	27
83	и их	13	27
84	все же	8	27
85	кроме того	3	26
86	на самом	8	25
87	с помощью	13	25
88	в области	6	25
89	но это	4	25
90	отношение к	4	24
91	того чтобы	4	24
92	в ее	10	24
93	и от	9	24
94	в частности	4	24
95	но не	5	24
96	в большинстве	6	24
97	как в	12	24
98	он и	3	24
99	этот образ	2	24
100	так сказать	6	23
101	и для	5	23
102	это не	4	23
103	в их	16	23
104	с ним	3	23
105	и здесь	8	23
106	к нему	3	23
107	большинстве случаев	5	23
108	форм и	7	22
109	и о	3	22
110	и во	2	22
111	даже в	2	22
112	а в	11	22
113	что и	10	22
114	там где	3	22
115	и других	4	22
116	тем что	6	22
117	вместе с	8	22
118	не было	7	22
119	именно в	12	21
120	в своих	3	21
121	в качестве	2	21
122	в отношении	3	21
123	и наконец	7	21
124	ни в	3	21
125	культуры и	3	21
126	и как	6	21
127	как раз	8	20
128	одной из	2	20
129	этом отношении	7	20
130	в виду	2	20
131	они были	4	20
132	в значительной	3	20
133	с точки	17	20
134	самом деле	12	20
135	и это	4	20
136	в связи	11	20
137	в форме	2	19
138	в дальнейшем	3	19
139	их в	2	19
140	во всем	3	19
141	хотя и	3	19
142	к этому	3	19
143	в эту	3	19
144	было бы	10	19
145	за пределы	2	19
146	далеко не	2	19
147	с другой	8	19
148	с ее	7	19
149	со всеми	3	18
150	на этом	2	18
151	здесь не	5	18
152	превращается в	2	18
153	это и	7	18
154	перед нами	3	18
155	одна из	2	18
156	связанных с	2	17
157	для того	3	17
158	но все	4	17
159	того что	7	17
160	в результате	8	17
161	на его	2	17
162	и вот	2	17
163	еще более	6	17
164	такой же	2	17
165	конечно не	5	17
166	а не	11	17
167	между тем	4	16
168	ничего не	5	16
169	влияние на	3	16
170	между ними	3	16
171	в другом	2	16
172	начала и	2	16
173	они не	7	16
174	с одной	5	16
175	в истории	10	15
176	никто не	2	15
177	еще в	2	15
178	в нашем	2	15
179	и прежде	3	15
180	особенно в	6	15
181	как на	5	15
182	в первой	2	15
183	с их	2	15
184	в которой	5	15
185	от всех	5	15
186	в самой	2	15
187	с начала	2	15
188	характерно что	2	15
189	из этих	4	15
190	мы не	6	14
191	по существу	8	14
192	в данном	2	14
193	в более	2	14
194	несмотря на	2	14
195	и по	3	14
196	в чем	2	14
197	в котором	2	14
198	характер и	2	14
199	так в	3	13
200	как он	2	13
201	отличие от	2	13
202	о мире	2	13
203	на языке	2	13
204	это было	3	13
205	в других	5	13
