N	3gram	Voloshinov	Dialekti
1	с точки зрения	2	46
2	в том что	4	25
3	не может быть	7	18
4	тем не менее	3	16
5	одно и то	2	12
6	и то же	2	12
7	с другой стороны	2	12
8	можно сказать что	5	7
9	может быть и	3	6
10	в зависимости от	2	6
11	с одной стороны	2	6
12	на самом деле	2	5
13	до сих пор	3	5
14	то же самое	2	4
15	в данном случае	2	4
16	этой точки зрения	3	4
17	одной стороны и	2	4
18	мы можем сказать	2	4
19	бы то ни	3	3
20	с этой стороны	2	3
21	и не может	3	3
22	мы никогда не	2	2
23	и не в	3	2
24	в отношении к	2	2
25	дело в том	4	2
26	в жизни и	2	2
