N	2gram	Medvedev_V	VelikijI
1	и не	20	20
2	и в	26	16
3	то что	7	9
4	еще не	2	8
5	и потому	2	7
6	что они	3	7
7	а не	7	7
8	человека и	3	6
9	как бы	5	5
10	но и	10	5
11	все это	13	5
12	хотя и	2	5
13	того что	3	5
14	что все	4	4
15	как и	7	4
16	в котором	3	4
17	в нем	7	4
18	в образе	2	4
19	в ней	2	4
20	что не	3	4
21	что мы	2	4
22	в его	15	4
23	говорить о	2	4
24	в этом	29	4
25	что он	4	4
26	и есть	5	4
27	так и	6	4
28	никогда не	5	3
29	в жизни	2	3
30	что в	11	3
31	в том	15	3
32	и для	2	3
33	тому что	7	3
34	но в	2	3
35	к тому	5	3
36	их в	7	3
37	то это	2	3
38	бы и	6	3
39	должно быть	2	3
40	хотя бы	20	3
41	в своей	4	3
42	во всех	7	3
43	в конце	3	3
44	по этому	10	3
45	в них	5	3
46	жизни и	3	3
47	что и	3	3
48	не было	7	3
49	лишь в	2	3
50	не в	6	3
51	все эти	8	3
52	должна быть	2	3
53	в чем	2	3
54	с его	4	3
55	с тем	4	2
56	да и	2	2
57	самого себя	2	2
58	они и	2	2
59	одна из	4	2
60	но не	2	2
61	нет и	3	2
62	это не	7	2
63	ее в	4	2
64	не только	26	2
65	не могут	10	2
66	а в	3	2
67	том что	8	2
68	а к	2	2
69	во всяком	2	2
70	вслед за	3	2
71	могут быть	8	2
72	в последнем	2	2
73	один из	6	2
74	т д	16	2
75	для них	2	2
76	того чтобы	3	2
77	и никогда	2	2
78	вот почему	5	2
79	можно было	2	2
80	только в	8	2
81	и сам	2	2
82	в форме	3	2
83	прежде всего	13	2
84	и т	25	2
85	его не	3	2
86	это мы	3	2
87	между тем	6	2
88	для него	9	2
89	не с	2	2
