N	2gram	Tiupa_Anal	EvropaiC
1	таким образом	4	34
2	в том	16	31
3	и в	36	24
4	том что	19	20
5	все эти	2	19
6	не может	3	18
7	то что	5	18
8	может быть	19	17
9	все же	6	15
10	точки зрения	3	14
11	в этом	19	13
12	все это	5	13
13	в своем	7	12
14	с этим	4	12
15	самом деле	2	12
16	между тем	8	12
17	по отношению	9	11
18	но и	26	11
19	отношению к	9	11
20	не только	40	10
21	так и	19	10
22	во всех	4	10
23	как и	27	10
24	все что	2	10
25	как бы	14	10
26	в результате	6	9
27	и не	14	9
28	не в	9	9
29	что в	15	9
30	и все	3	9
31	того же	7	9
32	при этом	19	9
33	и что	2	9
34	из этих	4	8
35	если бы	2	8
36	к тому	10	8
37	в самом	7	8
38	а и	4	8
39	с точки	2	8
40	о которых	2	7
41	в силу	2	7
42	по своей	5	7
43	что он	5	7
44	того что	4	7
45	о котором	2	7
46	не менее	9	7
47	о том	9	7
48	что и	10	7
49	в этой	10	7
50	что при	2	7
51	вместе с	3	7
52	в мире	17	6
53	только в	9	6
54	все они	2	6
55	еще не	7	6
56	так что	2	6
57	что касается	5	6
58	в то	8	6
59	и для	4	6
60	с другой	10	6
61	в общем	4	6
62	и если	2	6
63	и на	5	6
64	мы можем	2	6
65	несмотря на	2	6
66	тогда как	37	6
67	тому же	7	6
68	с ним	2	6
69	и от	3	5
70	его в	4	5
71	в себе	7	5
72	в состоянии	2	5
73	к этому	3	5
74	как к	2	5
75	лишь в	9	5
76	и их	3	5
77	из них	4	5
78	так или	5	5
79	по своему	3	5
80	у него	2	5
81	далеко не	8	5
82	но в	8	5
83	столь же	7	5
84	именно в	4	5
85	или иначе	5	5
86	и без	3	5
87	и к	7	5
88	другой стороны	7	5
89	в целом	8	5
90	не будет	3	5
91	в его	12	5
92	никогда не	7	4
93	в одну	3	4
94	и то	2	4
95	не могут	2	4
96	тем не	3	4
97	в конце	6	4
98	отношение к	2	4
99	и т.д	3	4
100	иначе говоря	5	4
101	то же	7	4
102	в их	7	4
103	а с	2	4
104	совершенно не	3	4
105	с тем	2	4
106	не так	2	4
107	не есть	6	4
108	из которых	2	4
109	что мы	2	4
110	в таком	2	4
111	он не	9	4
112	в дальнейшем	2	4
113	хотя и	4	4
114	мы уже	2	4
115	даже в	6	3
116	данном случае	11	3
117	тем самым	8	3
118	это не	4	3
119	и потому	3	3
120	что по	4	3
121	и до	2	3
122	в начале	10	3
123	тем более	3	3
124	в тех	2	3
125	каждый из	2	3
126	а лишь	2	3
127	очевидно что	2	3
128	в этих	2	3
129	одного и	4	3
130	как у	3	3
131	прежде всего	7	3
132	отличие от	5	3
133	жизнь и	3	3
134	с одной	3	3
135	как известно	3	3
136	одно из	3	3
137	в жизни	2	3
138	но не	13	3
139	в данном	12	3
140	а в	17	3
141	может служить	2	3
142	на почве	3	3
143	в нем	3	3
144	в ней	2	3
145	в сторону	2	3
146	ближе к	2	3
147	было бы	6	3
148	и по	3	3
149	и может	2	3
150	таким же	4	3
151	во всем	5	3
152	в нашем	4	3
153	и того	4	3
154	тот же	3	3
155	как мы	4	3
156	одна из	6	2
157	однако при	3	2
158	не от	2	2
159	тех же	2	2
160	то в	4	2
161	но как	4	2
162	одну из	3	2
163	и ее	3	2
164	что она	3	2
165	то есть	15	2
166	в другом	3	2
167	кстати что	2	2
168	свою очередь	7	2
169	для себя	2	2
170	ему и	2	2
171	что несмотря	2	2
172	этих двух	2	2
173	не было	3	2
174	в частности	19	2
175	по его	4	2
176	что они	3	2
177	от себя	3	2
178	такой же	2	2
179	одной и	2	2
180	а для	3	2
181	не знает	2	2
182	в одно	2	2
183	в глазах	6	2
184	для него	8	2
185	есть в	2	2
186	том чтобы	2	2
187	на месте	2	2
188	ни для	2	2
189	этом что	2	2
190	представления об	2	2
191	в эту	2	2
192	приобщения к	2	2
193	что у	3	2
194	в точке	2	2
195	она не	3	2
196	они не	2	2
197	гораздо более	3	2
198	тех пор	2	2
199	все его	2	2
200	те же	3	2
201	я в	15	2
202	во втором	4	2
203	в своих	3	2
204	в свою	9	2
205	что на	3	2
206	одной стороны	3	2
207	на этом	2	2
208	между ними	3	2
209	отнюдь не	7	2
210	в них	4	2
211	только не	3	2
212	со своей	8	2
213	ко всему	2	2
214	всяком случае	6	2
215	жизни и	2	2
216	а затем	2	2
217	от своей	2	2
218	сводится к	5	2
219	с ними	2	2
220	во всяком	6	2
221	говорить о	6	2
222	себя и	2	2
223	не более	2	2
224	и его	18	2
225	в сущности	5	2
226	же время	7	2
227	с ее	3	2
228	и сам	8	2
229	не следует	5	2
230	в противоречие	2	2
231	этого слова	3	2
232	в себя	6	2
233	о которой	2	2
234	но с	3	2
235	той же	7	2
236	имеет место	3	2
237	я не	3	2
238	вовсе не	2	2
239	в основе	2	2
240	при условии	2	2
