N	3gram	Vygotskiy_	Myslijsy
1	в том что	24	47
2	по отношению к	9	26
3	не может быть	6	19
4	заключает в себе	2	19
5	тем не менее	4	18
6	сам по себе	2	14
7	в свою очередь	3	14
8	от того что	2	13
9	в то же	2	13
10	в том смысле	2	13
11	с другой стороны	3	12
12	только в том	2	12
13	до сих пор	6	12
14	смысле этого слова	4	12
15	и в этом	2	12
16	подобно тому как	2	11
17	для того чтобы	24	11
18	в то время	8	10
19	с одной стороны	7	10
20	то и другое	4	9
21	мы не можем	3	9
22	одного и того	3	9
23	о том что	4	9
24	на то что	5	9
25	и того же	3	9
26	не могут быть	3	9
27	на самом деле	2	8
28	вместе с тем	6	8
29	в этом случае	15	8
30	только потому что	3	8
31	и то же	3	7
32	можно сказать что	7	7
33	как и в	4	7
34	одной и той	5	7
35	одно и то	3	7
36	не только не	11	7
37	и той же	5	7
38	не только в	2	7
39	с точки зрения	31	7
40	в этом смысле	2	7
41	то же самое	11	6
42	с самого начала	13	6
43	друг от друга	3	6
44	то что мы	3	6
45	таким образом в	2	5
46	в ряду других	2	5
47	к тому что	10	5
48	с тем и	2	5
49	и то что	5	5
50	так что в	2	4
51	в том и	3	4
52	в данном случае	5	4
53	в том же	3	4
54	одним и тем	2	4
55	том смысле что	2	4
56	мы видели что	3	4
57	с этой точки	4	4
58	и тем же	2	4
59	в этом отношении	7	4
60	то время как	7	4
61	в собственном смысле	4	4
62	тех и других	4	4
63	из того что	5	3
64	на первых порах	3	3
65	в первом случае	5	3
66	этой точки зрения	4	3
67	таким образом мы	2	3
68	том что он	2	3
69	одном и том	3	3
70	том что оно	3	3
71	можно было бы	5	3
72	том и другом	2	3
73	одной стороны и	4	3
74	и тем самым	8	3
75	точно так же	3	3
76	потому что он	4	3
77	в большинстве случаев	2	3
78	заключается в том	9	3
79	до известной степени	2	3
80	внимание на то	2	3
81	и том же	3	3
82	подлежащего и сказуемого	2	2
83	в силу того	6	2
84	друг к другу	3	2
85	но вместе с	2	2
86	и там где	2	2
87	силу того что	6	2
88	в начале развития	3	2
89	того и другого	2	2
90	нечто такое что	2	2
91	и во всех	2	2
92	так же как	13	2
93	мысли и слова	4	2
94	друг на друга	2	2
95	отношение слова к	3	2
96	заключать в себе	2	2
97	как мы видели	7	2
98	так как в	2	2
99	не иначе как	6	2
100	мы могли бы	9	2
101	состоит в том	3	2
102	и не может	2	2
103	мы имеем дело	2	2
104	и тогда когда	2	2
105	оно не имеет	2	2
106	в себе в	2	2
107	же самое что	3	2
