N	2gram	Losev_Vlad	EvropaiC
1	таким образом	6	34
2	в том	26	31
3	и в	56	24
4	том что	22	20
5	все эти	6	19
6	не может	12	18
7	то что	30	18
8	может быть	12	17
9	все же	11	15
10	точки зрения	4	14
11	в этом	30	13
12	все это	7	13
13	в своем	10	12
14	с этим	3	12
15	но и	26	11
16	не только	35	10
17	так и	11	10
18	во всех	4	10
19	мы знаем	5	10
20	как и	7	10
21	все что	2	10
22	как бы	5	10
23	в результате	6	9
24	и не	33	9
25	не в	12	9
26	что в	24	9
27	и все	8	9
28	на то	7	9
29	того же	11	9
30	потому что	16	9
31	при этом	5	9
32	и что	11	9
33	так же	4	8
34	из этих	5	8
35	или менее	5	8
36	если бы	2	8
37	чем у	2	8
38	для того	4	8
39	к тому	5	8
40	более или	5	8
41	в самом	3	8
42	знаем что	2	8
43	того чтобы	4	8
44	ясно что	2	8
45	так как	11	7
46	по своей	4	7
47	что он	22	7
48	того что	6	7
49	о котором	2	7
50	не менее	9	7
51	о том	13	7
52	из этого	6	7
53	что и	6	7
54	в этой	4	7
55	по существу	4	7
56	вместе с	9	7
57	только в	11	6
58	у них	2	6
59	еще не	2	6
60	и при	2	6
61	так что	13	6
62	что касается	6	6
63	в то	15	6
64	и для	4	6
65	с другой	3	6
66	в общем	4	6
67	и если	8	6
68	и на	7	6
69	несмотря на	7	6
70	что с	3	6
71	как на	2	6
72	тому же	3	6
73	с ним	10	6
74	и от	6	5
75	его в	3	5
76	но все	3	5
77	в себе	5	5
78	к этому	11	5
79	в которой	8	5
80	как к	4	5
81	тех кто	2	5
82	лишь в	3	5
83	на все	3	5
84	из них	3	5
85	что это	2	5
86	так или	3	5
87	по своему	5	5
88	у него	28	5
89	что все	2	5
90	но в	19	5
91	именно в	4	5
92	или иначе	3	5
93	и без	2	5
94	и с	27	5
95	и к	10	5
96	другой стороны	3	5
97	в целом	3	5
98	в его	18	5
99	как будто	2	5
100	никогда не	15	4
101	и то	13	4
102	не могут	2	4
103	мы должны	3	4
104	для меня	8	4
105	всех этих	3	4
106	хотя бы	5	4
107	то ни	2	4
108	тем не	8	4
109	в конце	22	4
110	отношение к	7	4
111	и у	4	4
112	конце концов	6	4
113	то же	10	4
114	в их	2	4
115	том же	4	4
116	в области	3	4
117	а с	5	4
118	одним из	3	4
119	в виде	4	4
120	совершенно не	2	4
121	что его	8	4
122	в течение	13	4
123	что для	5	4
124	с тем	4	4
125	в в	4	4
126	и сейчас	2	4
127	на вопрос	2	4
128	не есть	4	4
129	что мы	2	4
130	выше мы	3	4
131	связи с	7	4
132	этой области	2	4
133	в таком	2	4
134	он не	13	4
135	мы сказали	2	4
136	в дальнейшем	10	4
137	хотя и	9	4
138	мы уже	8	4
139	даже в	4	3
140	представление о	2	3
141	и вообще	12	3
142	тем самым	2	3
143	это не	3	3
144	что если	3	3
145	и потому	8	3
146	к которой	2	3
147	и до	4	3
148	от него	3	3
149	на земле	2	3
150	в начале	7	3
151	тем более	4	3
152	в настоящее	2	3
153	в тех	3	3
154	но даже	3	3
155	от того	2	3
156	настоящее время	2	3
157	только что	2	3
158	с этой	4	3
159	в этих	5	3
160	конечно не	5	3
161	и других	2	3
162	в связи	9	3
163	и наконец	2	3
164	как у	3	3
165	у нас	11	3
166	но по	2	3
167	прежде всего	5	3
168	жизнь и	3	3
169	образом в	2	3
170	как известно	2	3
171	в жизни	4	3
172	но не	5	3
173	очень много	2	3
174	и это	4	3
175	а в	20	3
176	бы то	2	3
177	не вполне	3	3
178	в нем	7	3
179	в ней	5	3
180	не то	3	3
181	для нас	9	3
182	с в	6	3
183	в эти	14	3
184	по одному	2	3
185	всему этому	2	3
186	было бы	7	3
187	и по	10	3
188	в истории	4	3
189	только одно	4	3
190	в с	7	3
191	во всем	4	3
192	в нашем	5	3
193	уже и	4	3
194	тот же	7	3
195	как мы	17	3
196	мы будем	4	3
197	чем в	2	3
198	он все	2	2
199	с которыми	2	2
200	очень мало	2	2
201	тех же	3	2
202	то в	6	2
203	то и	3	2
204	но как	6	2
205	а к	24	2
206	не очень	6	2
207	в свет	2	2
208	то время	6	2
209	что она	2	2
210	то есть	5	2
211	а это	3	2
212	свою очередь	2	2
213	до тех	2	2
214	на него	3	2
215	для себя	6	2
216	друг друга	3	2
217	на первый	4	2
218	этих двух	2	2
219	не было	12	2
220	не без	7	2
221	в частности	4	2
222	по его	3	2
223	него в	4	2
224	что они	4	2
225	же касается	8	2
226	раннем детстве	2	2
227	и из	5	2
228	в высшей	2	2
229	эти последние	4	2
230	к той	2	2
231	это конечно	4	2
232	для него	16	2
233	том чтобы	4	2
234	на месте	2	2
235	и так	3	2
236	не имеет	2	2
237	также и	13	2
238	что у	4	2
239	к нему	6	2
240	она не	3	2
241	со своими	4	2
242	в котором	10	2
243	тех пор	2	2
244	если это	2	2
245	их в	3	2
246	те же	2	2
247	этого последнего	3	2
248	я в	4	2
249	в англию	2	2
250	в своих	7	2
251	в свою	3	2
252	что на	2	2
253	но на	3	2
254	между прочим	18	2
255	на этом	3	2
256	между ними	2	2
257	отнюдь не	3	2
258	по этому	3	2
259	на такой	2	2
260	в них	5	2
261	только не	2	2
262	со своей	5	2
263	ко всему	4	2
264	что же	11	2
265	всяком случае	8	2
266	жизни и	8	2
267	с ними	2	2
268	от нее	3	2
269	во всяком	8	2
270	и особенно	6	2
271	и его	12	2
272	в сущности	2	2
273	же время	7	2
274	и сам	7	2
275	которой мы	3	2
276	и весь	2	2
277	о которой	3	2
278	которую он	6	2
279	той же	6	2
280	я не	8	2
281	вовсе не	8	2
282	мы и	4	2
