N	2gram	Tiupa_Anal	Sotsiolo
1	истории литературы	4	10
2	все это	2	7
3	в том	36	5
4	в этом	31	5
5	более чем	4	3
6	не только	30	3
7	в его	15	3
8	не в	17	3
9	и в	30	3
10	о литературе	3	3
11	она может	3	2
12	дело не	5	2
13	отношению к	9	2
14	по отношению	10	2
15	еще не	5	2
16	по природе	4	2
17	только в	8	2
18	в литературоведении	2	2
19	что в	7	2
20	тем более	2	2
21	в частности	32	2
22	том что	21	2
23	было бы	4	2
24	таким образом	5	2
25	то же	12	2
26	как будто	6	2
27	и что	2	2
28	то что	11	2
29	и заключается	2	2
30	как бы	15	2
31	но и	29	2
32	в конце	4	2
33	за пределы	6	2
34	или даже	3	2
35	далеко не	6	2
36	может быть	33	2
37	в результате	3	2
38	ведь это	2	2
