N	2gram	Tiupa_Disk	Sotsiolo
1	все это	2	7
2	в том	29	5
3	в этом	29	5
4	более чем	3	3
5	не только	36	3
6	в его	9	3
7	не в	8	3
8	и в	27	3
9	о литературе	2	3
10	это и	2	2
11	дело не	3	2
12	должна быть	2	2
13	отношению к	13	2
14	по отношению	13	2
15	еще не	20	2
16	по природе	6	2
17	только в	9	2
18	в литературоведении	2	2
19	что в	8	2
20	в частности	18	2
21	том что	27	2
22	таким образом	4	2
23	то же	12	2
24	как будто	3	2
25	и что	2	2
26	к которому	2	2
27	то что	10	2
28	как бы	9	2
29	но и	22	2
30	за пределы	2	2
31	или даже	2	2
32	далеко не	10	2
33	может быть	29	2
34	в результате	3	2
