N	2gram	Kanaev_Sov	Stilisti
1	и в	7	42
2	как бы	4	30
3	не только	4	28
4	прежде всего	5	22
5	и т.д	3	21
6	то же	3	16
7	и не	6	14
8	не может	17	13
9	может быть	12	13
10	как и	6	12
11	точки зрения	12	11
12	в себе	3	10
13	отнюдь не	3	10
14	мы должны	4	10
15	в этом	7	10
16	как мы	2	10
17	все же	3	9
18	при этом	3	9
19	мы не	9	9
20	ничего не	6	8
21	так как	4	8
22	что же	5	8
23	таким образом	11	8
24	в которой	2	7
25	мы можем	6	7
26	зависимости от	4	7
27	а не	3	7
28	в зависимости	4	7
29	было бы	3	7
30	той же	2	7
31	или иной	2	6
32	когда мы	3	6
33	не в	3	6
34	в области	3	6
35	точку зрения	4	6
36	в конце	3	6
37	в нем	3	6
38	в свою	2	6
39	на его	2	6
40	в его	2	6
41	в этой	3	6
42	с помощью	4	6
43	в нашем	2	5
44	и наконец	5	5
45	самом деле	2	5
46	же мы	2	5
47	мы видели	4	5
48	но все	2	5
49	а в	4	5
50	но в	3	5
51	в самом	2	5
52	уже в	3	5
53	с точки	5	5
54	же самое	2	5
55	в живом	2	5
56	вместе с	4	5
57	что это	2	4
58	в одном	3	4
59	так сказать	2	4
60	свою очередь	2	4
61	у нас	3	4
62	самого начала	3	4
63	и все	3	4
64	в каждом	8	4
65	с самого	3	4
66	и пр	2	4
67	что такое	2	4
68	если мы	4	4
69	уже не	2	4
70	и к	3	4
71	в целом	4	4
72	мы называем	3	4
73	не знаем	2	4
74	мы видим	2	4
75	все это	3	4
76	тем же	2	4
77	это не	4	3
78	и даже	2	3
79	роль в	2	3
80	в том	4	3
81	он должен	2	3
82	еще не	3	3
83	совершенно не	2	3
84	нет и	4	3
85	видели что	3	3
86	их в	4	3
87	из которых	2	3
88	из них	4	3
89	для нас	3	3
90	жизни и	4	3
91	все эти	5	3
92	вопрос о	4	2
93	и потому	3	2
94	с этим	2	2
95	из этих	2	2
96	времени и	2	2
97	еще мало	2	2
98	жизни мы	2	2
99	а на	2	2
100	из двух	3	2
101	тот или	2	2
102	в наших	3	2
103	теперь же	2	2
104	к чему	2	2
105	на этот	2	2
106	но мы	3	2
107	еще более	2	2
108	только одна	6	2
109	между собой	3	2
110	развития в	2	2
111	в дальнейшем	4	2
112	тот же	2	2
113	ясно что	3	2
