N	2gram	Bakhtin_Fr	Morfolog
1	может быть	11	61
2	и пр	5	45
3	таким образом	5	26
4	могут быть	4	21
5	так как	11	20
6	не может	9	19
7	в этом	22	18
8	в этих	6	17
9	и в	105	17
10	и не	34	16
11	мы видим	2	15
12	прежде всего	26	14
13	по существу	2	13
14	и др	32	12
15	связи с	5	12
16	то же	6	10
17	в том	17	10
18	то что	7	10
19	так и	16	10
20	что в	4	10
21	что и	2	10
22	а затем	4	10
23	в связи	2	10
24	все же	10	9
25	но и	20	9
26	с другой	3	9
27	не только	24	8
28	в тех	5	8
29	но не	7	8
30	а в	4	8
31	имеем в	2	8
32	как мы	12	8
33	не могут	4	7
34	том что	9	7
35	по отношению	2	7
36	наряду с	2	7
37	не менее	2	7
38	отношению к	2	7
39	и здесь	4	7
40	и этим	2	7
41	точки зрения	10	7
42	один из	5	7
43	потому что	6	7
44	это не	4	6
45	но это	5	6
46	во всех	13	6
47	и как	2	6
48	или в	2	6
49	во время	14	6
50	и другие	10	6
51	также и	3	6
52	подобно тому	2	6
53	в нашем	3	6
54	о том	5	6
55	с точки	6	6
56	в форме	6	6
57	как бы	33	6
58	вовсе не	25	6
59	одна из	5	5
60	ничего не	3	5
61	хотя бы	2	5
62	мы можем	2	5
63	было бы	4	5
64	об этом	2	5
65	что он	5	5
66	как в	6	5
67	далеко не	6	5
68	к тому	3	5
69	из которых	2	5
70	между тем	5	5
71	в целом	3	5
72	главным образом	6	5
73	на его	4	5
74	тому как	2	5
75	там где	3	5
76	в других	3	5
77	все эти	15	5
78	что они	2	5
79	он не	3	5
80	хотя и	4	5
81	учение о	2	5
82	этот момент	3	5
83	сказать что	12	4
84	на самом	6	4
85	его в	7	4
86	тех же	3	4
87	так же	2	4
88	в то	5	4
89	можно было	4	4
90	к этому	2	4
91	на него	2	4
92	есть и	2	4
93	тем что	5	4
94	не является	4	4
95	еще не	8	4
96	могла бы	2	4
97	самом деле	3	4
98	из них	7	4
99	но в	16	4
100	на котором	3	4
101	но все	5	4
102	и для	3	4
103	как и	15	4
104	входит в	4	4
105	уже не	3	4
106	этот вопрос	2	4
107	и к	7	4
108	на этом	2	4
109	несмотря на	5	4
110	того чтобы	3	4
111	в некоторых	2	4
112	от того	2	4
113	мы уже	18	4
114	этого момента	2	3
115	в таких	2	3
116	некоторые из	3	3
117	мы должны	2	3
118	а и	2	3
119	но как	3	3
120	здесь не	3	3
121	в собственном	4	3
122	это было	2	3
123	и их	3	3
124	и у	7	3
125	целый ряд	2	3
126	друг друга	3	3
127	это и	3	3
128	кроме того	2	3
129	же она	2	3
130	связана с	8	3
131	та же	2	3
132	не в	4	3
133	для того	2	3
134	собственном смысле	3	3
135	к ней	2	3
136	в пределах	3	3
137	в какой	2	3
138	того что	3	3
139	приводит к	2	3
140	здесь мы	2	3
141	так например	3	3
142	ее в	2	3
143	к нему	5	3
144	это уже	4	3
145	на то	2	3
146	вступают в	2	3
147	в большинстве	2	3
148	благодаря этому	4	3
149	но для	3	3
150	большинстве случаев	2	3
151	здесь же	3	3
152	в начале	4	3
153	и по	3	3
154	же в	4	3
155	и его	24	3
156	только в	16	3
157	в сущности	20	3
158	значение и	3	3
159	в этой	11	3
160	мы будем	4	3
161	с его	9	3
162	например на	2	2
163	нашей работы	6	2
164	в очень	2	2
165	он требует	2	2
166	как например	2	2
167	в наши	2	2
168	из этих	7	2
169	от него	2	2
170	одной стороны	2	2
171	со смертью	3	2
172	бы в	2	2
173	во второй	2	2
174	к себе	3	2
175	в другом	2	2
176	и даже	10	2
177	роль в	6	2
178	превращается в	6	2
179	этом отношении	5	2
180	не на	2	2
181	в частности	6	2
182	одним из	4	2
183	и за	2	2
184	ни к	2	2
185	в чем	2	2
186	не знает	6	2
187	с одной	2	2
188	всех других	2	2
189	в свое	6	2
190	и более	4	2
191	одной из	3	2
192	на этот	3	2
193	она не	2	2
194	их в	3	2
195	но с	2	2
196	в своих	8	2
197	здесь только	2	2
198	оно не	2	2
199	но они	4	2
200	не входит	2	2
201	но здесь	4	2
202	для нас	5	2
203	в основу	2	2
204	что мы	2	2
205	это можно	2	2
206	всяком случае	2	2
207	себя и	2	2
208	все это	16	2
209	в основе	8	2
210	у него	2	2
211	эти формы	5	2
212	например в	3	2
213	можно сказать	4	2
214	в совершенно	2	2
215	для него	12	2
216	в одном	8	2
217	во всяком	2	2
218	без всякого	3	2
219	по своему	9	2
