N	2gram	Berdyaev_V	Literetu
1	а не	7	50
2	и не	20	47
3	не только	2	46
4	и в	16	44
5	но и	5	41
6	в том	3	39
7	в этом	4	38
8	том что	2	32
9	то что	9	29
10	в мире	5	28
11	как и	4	23
12	не в	3	22
13	так и	4	22
14	того что	5	22
15	прежде всего	2	19
16	как бы	5	18
17	в его	4	17
18	в жизни	3	16
19	только в	2	15
20	что он	4	14
21	но не	2	13
22	уже не	2	13
23	в своей	3	12
24	еще не	8	12
25	никогда не	3	11
26	это не	2	11
27	с его	3	11
28	и сам	2	11
29	а в	2	11
30	что в	3	10
31	потому что	4	10
32	жизни и	3	10
33	к тому	3	9
34	один из	2	9
35	лишь в	3	9
36	что я	3	9
37	одна из	2	8
38	в конце	3	8
39	но в	3	8
40	на себя	5	8
41	что не	4	8
42	для него	2	8
43	и я	4	8
44	мира в	2	8
45	тем что	2	8
46	с тобой	2	7
47	и для	3	7
48	в нем	4	7
49	не было	3	6
50	и то	2	6
51	во всех	3	6
52	в ней	4	6
53	вслед за	2	5
54	так как	9	5
55	и за	2	5
56	всего в	2	5
57	между тем	2	5
58	что и	3	5
59	самого себя	2	5
60	хотя бы	3	5
61	должно быть	3	5
62	мы не	2	5
63	во имя	32	5
64	не с	2	5
65	в себя	2	5
66	не к	2	5
67	для нас	2	4
68	с тем	2	4
69	и все	4	4
70	на том	2	4
71	могут быть	2	4
72	в них	3	4
73	хотя и	5	4
74	во всяком	2	4
75	свободы от	3	4
76	нет ничего	3	4
77	то это	3	4
78	но это	3	4
79	более чем	2	4
80	и что	3	4
81	что было	2	4
82	и есть	4	4
83	и потому	7	3
84	свободы и	12	3
85	а с	2	3
86	во главе	2	3
87	а к	2	3
88	того чтобы	2	3
89	с тобою	3	3
90	все эти	3	3
91	и тогда	2	3
92	в истории	8	3
93	должна быть	3	3
94	и т	2	3
95	тот же	3	3
96	ее в	2	3
97	да и	2	3
98	можно было	2	3
99	бы и	3	3
100	не так	2	3
101	по которым	2	3
102	превращается в	3	3
103	в этих	3	3
104	все равно	2	3
105	сознания от	2	3
106	я говорю	2	3
107	за ним	3	3
108	не имеет	3	3
109	в чем	3	3
110	не есть	6	3
111	если не	3	3
112	все что	4	3
113	говорить о	4	3
114	с ним	2	3
115	мы и	2	3
116	от него	2	2
117	и новые	2	2
118	человека и	6	2
119	во мне	4	2
120	к бытию	3	2
121	его не	2	2
122	и будет	3	2
123	тому что	3	2
124	за то	3	2
125	но мы	2	2
126	по этому	3	2
127	для них	2	2
128	людей в	3	2
129	первый раз	3	2
130	что они	7	2
131	освобождения от	2	2
132	нет у	4	2
133	и мы	3	2
134	в последнем	2	2
135	в первый	3	2
136	что есть	5	2
137	нет и	2	2
138	мир и	2	2
139	в котором	4	2
140	что ты	3	2
141	оно не	3	2
142	и теперь	2	2
143	у людей	2	2
144	от бога	8	2
