N	3gram	Losev_Dial	VeschiIm
1	и т д	28	38
2	это значит что	16	25
3	не может быть	4	24
4	не что иное	4	12
5	не есть ни	7	12
6	что иное как	4	12
7	содержит в себе	5	11
8	тем не менее	3	11
9	т д и	3	11
10	по крайней мере	11	10
11	д и т	3	10
12	в том что	12	9
13	есть не что	3	8
14	т е в	3	7
15	в самом деле	3	7
16	на то что	4	7
17	сама по себе	12	7
18	по сравнению с	2	7
19	то и другое	3	6
20	ни в каком	9	6
21	вовсе не есть	3	6
22	даже больше того	2	6
23	и не только	4	6
24	с точки зрения	18	6
25	может быть только	2	6
26	так или иначе	3	6
27	одно и то	8	5
28	значит ли это	2	5
29	и то же	8	5
30	в то же	7	5
31	я мог бы	2	5
32	не есть просто	2	5
33	не только в	2	5
34	не потому что	5	5
35	не есть только	4	5
36	было бы и	2	5
37	потому что они	2	4
38	более или менее	5	4
39	то время как	2	4
40	сам по себе	8	4
41	но что такое	3	4
42	о том что	6	4
43	тех или других	4	4
44	в то время	2	4
45	ли это что	2	4
46	что это –	2	4
47	само по себе	7	4
48	в каком случае	5	4
49	то же время	8	4
50	что не есть	3	4
51	но это –	3	4
52	это и есть	3	4
53	что это значит?	2	4
54	не есть ли	2	3
55	я утверждаю что	4	3
56	ни с какой	5	3
57	можно сказать что	6	3
58	мы говорим что	2	3
59	той или другой	7	3
60	можно было бы	4	3
61	с одной стороны	3	3
62	только то что	6	3
63	с другой стороны	7	3
64	и – мы	2	3
65	сами по себе	4	3
66	и в то	3	3
67	то это значит	3	3
68	как она есть	3	3
69	и даже не	3	3
70	есть не просто	2	2
71	как бы ни	2	2
72	мы находим в	2	2
73	во всяком случае	3	2
74	в нем нет	3	2
75	случае не есть	2	2
76	никогда не есть	2	2
77	что он есть	2	2
78	но все же	2	2
79	в этом отношении	2	2
80	к тому что	3	2
81	я не буду	4	2
82	или по крайней	2	2
83	с какой стороны	5	2
84	тем или другим	2	2
85	в связи с	3	2
86	того что она	2	2
87	ничто не мешает	2	2
88	то что я	2	2
89	если она не	2	2
90	в конце концов	4	2
91	не имеет никакого	3	2
92	друг с другом	2	2
93	только тогда когда	4	2
94	есть нечто совершенно	3	2
95	это значит? это	2	2
96	что она –	4	2
97	и с другой	2	2
98	не может и	3	2
99	в этом смысле	4	2
100	внутреннего и внешнего	8	2
101	каком случае не	3	2
102	нельзя сказать что	3	2
103	и в этом	4	2
104	значит? это значит	2	2
105	какой стороны не	4	2
106	и в частности	4	2
107	по смыслу своему	2	2
108	крайней мере в	3	2
109	в той или	3	2
