N	3gram	Tiupa_Narr	formyVre
1	то же время	3	21
2	в то же	3	18
3	в связи с	2	15
4	с точки зрения	2	15
5	не только в	2	11
6	в том числе	6	8
7	в этом отношении	3	7
8	в отличие от	5	7
9	не может быть	5	7
10	с одной стороны	7	6
11	в том что	8	5
12	том числе и	4	5
13	то есть в	2	5
14	той или иной	4	5
15	в этом ряду	2	4
16	с другой стороны	4	4
17	но все же	4	4
18	по отношению к	6	4
19	а не в	2	3
20	о том что	6	3
21	так же как	2	3
22	сами по себе	2	3
23	в себя и	2	3
24	в той или	2	3
25	на другой день	2	2
26	можно сказать что	4	2
27	в основе своей	4	2
28	в данном случае	4	2
29	времени и пространстве	5	2
30	к тому же	4	2
31	в свою очередь	3	2
