N	3gram	Ircho_Kome	Problemy
1	то же время	5	26
2	в то же	5	26
3	по отношению к	5	18
4	и т п	7	18
5	в этом смысле	2	16
6	в большинстве случаев	2	12
7	в конце концов	4	11
8	до сих пор	3	10
9	с самого начала	2	9
10	во всяком случае	4	9
11	с другой стороны	6	9
12	в том что	13	8
13	бы то ни	4	7
14	и т д	4	7
15	том что он	4	6
16	в отличие от	3	6
17	то ни было	4	6
18	к тому же	12	5
19	можно было бы	3	5
20	на протяжении всего	3	4
21	тем не менее	2	4
22	о том что	6	4
23	как и в	2	4
24	в этом отношении	3	4
25	может быть даже	2	4
26	именно потому что	2	4
27	ни в одном	2	4
28	в то время	8	3
29	на то что	2	3
30	каждый из них	2	3
31	т е в	2	3
32	то время как	6	3
33	в той же	2	3
34	что и в	2	2
35	то же самое	2	2
36	то что он	2	2
37	что он не	2	2
38	на этот раз	5	2
39	друг от друга	2	2
40	сплошь да рядом	2	2
41	к тому что	3	2
42	а затем и	2	2
43	вместе с тем	4	2
44	для того чтобы	3	2
45	в одном из	4	2
