N	2gram	Propp_Isto	Analitik
1	не только	28	71
2	тогда как	6	67
3	и в	43	66
4	в качестве	4	61
5	но и	24	57
6	в том	13	52
7	может быть	22	52
8	в частности	6	51
9	в этом	25	51
10	как и	9	50
11	и не	16	48
12	а не	13	42
13	том что	12	40
14	при этом	4	40
15	так и	6	35
16	состоит в	4	30
17	представляет собой	6	30
18	не может	8	29
19	как бы	5	29
20	а в	13	28
21	в его	7	27
22	и его	10	27
23	не в	9	26
24	но не	10	26
25	в себе	2	24
26	не случайно	2	24
27	к тому	9	22
28	и даже	4	22
29	в этой	7	22
30	что в	29	22
31	о том	4	20
32	по отношению	2	19
33	но в	15	19
34	в своей	4	19
35	то же	11	19
36	в то	2	18
37	в данном	7	18
38	отношению к	2	18
39	с другой	10	17
40	со стороны	3	17
41	в целом	4	17
42	только в	8	17
43	могут быть	9	16
44	то что	20	16
45	в пределах	5	16
46	что и	17	16
47	не есть	3	15
48	прежде всего	3	15
49	уже не	11	15
50	и на	7	15
51	между тем	2	15
52	данном случае	6	14
53	не менее	6	14
54	мы имеем	24	14
55	себя в	2	14
56	далеко не	3	14
57	в себя	3	14
58	по себе	3	13
59	ничего не	12	13
60	точки зрения	3	13
61	в начале	2	13
62	этого слова	3	13
63	а также	5	13
64	как правило	3	13
65	он не	11	13
66	тому же	4	13
67	никогда не	9	12
68	и к	4	12
69	есть не	2	12
70	как это	5	12
71	еще не	15	12
72	как в	6	12
73	даже в	4	11
74	в свою	5	11
75	это не	10	11
76	во второй	2	11
77	и как	6	11
78	не с	2	11
79	можно сказать	3	11
80	той же	3	11
81	не следует	2	11
82	все же	13	10
83	на себя	5	10
84	один из	7	10
85	было бы	5	10
86	особенно в	2	10
87	подобно тому	3	10
88	с одной	2	10
89	со своей	2	10
90	здесь не	6	10
91	в своем	2	9
92	того что	8	9
93	одной стороны	2	9
94	особого рода	3	9
95	другой стороны	10	9
96	только не	2	9
97	в русской	5	9
98	вступает в	4	9
99	тому как	3	9
100	таким образом	15	9
101	вместе с	12	9
102	перед нами	4	8
103	роль в	2	8
104	не всегда	7	8
105	что он	17	8
