N	3gram	Losev_Vlad	StatiiOP
1	в том что	13	47
2	и т д	3	32
3	о том что	9	29
4	в этом отношении	2	24
5	для того чтобы	3	19
6	во всяком случае	8	13
7	с другой стороны	3	13
8	то обстоятельство что	2	11
9	не может быть	4	11
10	в то же	7	9
11	то же время	7	9
12	на то что	6	9
13	вместе с тем	2	9
14	дело в том	7	9
15	тем не менее	8	8
16	не только в	3	8
17	том что он	4	7
18	у нас нет	2	7
19	по этому поводу	2	7
20	не в том	3	7
21	в конце концов	6	7
22	в то время	6	7
23	том что в	3	6
24	в письме к	12	6
25	в этом смысле	4	6
26	что же касается	8	5
27	за то что	2	5
28	после того как	2	5
29	что он не	3	5
30	в свое время	6	5
31	то время как	2	5
32	в том же	3	5
33	в том чтобы	4	5
34	в это время	5	4
35	то что он	6	4
36	на эту тему	2	4
37	но это не	2	4
38	в связи с	7	4
39	что и в	2	4
40	и в том	2	4
41	так или иначе	3	4
42	тем более что	2	4
43	бы то ни	2	3
44	можно сказать что	3	3
45	можно судить по	6	3
46	говоря уже о	3	3
47	свидетельствуют о том	2	3
48	не говоря уже	3	3
49	на этот раз	7	3
50	к тому же	3	3
51	более или менее	5	3
52	что у него	2	3
53	в течение всей	5	3
54	и на этот	2	2
55	тех пор пока	2	2
56	и в конце	2	2
57	на французском языке	3	2
58	но в то	2	2
59	так что в	2	2
60	он не только	2	2
61	а также и	2	2
62	между прочим и	2	2
63	и в то	3	2
64	в которой он	2	2
65	в настоящее время	2	2
66	точно так же	2	2
67	то что у	2	2
68	до тех пор	2	2
69	ответ на это	2	2
70	хотя бы на	2	2
71	и то что	7	2
72	и то обстоятельство	2	2
73	в свою очередь	2	2
